,benchmark,fuzzer_combination,expid,edge
0,openssl,fca,10,515339-515346
1,openssl,fca,10,492091-492210
2,openssl,fca,10,319027-319033
3,openssl,fca,10,362884-362891
4,openssl,fca,10,309375-309350
5,openssl,fca,10,477340-477342
6,openssl,fca,10,320355-320374
7,openssl,fca,10,786249-786251
8,openssl,fca,10,316079-316086
9,openssl,fca,10,318195-318210
10,openssl,fca,10,318815-318822
11,openssl,fca,10,302875-302885
12,openssl,fca,10,310933-310944
13,openssl,fca,10,800035-800311
14,openssl,fca,10,322023-322049
15,openssl,fca,10,218929-218933
16,openssl,fca,10,318557-318562
17,openssl,fca,10,799792-799802
18,openssl,fca,10,317929-317944
19,openssl,fca,10,310820-310839
20,openssl,fca,10,352831-352840
21,openssl,fca,10,306809-306832
22,openssl,fca,10,897208-897241
23,openssl,fca,10,307087-307153
24,openssl,fca,10,358260-358277
25,openssl,fca,10,477444-477469
26,openssl,fca,10,425842-425848
27,openssl,fca,10,798892-798905
28,openssl,fca,10,317990-317996
29,openssl,fca,10,879754-879786
30,openssl,fca,10,441022-441027
31,openssl,fca,10,305090-305092
32,openssl,fca,10,341012-341018
33,openssl,fca,10,844672-844690
34,openssl,fca,10,476985-476989
35,openssl,fca,10,898962-898979
36,openssl,fca,10,307181-307198
37,openssl,fca,10,784667-784901
38,openssl,fca,10,296959-296966
39,openssl,fca,10,824597-824601
40,openssl,fca,10,318133-318222
41,openssl,fca,10,831634-831800
42,openssl,fca,10,310931-310951
43,openssl,fca,10,305132-305141
44,openssl,fca,10,476438-476445
45,openssl,fca,10,823299-823302
46,openssl,fca,10,298776-298792
47,openssl,fca,10,302187-302193
48,openssl,fca,10,318172-318183
49,openssl,fca,10,321200-321207
50,openssl,fca,10,98463-98489
51,openssl,fca,10,476418-476425
52,openssl,fca,10,897862-897969
53,openssl,fca,10,304566-305092
54,openssl,fca,10,426315-426328
55,openssl,fca,10,98672-98659
56,openssl,fca,10,879723-879726
57,openssl,fca,10,7914-7876
58,openssl,fca,10,327693-327729
59,openssl,fca,10,311124-311137
60,openssl,fca,10,342757-342761
61,openssl,fca,10,318386-318543
62,openssl,fca,10,316095-316658
63,openssl,fca,10,891159-891165
64,openssl,fca,10,296140-296144
65,openssl,fca,10,319245-319354
66,openssl,fca,10,476518-476708
67,openssl,fca,10,796988-796995
68,openssl,fca,10,318386-318641
69,openssl,fca,10,784914-784941
70,openssl,fca,10,831131-831142
71,openssl,fca,10,296072-296076
72,openssl,fca,10,295335-295338
73,openssl,fca,10,843639-843646
74,openssl,fca,10,52208-52210
75,openssl,fca,10,821216-821272
76,openssl,fca,10,897533-897795
77,openssl,fca,10,624785-624789
78,openssl,fca,10,51689-51714
79,openssl,fca,10,318010-318025
80,openssl,fca,10,307291-307308
81,openssl,fca,10,898036-898044
82,openssl,fca,10,353332-353352
83,openssl,fca,10,391558-391649
84,openssl,fca,10,295225-295229
85,openssl,fca,10,187562-187564
86,openssl,fca,10,98555-98558
87,openssl,fca,10,476658-476675
88,openssl,fca,10,821195-821216
89,openssl,fca,10,619310-619323
90,openssl,fca,10,318407-318414
91,openssl,fca,10,191159-191162
92,openssl,fca,10,297134-297147
93,openssl,fca,10,843805-843842
94,openssl,fca,10,429123-429126
95,openssl,fca,10,382571-382577
96,openssl,fca,10,349006-349153
97,openssl,fca,10,885707-885713
98,openssl,fca,10,318400-318798
99,openssl,fca,10,784405-784517
100,openssl,fca,10,63360-63367
101,openssl,fca,10,317793-317806
102,openssl,fca,10,304458-304467
103,openssl,fca,10,299720-299768
104,openssl,fca,10,218939-218943
105,openssl,fca,10,426559-426747
106,openssl,fca,10,317279-317286
107,openssl,fca,10,310972-310980
108,openssl,fca,10,818416-818418
109,openssl,fca,10,362259-362425
110,openssl,fca,10,319449-319490
111,openssl,fca,10,785383-785414
112,openssl,fca,10,219345-219350
113,openssl,fca,10,695034-695048
114,openssl,fca,10,99898-99911
115,openssl,fca,10,304895-304907
116,openssl,fca,10,806403-806409
117,openssl,fca,10,432080-432082
118,openssl,fca,10,888791-888814
119,openssl,fca,10,318658-318798
120,openssl,fca,10,894750-894763
121,openssl,fca,10,317265-317286
122,openssl,fca,10,296108-296102
123,openssl,fca,10,818433-818509
124,openssl,fca,10,301820-301825
125,openssl,fca,10,476658-476667
126,openssl,fca,10,891219-891224
127,openssl,fca,10,781889-781905
128,openssl,fca,10,38677-38698
129,openssl,fca,10,293278-293382
130,openssl,fca,10,316299-316318
131,openssl,fca,10,784667-784848
132,openssl,fca,10,307272-307302
133,openssl,fca,10,884174-884466
134,openssl,fca,10,772880-772893
135,openssl,fca,10,784365-784384
136,openssl,fca,10,310897-311018
137,openssl,fca,10,353872-353830
138,openssl,fca,10,820975-820996
139,openssl,fca,10,321153-321158
140,openssl,fca,10,304795-304800
141,openssl,fca,10,774263-774269
142,openssl,fca,10,304472-304487
143,openssl,fca,10,805787-805831
144,openssl,fca,10,784667-784948
145,openssl,fca,10,476339-476380
146,openssl,fca,10,330023-330134
147,openssl,fca,10,843770-843863
148,openssl,fca,10,298322-298630
149,openssl,fca,10,316223-316658
150,openssl,fca,10,634559-634594
151,openssl,fca,10,304492-304501
152,openssl,fca,10,843462-843507
153,openssl,fca,10,305044-305055
154,openssl,fca,10,800555-800574
155,openssl,fca,10,316518-316525
156,openssl,fca,10,317191-317387
157,openssl,fca,10,897674-897795
158,openssl,fca,10,304985-305092
159,openssl,fca,10,340033-340041
160,openssl,fca,10,799556-799564
161,openssl,fca,10,317251-317286
162,openssl,fca,10,295965-296014
163,openssl,fca,10,441743-441761
164,openssl,fca,10,824116-824124
165,openssl,fca,10,485723-485738
166,openssl,fca,10,316882-316913
167,openssl,fca,10,99513-99534
168,openssl,fca,10,295229-295236
169,openssl,fca,10,330084-330108
170,openssl,fca,10,52422-52446
171,openssl,fca,10,885651-885680
172,openssl,fca,10,304852-304880
173,openssl,fca,10,619142-619157
174,openssl,fca,10,895676-895661
175,openssl,fca,10,485668-486021
176,openssl,fca,10,766124-766149
177,openssl,fca,10,330063-330134
178,openssl,fca,10,426359-426747
179,openssl,fca,10,844225-844249
180,openssl,fca,10,304661-304666
181,openssl,fca,10,888876-888853
182,openssl,fca,10,384592-384608
183,openssl,fca,10,301972-301975
184,openssl,fca,10,304932-305092
185,openssl,fca,10,892802-892815
186,openssl,fca,10,304506-304524
187,openssl,fca,10,390647-390658
188,openssl,fca,10,897931-897969
189,openssl,fca,10,188827-188843
190,openssl,fca,10,53391-53404
191,openssl,fca,10,898824-898845
192,openssl,fca,10,8016-8018
193,openssl,fca,10,319159-319354
194,openssl,fca,10,781914-781932
195,openssl,fca,10,635001-635048
196,openssl,fca,10,453632-453652
197,openssl,fca,10,800738-800746
198,openssl,fca,10,362407-362422
199,openssl,fca,10,898976-898979
200,openssl,fca,10,318426-318433
201,openssl,fca,10,897166-897199
202,openssl,fca,10,187919-187930
203,openssl,fca,10,63499-63516
204,openssl,fca,10,320658-320665
205,openssl,fca,10,771832-771846
206,openssl,fca,10,897123-897159
207,openssl,fca,10,317258-317286
208,openssl,fca,10,318156-318163
209,openssl,fca,10,315781-316658
210,openssl,fca,10,307232-307378
211,openssl,fca,10,362209-362230
212,openssl,fca,10,800541-800574
213,openssl,fca,10,296215-296247
214,openssl,fca,10,293190-293216
215,openssl,fca,10,783977-784495
216,openssl,fca,10,428990-429023
217,openssl,fca,10,426575-426747
218,openssl,fca,10,310839-310851
219,openssl,fca,10,330012-330121
220,openssl,fca,10,60481-60487
221,openssl,fca,10,844135-844145
222,openssl,fca,10,293394-293410
223,openssl,fca,10,317140-317154
224,openssl,fca,10,321132-321137
225,openssl,fca,10,319064-319068
226,openssl,fca,10,319482-319495
227,openssl,fca,10,820459-821308
228,openssl,fca,10,843566-843573
229,openssl,fca,10,297153-297155
230,openssl,fca,10,775933-775967
231,openssl,fca,10,390616-390637
232,openssl,fca,10,843778-843844
233,openssl,fca,10,798322-798345
234,openssl,fca,10,298309-298322
235,openssl,fca,10,321139-321144
236,openssl,fca,10,805998-806010
237,openssl,fca,10,476583-476591
238,openssl,fca,10,304785-304790
239,openssl,fca,10,298404-298415
240,openssl,fca,10,321167-321172
241,openssl,fca,10,351468-351481
242,openssl,fca,10,307115-307378
243,openssl,fca,10,296255-296280
244,openssl,fca,10,295947-296018
245,openssl,fca,10,843593-843609
246,openssl,fca,10,624943-624950
247,openssl,fca,10,439096-439234
248,openssl,fca,10,485743-485752
249,openssl,fca,10,843600-843875
250,openssl,fca,10,771874-772015
251,openssl,fca,10,760327-760330
252,openssl,fca,10,843553-843875
253,openssl,fca,10,892537-892542
254,openssl,fca,10,310371-310375
255,openssl,fca,10,476100-476117
256,openssl,fca,10,426386-426408
257,openssl,fca,10,307160-307167
258,openssl,fca,10,305040-305060
259,openssl,fca,10,317066-317387
260,openssl,fca,10,843832-843863
261,openssl,fca,10,897341-897349
262,openssl,fca,10,782070-782039
263,openssl,fca,10,307101-307378
264,openssl,fca,10,307308-307353
265,openssl,fca,10,781889-781912
266,openssl,fca,10,477143-477148
267,openssl,fca,10,695116-695126
268,openssl,fca,10,305062-305092
269,openssl,fca,10,307192-307378
270,openssl,fca,10,295951-295959
271,openssl,fca,10,897308-897415
272,openssl,fca,10,328943-328958
273,openssl,fca,10,307280-307302
