,benchmark,fuzzer_combination,expid,edge
0,openssl,fcb,15,16599-16613
1,openssl,fcb,15,496336-496340
2,openssl,fcb,15,319033-319042
3,openssl,fcb,15,40024-40034
4,openssl,fcb,15,315637-316687
5,openssl,fcb,15,443674-443688
6,openssl,fcb,15,317844-317864
7,openssl,fcb,15,317265-317272
8,openssl,fcb,15,310820-310839
9,openssl,fcb,15,298187-298194
10,openssl,fcb,15,53457-53471
11,openssl,fcb,15,218929-218933
12,openssl,fcb,15,322023-322049
13,openssl,fcb,15,800193-800212
14,openssl,fcb,15,889189-889208
15,openssl,fcb,15,317202-317209
16,openssl,fcb,15,813550-813558
17,openssl,fcb,15,307087-307153
18,openssl,fcb,15,839413-839415
19,openssl,fcb,15,305104-305132
20,openssl,fcb,15,425872-425883
21,openssl,fcb,15,831116-831131
22,openssl,fcb,15,317346-317356
23,openssl,fcb,15,893291-893316
24,openssl,fcb,15,317154-317161
25,openssl,fcb,15,317990-317996
26,openssl,fcb,15,826367-826415
27,openssl,fcb,15,846411-846424
28,openssl,fcb,15,304529-304542
29,openssl,fcb,15,888808-888814
30,openssl,fcb,15,172462-172475
31,openssl,fcb,15,800477-800489
32,openssl,fcb,15,63183-63204
33,openssl,fcb,15,188461-188464
34,openssl,fcb,15,53740-53752
35,openssl,fcb,15,98594-98576
36,openssl,fcb,15,340972-340980
37,openssl,fcb,15,476506-476511
38,openssl,fcb,15,796962-796988
39,openssl,fcb,15,476472-476708
40,openssl,fcb,15,318386-318641
41,openssl,fcb,15,476518-476708
42,openssl,fcb,15,428969-429012
43,openssl,fcb,15,310171-310188
44,openssl,fcb,15,339969-339991
45,openssl,fcb,15,98223-98279
46,openssl,fcb,15,426315-426328
47,openssl,fcb,15,476654-476677
48,openssl,fcb,15,304566-305092
49,openssl,fcb,15,298850-298857
50,openssl,fcb,15,831623-831634
51,openssl,fcb,15,892848-892870
52,openssl,fcb,15,98555-98558
53,openssl,fcb,15,844301-844308
54,openssl,fcb,15,824601-824632
55,openssl,fcb,15,318189-318212
56,openssl,fcb,15,307272-307280
57,openssl,fcb,15,311186-311190
58,openssl,fcb,15,323803-323816
59,openssl,fcb,15,317223-317245
60,openssl,fcb,15,51725-51727
61,openssl,fcb,15,98672-98659
62,openssl,fcb,15,476418-476425
63,openssl,fcb,15,190724-190758
64,openssl,fcb,15,330052-330056
65,openssl,fcb,15,304895-304912
66,openssl,fcb,15,311124-311137
67,openssl,fcb,15,358277-358326
68,openssl,fcb,15,321193-321200
69,openssl,fcb,15,891165-891178
70,openssl,fcb,15,296169-296178
71,openssl,fcb,15,897862-897969
72,openssl,fcb,15,296959-296966
73,openssl,fcb,15,298397-298404
74,openssl,fcb,15,884042-884055
75,openssl,fcb,15,799745-799755
76,openssl,fcb,15,295919-295933
77,openssl,fcb,15,305742-305753
78,openssl,fcb,15,297134-297147
79,openssl,fcb,15,820918-820951
80,openssl,fcb,15,52173-52184
81,openssl,fcb,15,317786-317793
82,openssl,fcb,15,897765-897776
83,openssl,fcb,15,879658-879671
84,openssl,fcb,15,319245-319354
85,openssl,fcb,15,898013-898036
86,openssl,fcb,15,843532-843539
87,openssl,fcb,15,295229-295254
88,openssl,fcb,15,306894-306904
89,openssl,fcb,15,318400-318798
90,openssl,fcb,15,318006-318010
91,openssl,fcb,15,439161-439192
92,openssl,fcb,15,353765-353768
93,openssl,fcb,15,770058-770072
94,openssl,fcb,15,14066-14092
95,openssl,fcb,15,318183-318241
96,openssl,fcb,15,318407-318414
97,openssl,fcb,15,432171-432180
98,openssl,fcb,15,307272-307302
99,openssl,fcb,15,843790-843805
100,openssl,fcb,15,362239-362259
101,openssl,fcb,15,349006-349153
102,openssl,fcb,15,218943-218978
103,openssl,fcb,15,897349-897415
104,openssl,fcb,15,293403-293410
105,openssl,fcb,15,818433-818509
106,openssl,fcb,15,784405-784517
107,openssl,fcb,15,806368-806387
108,openssl,fcb,15,426559-426747
109,openssl,fcb,15,485668-486021
110,openssl,fcb,15,310897-311018
111,openssl,fcb,15,63360-63367
112,openssl,fcb,15,818383-818389
113,openssl,fcb,15,782456-782468
114,openssl,fcb,15,804296-804299
115,openssl,fcb,15,317286-317387
116,openssl,fcb,15,304895-304907
117,openssl,fcb,15,441036-441055
118,openssl,fcb,15,318650-318658
119,openssl,fcb,15,888791-888814
120,openssl,fcb,15,426359-426747
121,openssl,fcb,15,318386-318529
122,openssl,fcb,15,99911-100100
123,openssl,fcb,15,821091-821096
124,openssl,fcb,15,301761-301783
125,openssl,fcb,15,772893-772897
126,openssl,fcb,15,894948-894959
127,openssl,fcb,15,296108-296102
128,openssl,fcb,15,330017-330023
129,openssl,fcb,15,22417-22428
130,openssl,fcb,15,310980-311018
131,openssl,fcb,15,784667-784848
132,openssl,fcb,15,883974-884057
133,openssl,fcb,15,781920-781932
134,openssl,fcb,15,317265-317286
135,openssl,fcb,15,476658-476667
136,openssl,fcb,15,304661-304666
137,openssl,fcb,15,891198-891206
138,openssl,fcb,15,330108-330134
139,openssl,fcb,15,316398-316658
140,openssl,fcb,15,304800-305092
141,openssl,fcb,15,785436-785447
142,openssl,fcb,15,800555-800574
143,openssl,fcb,15,304472-304487
144,openssl,fcb,15,843770-843863
145,openssl,fcb,15,316525-316658
146,openssl,fcb,15,316219-316223
147,openssl,fcb,15,485756-486021
148,openssl,fcb,15,304492-304501
149,openssl,fcb,15,634559-634594
150,openssl,fcb,15,624950-624989
151,openssl,fcb,15,799534-799556
152,openssl,fcb,15,295229-295236
153,openssl,fcb,15,317187-317191
154,openssl,fcb,15,824112-824116
155,openssl,fcb,15,784365-784384
156,openssl,fcb,15,317251-317286
157,openssl,fcb,15,340026-340033
158,openssl,fcb,15,304985-305092
159,openssl,fcb,15,101758-101788
160,openssl,fcb,15,426551-426559
161,openssl,fcb,15,476339-476380
162,openssl,fcb,15,897199-897441
163,openssl,fcb,15,362407-362422
164,openssl,fcb,15,889174-889183
165,openssl,fcb,15,843507-843875
166,openssl,fcb,15,99513-99534
167,openssl,fcb,15,805852-805875
168,openssl,fcb,15,53701-53708
169,openssl,fcb,15,766124-766149
170,openssl,fcb,15,784948-784961
171,openssl,fcb,15,800738-800746
172,openssl,fcb,15,304852-304880
173,openssl,fcb,15,7992-8016
174,openssl,fcb,15,895661-895666
175,openssl,fcb,15,295965-296014
176,openssl,fcb,15,330056-330063
177,openssl,fcb,15,898845-898850
178,openssl,fcb,15,619376-619391
179,openssl,fcb,15,774319-774336
180,openssl,fcb,15,316878-316882
181,openssl,fcb,15,321153-321158
182,openssl,fcb,15,635077-635100
183,openssl,fcb,15,304524-305092
184,openssl,fcb,15,774193-774204
185,openssl,fcb,15,843938-843953
186,openssl,fcb,15,318386-318550
187,openssl,fcb,15,298256-298322
188,openssl,fcb,15,777824-777827
189,openssl,fcb,15,892802-892815
190,openssl,fcb,15,897902-897931
191,openssl,fcb,15,897563-897674
192,openssl,fcb,15,771832-771846
193,openssl,fcb,15,781914-781932
194,openssl,fcb,15,390647-390658
195,openssl,fcb,15,70450-70460
196,openssl,fcb,15,214415-214433
197,openssl,fcb,15,453534-453545
198,openssl,fcb,15,317258-317286
199,openssl,fcb,15,304932-305092
200,openssl,fcb,15,318426-318433
201,openssl,fcb,15,320658-320665
202,openssl,fcb,15,897871-897893
203,openssl,fcb,15,319159-319354
204,openssl,fcb,15,800541-800574
205,openssl,fcb,15,428973-428990
206,openssl,fcb,15,187930-187939
207,openssl,fcb,15,897123-897159
208,openssl,fcb,15,318156-318163
209,openssl,fcb,15,315781-316658
210,openssl,fcb,15,362209-362230
211,openssl,fcb,15,390616-390637
212,openssl,fcb,15,426567-426575
213,openssl,fcb,15,307198-307232
214,openssl,fcb,15,784515-784517
215,openssl,fcb,15,296215-296247
216,openssl,fcb,15,293216-293382
217,openssl,fcb,15,798322-798345
218,openssl,fcb,15,321202-321207
219,openssl,fcb,15,319449-319482
220,openssl,fcb,15,696559-696573
221,openssl,fcb,15,60494-60497
222,openssl,fcb,15,844130-844135
223,openssl,fcb,15,293394-293410
224,openssl,fcb,15,317140-317154
225,openssl,fcb,15,705461-705536
226,openssl,fcb,15,321132-321137
227,openssl,fcb,15,820451-820459
228,openssl,fcb,15,843539-843562
229,openssl,fcb,15,297138-297153
230,openssl,fcb,15,784426-784517
231,openssl,fcb,15,844214-844225
232,openssl,fcb,15,806130-806133
233,openssl,fcb,15,298309-298322
234,openssl,fcb,15,320935-321139
235,openssl,fcb,15,476591-476696
236,openssl,fcb,15,304790-305092
237,openssl,fcb,15,18673-18694
238,openssl,fcb,15,892542-892870
239,openssl,fcb,15,760127-760327
240,openssl,fcb,15,305040-305060
241,openssl,fcb,15,351486-351495
242,openssl,fcb,15,321167-321172
243,openssl,fcb,15,771816-771846
244,openssl,fcb,15,307107-307115
245,openssl,fcb,15,101940-101993
246,openssl,fcb,15,218486-218512
247,openssl,fcb,15,298404-298415
248,openssl,fcb,15,295947-296018
249,openssl,fcb,15,296255-296280
250,openssl,fcb,15,843600-843875
251,openssl,fcb,15,624943-624950
252,openssl,fcb,15,439088-439096
253,openssl,fcb,15,843553-843875
254,openssl,fcb,15,307181-307192
255,openssl,fcb,15,310629-310636
256,openssl,fcb,15,476762-476769
257,openssl,fcb,15,804276-804299
258,openssl,fcb,15,307160-307167
259,openssl,fcb,15,307308-307353
260,openssl,fcb,15,843832-843863
261,openssl,fcb,15,782046-782070
262,openssl,fcb,15,317066-317387
263,openssl,fcb,15,307094-307101
264,openssl,fcb,15,477128-477143
265,openssl,fcb,15,897341-897349
266,openssl,fcb,15,781889-781912
267,openssl,fcb,15,305062-305092
268,openssl,fcb,15,897308-897415
269,openssl,fcb,15,295959-296016
270,openssl,fcb,15,328929-328943
271,openssl,fcb,15,307280-307302
272,openssl,fcb,15,601449-601473
273,openssl,fcb,15,717914-717932
274,openssl,fcb,15,317272-317286
