,benchmark,fuzzer_combination,expid,edge
0,readelf,fca,19,3124-3131
1,readelf,fca,19,3056-3060
2,readelf,fca,19,3745-3814
3,readelf,fca,19,3752-3889
4,readelf,fca,19,3886-3915
5,readelf,fca,19,13269-13408
6,readelf,fca,19,64610-64760
7,readelf,fca,19,64996-65092
8,readelf,fca,19,3075-3079
9,readelf,fca,19,13282-13286
10,readelf,fca,19,3889-3903
11,readelf,fca,19,465-471
12,readelf,fca,19,3824-3889
13,readelf,fca,19,3297-3657
14,readelf,fca,19,64996-65005
15,readelf,fca,19,13414-13553
16,readelf,fca,19,64716-64760
17,readelf,fca,19,13431-13553
18,readelf,fca,19,3529-3657
19,readelf,fca,19,478-491
20,readelf,fca,19,65632-65575
21,readelf,fca,19,13297-13301
22,readelf,fca,19,65561-65581
23,readelf,fca,19,65584-65575
24,readelf,fca,19,65565-65575
25,readelf,fca,19,65600-65575
26,readelf,fca,19,3919-3923
27,readelf,fca,19,65688-65575
28,readelf,fca,19,65592-65575
29,readelf,fca,19,65656-65575
30,readelf,fca,19,4250-4260
31,readelf,fca,19,13288-13408
32,readelf,fca,19,4123-4125
33,readelf,fca,19,13575-13595
34,readelf,fca,19,13635-13647
35,readelf,fca,19,13652-13655
36,readelf,fca,19,17059-17260
37,readelf,fca,19,6205-6210
38,readelf,fca,19,5599-5601
39,readelf,fca,19,3987-4080
40,readelf,fca,19,13617-13647
41,readelf,fca,19,13658-13974
42,readelf,fca,19,12508-12829
43,readelf,fca,19,63659-63665
44,readelf,fca,19,13614-13620
45,readelf,fca,19,65672-65575
46,readelf,fca,19,4091-4104
47,readelf,fca,19,17065-17069
48,readelf,fca,19,4113-4125
49,readelf,fca,19,65608-65575
50,readelf,fca,19,4083-4091
51,readelf,fca,19,65624-65575
52,readelf,fca,19,13639-13647
53,readelf,fca,19,4303-4307
54,readelf,fca,19,13652-13774
55,readelf,fca,19,4300-4307
56,readelf,fca,19,13980-16221
57,readelf,fca,19,4201-4206
58,readelf,fca,19,13666-13974
59,readelf,fca,19,13614-13626
60,readelf,fca,19,14583-14587
61,readelf,fca,19,4291-4296
62,readelf,fca,19,17073-17080
63,readelf,fca,19,4281-4285
64,readelf,fca,19,13652-13672
65,readelf,fca,19,13652-13686
66,readelf,fca,19,13988-14058
67,readelf,fca,19,13652-13662
68,readelf,fca,19,15130-15139
69,readelf,fca,19,63663-63665
70,readelf,fca,19,13590-13595
71,readelf,fca,19,65664-65575
72,readelf,fca,19,13988-16129
73,readelf,fca,19,14043-16221
74,readelf,fca,19,13868-13974
75,readelf,fca,19,13818-13974
76,readelf,fca,19,13623-13647
77,readelf,fca,19,13766-13974
78,readelf,fca,19,14003-14008
79,readelf,fca,19,63656-63665
80,readelf,fca,19,13822-13974
81,readelf,fca,19,13884-13974
82,readelf,fca,19,4091-4101
83,readelf,fca,19,13652-13718
84,readelf,fca,19,14711-14715
85,readelf,fca,19,4333-5585
86,readelf,fca,19,13652-13680
87,readelf,fca,19,13900-13974
88,readelf,fca,19,13652-13768
89,readelf,fca,19,13990-13998
90,readelf,fca,19,14012-16221
91,readelf,fca,19,13599-13575
92,readelf,fca,19,13722-13974
93,readelf,fca,19,6218-6222
94,readelf,fca,19,13652-13712
95,readelf,fca,19,13990-13993
96,readelf,fca,19,13652-13800
97,readelf,fca,19,14522-14536
98,readelf,fca,19,13652-13776
99,readelf,fca,19,13676-13974
100,readelf,fca,19,14583-14595
101,readelf,fca,19,14559-14570
102,readelf,fca,19,13652-13928
103,readelf,fca,19,14583-14590
104,readelf,fca,19,14573-14577
105,readelf,fca,19,14522-14525
