,benchmark,fuzzer_combination,expid,edge
0,readelf,fcb,17,3075-3083
1,readelf,fcb,17,3060-3104
2,readelf,fcb,17,3817-3886
3,readelf,fcb,17,3733-3745
4,readelf,fcb,17,3745-3752
5,readelf,fcb,17,13269-13408
6,readelf,fcb,17,461-465
7,readelf,fcb,17,3889-3903
8,readelf,fcb,17,65378-65387
9,readelf,fcb,17,3075-3079
10,readelf,fcb,17,13286-13408
11,readelf,fcb,17,13446-13453
12,readelf,fcb,17,64610-64760
13,readelf,fcb,17,3297-3657
14,readelf,fcb,17,65022-65029
15,readelf,fcb,17,64716-64760
16,readelf,fcb,17,13414-13553
17,readelf,fcb,17,13427-13431
18,readelf,fcb,17,63759-63765
19,readelf,fcb,17,65616-65624
20,readelf,fcb,17,65565-65575
21,readelf,fcb,17,65656-65575
22,readelf,fcb,17,3529-3657
23,readelf,fcb,17,65640-65575
24,readelf,fcb,17,65584-65575
25,readelf,fcb,17,3558-3657
26,readelf,fcb,17,65608-65575
27,readelf,fcb,17,65632-65575
28,readelf,fcb,17,65688-65575
29,readelf,fcb,17,65616-65575
30,readelf,fcb,17,65600-65575
31,readelf,fcb,17,65672-65575
32,readelf,fcb,17,65648-65575
33,readelf,fcb,17,65664-65575
34,readelf,fcb,17,65126-65291
35,readelf,fcb,17,65033-65039
36,readelf,fcb,17,65005-65009
37,readelf,fcb,17,65291-65304
38,readelf,fcb,17,65017-65029
39,readelf,fcb,17,65828-65831
40,readelf,fcb,17,65033-65044
41,readelf,fcb,17,65624-65575
42,readelf,fcb,17,65592-65575
43,readelf,fcb,17,65062-65092
44,readelf,fcb,17,65066-65077
45,readelf,fcb,17,65077-65086
46,readelf,fcb,17,65044-65047
47,readelf,fcb,17,3903-3919
48,readelf,fcb,17,65680-65575
49,readelf,fcb,17,17073-17076
50,readelf,fcb,17,4250-4256
51,readelf,fcb,17,9368-9376
52,readelf,fcb,17,13571-13599
53,readelf,fcb,17,13575-13595
54,readelf,fcb,17,13655-13974
55,readelf,fcb,17,17059-17260
56,readelf,fcb,17,6214-8787
57,readelf,fcb,17,4098-4113
58,readelf,fcb,17,4080-4091
59,readelf,fcb,17,13774-13974
60,readelf,fcb,17,15130-15139
61,readelf,fcb,17,4123-4125
62,readelf,fcb,17,13988-14522
63,readelf,fcb,17,13652-13660
64,readelf,fcb,17,13635-13647
65,readelf,fcb,17,13652-13658
66,readelf,fcb,17,13652-13846
67,readelf,fcb,17,13652-13722
68,readelf,fcb,17,63656-63659
69,readelf,fcb,17,63656-63665
70,readelf,fcb,17,4113-4125
71,readelf,fcb,17,4091-4101
72,readelf,fcb,17,13652-13864
73,readelf,fcb,17,13652-13768
74,readelf,fcb,17,15871-15875
75,readelf,fcb,17,3987-4091
76,readelf,fcb,17,13876-13974
77,readelf,fcb,17,4091-4104
78,readelf,fcb,17,13736-13974
79,readelf,fcb,17,13632-13639
80,readelf,fcb,17,13652-13668
81,readelf,fcb,17,13652-13672
82,readelf,fcb,17,13676-13974
83,readelf,fcb,17,13652-13678
84,readelf,fcb,17,13680-13974
85,readelf,fcb,17,13652-13684
86,readelf,fcb,17,13652-13686
87,readelf,fcb,17,13652-13688
88,readelf,fcb,17,13626-13647
89,readelf,fcb,17,14695-14703
90,readelf,fcb,17,13286-13288
91,readelf,fcb,17,13692-13974
92,readelf,fcb,17,13824-13974
93,readelf,fcb,17,13652-13662
94,readelf,fcb,17,13652-13748
95,readelf,fcb,17,13652-13696
96,readelf,fcb,17,13584-13595
97,readelf,fcb,17,14707-14711
98,readelf,fcb,17,17073-17080
99,readelf,fcb,17,13852-13974
100,readelf,fcb,17,13620-13647
101,readelf,fcb,17,13764-13974
102,readelf,fcb,17,13614-13623
103,readelf,fcb,17,12508-12829
104,readelf,fcb,17,17069-17260
105,readelf,fcb,17,13652-13892
106,readelf,fcb,17,13599-13575
107,readelf,fcb,17,14719-14723
108,readelf,fcb,17,17171-17174
109,readelf,fcb,17,13784-13974
110,readelf,fcb,17,14522-14536
111,readelf,fcb,17,12877-12881
112,readelf,fcb,17,14583-14590
113,readelf,fcb,17,13652-13694
114,readelf,fcb,17,13766-13974
115,readelf,fcb,17,13652-13698
116,readelf,fcb,17,14541-14559
117,readelf,fcb,17,13870-13974
118,readelf,fcb,17,15157-15191
119,readelf,fcb,17,13652-13720
120,readelf,fcb,17,14573-14583
121,readelf,fcb,17,13878-13974
122,readelf,fcb,17,13652-13950
123,readelf,fcb,17,13968-13974
124,readelf,fcb,17,13710-13974
125,readelf,fcb,17,16129-16210
126,readelf,fcb,17,15102-15130
127,readelf,fcb,17,15134-15139
128,readelf,fcb,17,13652-13880
129,readelf,fcb,17,15880-15889
130,readelf,fcb,17,13746-13974
131,readelf,fcb,17,13652-13910
132,readelf,fcb,17,13874-13974
133,readelf,fcb,17,13652-13808
134,readelf,fcb,17,13704-13974
135,readelf,fcb,17,13652-13898
136,readelf,fcb,17,13940-13974
137,readelf,fcb,17,13778-13974
138,readelf,fcb,17,13912-13974
139,readelf,fcb,17,13890-13974
140,readelf,fcb,17,13652-13742
141,readelf,fcb,17,16072-16081
142,readelf,fcb,17,15893-16221
143,readelf,fcb,17,14429-14438
144,readelf,fcb,17,15777-15787
145,readelf,fcb,17,13652-13810
146,readelf,fcb,17,13652-13718
147,readelf,fcb,17,14570-14573
148,readelf,fcb,17,14862-14877
149,readelf,fcb,17,15161-16221
150,readelf,fcb,17,14438-14442
151,readelf,fcb,17,13782-13974
152,readelf,fcb,17,13908-13974
153,readelf,fcb,17,13652-13832
154,readelf,fcb,17,13652-13728
155,readelf,fcb,17,13724-13974
156,readelf,fcb,17,15157-15196
157,readelf,fcb,17,13652-13814
158,readelf,fcb,17,13790-13974
159,readelf,fcb,17,13652-13788
160,readelf,fcb,17,13652-13838
161,readelf,fcb,17,14433-14438
162,readelf,fcb,17,15173-16221
163,readelf,fcb,17,13906-13974
164,readelf,fcb,17,13652-13756
165,readelf,fcb,17,13652-13900
166,readelf,fcb,17,16115-16221
167,readelf,fcb,17,15102-15111
168,readelf,fcb,17,15835-15844
169,readelf,fcb,17,13652-13966
170,readelf,fcb,17,13884-13974
171,readelf,fcb,17,13842-13974
172,readelf,fcb,17,13062-13114
173,readelf,fcb,17,2577-2636
174,readelf,fcb,17,13652-13872
175,readelf,fcb,17,13826-13974
176,readelf,fcb,17,15157-15179
177,readelf,fcb,17,16012-16027
178,readelf,fcb,17,13652-13716
179,readelf,fcb,17,14974-14978
180,readelf,fcb,17,13652-13954
181,readelf,fcb,17,15981-15990
182,readelf,fcb,17,14448-14452
183,readelf,fcb,17,13652-13916
184,readelf,fcb,17,15185-16221
185,readelf,fcb,17,14811-14867
186,readelf,fcb,17,13962-13974
187,readelf,fcb,17,13964-13974
188,readelf,fcb,17,14583-16221
189,readelf,fcb,17,13946-13974
190,readelf,fcb,17,13652-13894
191,readelf,fcb,17,13936-13974
192,readelf,fcb,17,13652-13896
193,readelf,fcb,17,13712-13974
194,readelf,fcb,17,15981-15985
195,readelf,fcb,17,13652-13804
196,readelf,fcb,17,15741-16221
197,readelf,fcb,17,15880-15884
198,readelf,fcb,17,15010-15102
199,readelf,fcb,17,13652-13886
200,readelf,fcb,17,13652-13888
201,readelf,fcb,17,15826-15830
202,readelf,fcb,17,13652-13786
203,readelf,fcb,17,13772-13974
204,readelf,fcb,17,14882-14916
205,readelf,fcb,17,13652-13758
206,readelf,fcb,17,13652-13922
207,readelf,fcb,17,13652-13734
208,readelf,fcb,17,13806-13974
209,readelf,fcb,17,15871-16221
210,readelf,fcb,17,14882-14895
211,readelf,fcb,17,13652-13700
212,readelf,fcb,17,13902-13974
213,readelf,fcb,17,13652-13854
214,readelf,fcb,17,13062-13106
215,readelf,fcb,17,13652-13702
