,fuzzer,edge,fuzzer_combination,benchmark
2749,aflplusplus-0,10016-10021,fca,cflow
2752,aflplusplus-0,10021-10030,fca,cflow
2756,aflplusplus-0,1004-2468,fca,cflow
2763,aflplusplus-0,10054-10056,fca,cflow
2765,aflplusplus-0,10056-10064,fca,cflow
2767,aflplusplus-0,10062-10036,fca,cflow
2768,aflplusplus-0,10064-10062,fca,cflow
2770,aflplusplus-0,1007-1011,fca,cflow
2774,aflplusplus-0,10071-10078,fca,cflow
2781,aflplusplus-0,10104-10112,fca,cflow
2785,aflplusplus-0,10108-10116,fca,cflow
2787,aflplusplus-0,1011-1025,fca,cflow
2791,aflplusplus-0,10112-10116,fca,cflow
2795,aflplusplus-0,10112-10222,fca,cflow
2799,aflplusplus-0,10116-10119,fca,cflow
2802,aflplusplus-0,10119-10127,fca,cflow
2806,aflplusplus-0,10119-10157,fca,cflow
2809,aflplusplus-0,10127-10132,fca,cflow
2813,aflplusplus-0,10127-10135,fca,cflow
2817,aflplusplus-0,10127-10138,fca,cflow
2821,aflplusplus-0,10127-10142,fca,cflow
2825,aflplusplus-0,10127-10147,fca,cflow
2829,aflplusplus-0,10132-10138,fca,cflow
2833,aflplusplus-0,10135-10142,fca,cflow
2840,aflplusplus-0,10142-10147,fca,cflow
2844,aflplusplus-0,10142-10153,fca,cflow
2848,aflplusplus-0,10147-10127,fca,cflow
2852,aflplusplus-0,10147-10157,fca,cflow
2856,aflplusplus-0,10153-10168,fca,cflow
2860,aflplusplus-0,10157-10222,fca,cflow
2866,aflplusplus-0,1025-2468,fca,cflow
2871,aflplusplus-0,1028-1032,fca,cflow
2875,aflplusplus-0,10286-10289,fca,cflow
2877,aflplusplus-0,10289-10306,fca,cflow
2881,aflplusplus-0,10289-10317,fca,cflow
2883,aflplusplus-0,10289-10320,fca,cflow
2888,aflplusplus-0,10298-10320,fca,cflow
2889,aflplusplus-0,10303-10325,fca,cflow
2890,aflplusplus-0,10306-10325,fca,cflow
2896,aflplusplus-0,1032-1046,fca,cflow
2901,aflplusplus-0,10331-10367,fca,cflow
2905,aflplusplus-0,10331-10500,fca,cflow
2909,aflplusplus-0,10345-10350,fca,cflow
2911,aflplusplus-0,10361-10508,fca,cflow
2914,aflplusplus-0,10367-10508,fca,cflow
2919,aflplusplus-0,10391-10503,fca,cflow
2920,aflplusplus-0,10404-10404,fca,cflow
2924,aflplusplus-0,10415-10421,fca,cflow
2928,aflplusplus-0,10421-10503,fca,cflow
2932,aflplusplus-0,10438-10449,fca,cflow
2935,aflplusplus-0,10459-10459,fca,cflow
2937,aflplusplus-0,10459-10503,fca,cflow
2940,aflplusplus-0,1046-2468,fca,cflow
2950,aflplusplus-0,10500-10503,fca,cflow
2954,aflplusplus-0,10525-10532,fca,cflow
2956,aflplusplus-0,1053-1067,fca,cflow
2960,aflplusplus-0,10542-10553,fca,cflow
2964,aflplusplus-0,10542-10559,fca,cflow
2966,aflplusplus-0,10542-10564,fca,cflow
2974,aflplusplus-0,10553-10631,fca,cflow
2978,aflplusplus-0,10564-10631,fca,cflow
2985,aflplusplus-0,10645-10688,fca,cflow
2992,aflplusplus-0,10660-10688,fca,cflow
2996,aflplusplus-0,1067-2468,fca,cflow
3000,aflplusplus-0,10675-10688,fca,cflow
3003,aflplusplus-0,1070-1074,fca,cflow
3011,aflplusplus-0,1074-1088,fca,cflow
3014,aflplusplus-0,10741-10754,fca,cflow
3018,aflplusplus-0,10754-10741,fca,cflow
3022,aflplusplus-0,10754-10760,fca,cflow
3028,aflplusplus-0,10763-10793,fca,cflow
3031,aflplusplus-0,10790-10793,fca,cflow
3034,aflplusplus-0,10815-10904,fca,cflow
3039,aflplusplus-0,1088-2468,fca,cflow
3045,aflplusplus-0,10904-10911,fca,cflow
3047,aflplusplus-0,1091-1095,fca,cflow
3051,aflplusplus-0,10940-10949,fca,cflow
3055,aflplusplus-0,1095-1109,fca,cflow
3059,aflplusplus-0,10953-10956,fca,cflow
3064,aflplusplus-0,10968-10975,fca,cflow
3068,aflplusplus-0,10971-10978,fca,cflow
3074,aflplusplus-0,10985-10993,fca,cflow
3078,aflplusplus-0,10989-10993,fca,cflow
3082,aflplusplus-0,10993-11116,fca,cflow
3086,aflplusplus-0,10996-11004,fca,cflow
3090,aflplusplus-0,11004-11017,fca,cflow
3095,aflplusplus-0,11017-11004,fca,cflow
3099,aflplusplus-0,11017-11023,fca,cflow
3105,aflplusplus-0,11033-11037,fca,cflow
3111,aflplusplus-0,11037-11045,fca,cflow
3115,aflplusplus-0,11037-11050,fca,cflow
3119,aflplusplus-0,11045-11076,fca,cflow
3123,aflplusplus-0,11050-11058,fca,cflow
3127,aflplusplus-0,11050-11064,fca,cflow
3129,aflplusplus-0,11058-11069,fca,cflow
3133,aflplusplus-0,11069-11076,fca,cflow
3135,aflplusplus-0,1109-2468,fca,cflow
3138,aflplusplus-0,1112-1116,fca,cflow
3143,aflplusplus-0,11138-11147,fca,cflow
3145,aflplusplus-0,11138-11301,fca,cflow
3149,aflplusplus-0,11147-11153,fca,cflow
3154,aflplusplus-0,11147-11281,fca,cflow
3158,aflplusplus-0,11153-11162,fca,cflow
3162,aflplusplus-0,1116-1130,fca,cflow
3166,aflplusplus-0,11162-11167,fca,cflow
3170,aflplusplus-0,11167-11178,fca,cflow
3174,aflplusplus-0,11178-11301,fca,cflow
3178,aflplusplus-0,11183-11192,fca,cflow
3180,aflplusplus-0,11208-11220,fca,cflow
3182,aflplusplus-0,11220-11281,fca,cflow
3186,aflplusplus-0,11225-11229,fca,cflow
3190,aflplusplus-0,11225-11253,fca,cflow
3194,aflplusplus-0,11229-11234,fca,cflow
3198,aflplusplus-0,11234-11240,fca,cflow
3202,aflplusplus-0,11240-11247,fca,cflow
3206,aflplusplus-0,11247-11234,fca,cflow
3210,aflplusplus-0,11247-11295,fca,cflow
3214,aflplusplus-0,11253-11262,fca,cflow
3218,aflplusplus-0,11262-11267,fca,cflow
3221,aflplusplus-0,11267-11278,fca,cflow
3225,aflplusplus-0,11278-11295,fca,cflow
3229,aflplusplus-0,11281-11286,fca,cflow
3233,aflplusplus-0,11286-11301,fca,cflow
3240,aflplusplus-0,1130-2468,fca,cflow
3247,aflplusplus-0,11326-11341,fca,cflow
3256,aflplusplus-0,11411-11388,fca,cflow
3260,aflplusplus-0,11485-11618,fca,cflow
3265,aflplusplus-0,11501-11553,fca,cflow
