,fuzzer,edge
9455,symcc-0-exid4,10-13
874,aflplusplus-0-exid1,10016-10021
7961,aflplusplus-0-exid1,10016-10021
8347,aflplusplus-0-exid2,10016-10021
2563,aflplusplus-0-exid3,10016-10021
6609,aflplusplus-0-exid4,10016-10021
2366,fairfuzz-0-exid3,10016-10021
12402,fairfuzz-0-exid3,10016-10021
6433,fairfuzz-0-exid4,10016-10021
12989,fairfuzz-0-exid4,10016-10021
277,symcc-0-exid0,10016-10021
4294,aflplusplus-0-exid1,10021-10030
11262,aflplusplus-0-exid1,10021-10030
5217,aflplusplus-0-exid2,10021-10030
5934,aflplusplus-0-exid3,10021-10030
3250,aflplusplus-0-exid4,10021-10030
9923,aflplusplus-0-exid4,10021-10030
7143,fairfuzz-0-exid0,10021-10030
11725,fairfuzz-0-exid2,10021-10030
5747,fairfuzz-0-exid3,10021-10030
3082,fairfuzz-0-exid4,10021-10030
423,mopt-0-exid0,10021-10030
3838,mopt-0-exid0,10021-10030
11817,mopt-0-exid2,10021-10030
3701,symcc-0-exid0,10021-10030
7103,symcc-0-exid0,10021-10030
960,symcc-0-exid1,10021-10030
11094,symcc-0-exid1,10021-10030
5023,symcc-0-exid2,10021-10030
8429,symcc-0-exid2,10021-10030
11698,symcc-0-exid2,10021-10030
2433,symcc-0-exid3,10021-10030
12413,symcc-0-exid3,10021-10030
6427,symcc-0-exid4,10021-10030
13012,symcc-0-exid4,10021-10030
10368,aflplusplus-0-exid0,1004-2468
922,aflplusplus-0-exid1,1004-2468
1621,aflplusplus-0-exid2,1004-2468
2309,aflplusplus-0-exid3,1004-2468
6606,aflplusplus-0-exid4,1004-2468
9710,aflplusplus-0-exid4,1004-2468
1598,fairfuzz-0-exid2,1004-2468
2353,fairfuzz-0-exid3,1004-2468
9012,fairfuzz-0-exid3,1004-2468
12363,fairfuzz-0-exid3,1004-2468
11134,mopt-0-exid1,1004-2468
5135,mopt-0-exid2,1004-2468
11749,mopt-0-exid2,1004-2468
2476,mopt-0-exid3,1004-2468
5824,mopt-0-exid3,1004-2468
3076,mopt-0-exid4,1004-2468
3725,symcc-0-exid0,1004-2468
7129,symcc-0-exid0,1004-2468
998,symcc-0-exid1,1004-2468
12357,symcc-0-exid3,1004-2468
3091,symcc-0-exid4,1004-2468
11451,mopt-0-exid2,10040-10054
10148,symcc-0-exid0,10040-10101
6195,mopt-0-exid4,10046-10101
10180,aflplusplus-0-exid0,10054-10056
4825,aflplusplus-0-exid2,10054-10056
8219,aflplusplus-0-exid2,10054-10056
9487,aflplusplus-0-exid4,10054-10056
12752,fairfuzz-0-exid4,10054-10101
4181,aflplusplus-0-exid1,10056-10064
5530,aflplusplus-0-exid3,10056-10064
4126,symcc-0-exid1,10056-10064
3501,aflplusplus-0-exid0,10062-10036
7546,aflplusplus-0-exid1,10062-10036
11503,aflplusplus-0-exid2,10062-10036
6890,aflplusplus-0-exid0,10064-10062
1459,aflplusplus-0-exid2,10064-10062
12153,aflplusplus-0-exid3,10064-10062
2830,aflplusplus-0-exid4,10064-10062
12789,aflplusplus-0-exid4,10064-10062
5481,symcc-0-exid3,10064-10062
478,aflplusplus-0-exid0,1007-1011
5185,aflplusplus-0-exid2,1007-1011
2557,aflplusplus-0-exid3,1007-1011
13202,aflplusplus-0-exid4,1007-1011
323,fairfuzz-0-exid0,1007-1011
3744,fairfuzz-0-exid0,1007-1011
10446,fairfuzz-0-exid0,1007-1011
4391,fairfuzz-0-exid1,1007-1011
7854,fairfuzz-0-exid1,1007-1011
1761,fairfuzz-0-exid2,1007-1011
11809,fairfuzz-0-exid2,1007-1011
2418,fairfuzz-0-exid3,1007-1011
12498,fairfuzz-0-exid3,1007-1011
13053,fairfuzz-0-exid4,1007-1011
10502,mopt-0-exid0,1007-1011
4476,mopt-0-exid1,1007-1011
7840,mopt-0-exid1,1007-1011
11191,mopt-0-exid1,1007-1011
1733,mopt-0-exid2,1007-1011
5677,mopt-0-exid3,1007-1011
6636,mopt-0-exid4,1007-1011
10490,symcc-0-exid0,1007-1011
1002,symcc-0-exid1,1007-1011
9807,symcc-0-exid4,1007-1011
9490,aflplusplus-0-exid4,10071-10078
8823,fairfuzz-0-exid3,10071-10078
5476,symcc-0-exid3,10075-10081
9475,mopt-0-exid4,10081-10040
9482,symcc-0-exid4,10083-10101
5489,mopt-0-exid3,10086-10101
7505,symcc-0-exid1,10104-10108
186,aflplusplus-0-exid0,10104-10112
7363,aflplusplus-0-exid0,10104-10112
899,aflplusplus-0-exid1,10104-10112
4308,aflplusplus-0-exid1,10104-10112
1861,aflplusplus-0-exid2,10104-10112
5219,aflplusplus-0-exid2,10104-10112
6610,aflplusplus-0-exid4,10104-10112
4394,fairfuzz-0-exid1,10104-10112
7847,fairfuzz-0-exid1,10104-10112
11076,fairfuzz-0-exid1,10104-10112
1688,fairfuzz-0-exid2,10104-10112
5152,mopt-0-exid2,10104-10112
11819,mopt-0-exid2,10104-10112
5817,mopt-0-exid3,10104-10112
6510,mopt-0-exid4,10104-10112
9835,mopt-0-exid4,10104-10112
3708,symcc-0-exid0,10104-10112
4374,symcc-0-exid1,10104-10112
11098,symcc-0-exid1,10104-10112
5753,symcc-0-exid3,10104-10112
5527,aflplusplus-0-exid3,10108-10116
2099,mopt-0-exid3,10108-10116
1159,aflplusplus-0-exid1,1011-1025
1840,aflplusplus-0-exid2,1011-1025
8626,aflplusplus-0-exid2,1011-1025
11180,fairfuzz-0-exid1,1011-1025
8462,fairfuzz-0-exid2,1011-1025
5727,fairfuzz-0-exid3,1011-1025
9154,fairfuzz-0-exid3,1011-1025
436,mopt-0-exid0,1011-1025
7232,mopt-0-exid0,1011-1025
3150,mopt-0-exid4,1011-1025
9794,mopt-0-exid4,1011-1025
384,symcc-0-exid0,1011-1025
7817,symcc-0-exid1,1011-1025
5111,symcc-0-exid2,1011-1025
8560,symcc-0-exid2,1011-1025
2445,symcc-0-exid3,1011-1025
12481,symcc-0-exid3,1011-1025
3154,symcc-0-exid4,1011-1025
3917,aflplusplus-0-exid0,10112-10116
8374,aflplusplus-0-exid2,10112-10116
11920,aflplusplus-0-exid2,10112-10116
12263,aflplusplus-0-exid3,10112-10116
3711,fairfuzz-0-exid0,10112-10116
10414,fairfuzz-0-exid0,10112-10116
8510,fairfuzz-0-exid2,10112-10116
6440,fairfuzz-0-exid4,10112-10116
9750,fairfuzz-0-exid4,10112-10116
9183,mopt-0-exid3,10112-10116
12470,mopt-0-exid3,10112-10116
13100,mopt-0-exid4,10112-10116
296,symcc-0-exid0,10112-10116
7110,symcc-0-exid0,10112-10116
975,symcc-0-exid1,10112-10116
8432,symcc-0-exid2,10112-10116
11705,symcc-0-exid2,10112-10116
3042,symcc-0-exid4,10112-10116
9748,symcc-0-exid4,10112-10116
245,aflplusplus-0-exid0,10112-10222
3930,aflplusplus-0-exid0,10112-10222
10628,aflplusplus-0-exid0,10112-10222
7976,aflplusplus-0-exid1,10112-10222
11280,aflplusplus-0-exid1,10112-10222
1869,aflplusplus-0-exid2,10112-10222
5236,aflplusplus-0-exid2,10112-10222
11935,aflplusplus-0-exid2,10112-10222
2586,aflplusplus-0-exid3,10112-10222
5966,aflplusplus-0-exid3,10112-10222
9286,aflplusplus-0-exid3,10112-10222
3290,aflplusplus-0-exid4,10112-10222
6651,aflplusplus-0-exid4,10112-10222
9933,aflplusplus-0-exid4,10112-10222
13200,aflplusplus-0-exid4,10112-10222
337,fairfuzz-0-exid0,10112-10222
3753,fairfuzz-0-exid0,10112-10222
7248,fairfuzz-0-exid0,10112-10222
10452,fairfuzz-0-exid0,10112-10222
1068,fairfuzz-0-exid1,10112-10222
4424,fairfuzz-0-exid1,10112-10222
7851,fairfuzz-0-exid1,10112-10222
11223,fairfuzz-0-exid1,10112-10222
1714,fairfuzz-0-exid2,10112-10222
5197,fairfuzz-0-exid2,10112-10222
8552,fairfuzz-0-exid2,10112-10222
11777,fairfuzz-0-exid2,10112-10222
2527,fairfuzz-0-exid3,10112-10222
5873,fairfuzz-0-exid3,10112-10222
9155,fairfuzz-0-exid3,10112-10222
12376,fairfuzz-0-exid3,10112-10222
3352,fairfuzz-0-exid4,10112-10222
6583,fairfuzz-0-exid4,10112-10222
9773,fairfuzz-0-exid4,10112-10222
13042,fairfuzz-0-exid4,10112-10222
453,mopt-0-exid0,10112-10222
3860,mopt-0-exid0,10112-10222
7217,mopt-0-exid0,10112-10222
10514,mopt-0-exid0,10112-10222
7893,mopt-0-exid1,10112-10222
11177,mopt-0-exid1,10112-10222
1788,mopt-0-exid2,10112-10222
5156,mopt-0-exid2,10112-10222
2525,mopt-0-exid3,10112-10222
5896,mopt-0-exid3,10112-10222
9205,mopt-0-exid3,10112-10222
3268,mopt-0-exid4,10112-10222
6581,mopt-0-exid4,10112-10222
9844,mopt-0-exid4,10112-10222
3809,symcc-0-exid0,10112-10222
10593,symcc-0-exid0,10112-10222
7827,symcc-0-exid1,10112-10222
11161,symcc-0-exid1,10112-10222
5142,symcc-0-exid2,10112-10222
8617,symcc-0-exid2,10112-10222
11797,symcc-0-exid2,10112-10222
2694,symcc-0-exid3,10112-10222
5869,symcc-0-exid3,10112-10222
12370,symcc-0-exid3,10112-10222
3233,symcc-0-exid4,10112-10222
6584,symcc-0-exid4,10112-10222
9873,symcc-0-exid4,10112-10222
13235,symcc-0-exid4,10112-10222
3914,aflplusplus-0-exid0,10116-10119
9275,aflplusplus-0-exid3,10116-10119
13182,aflplusplus-0-exid4,10116-10119
3719,fairfuzz-0-exid0,10116-10119
2376,fairfuzz-0-exid3,10116-10119
426,mopt-0-exid0,10116-10119
4475,mopt-0-exid1,10116-10119
11179,mopt-0-exid1,10116-10119
12460,mopt-0-exid3,10116-10119
3127,mopt-0-exid4,10116-10119
6513,mopt-0-exid4,10116-10119
3257,aflplusplus-0-exid4,10119-10127
9928,aflplusplus-0-exid4,10119-10127
1059,fairfuzz-0-exid1,10119-10127
11104,fairfuzz-0-exid1,10119-10127
9765,fairfuzz-0-exid4,10119-10127
1073,mopt-0-exid1,10119-10127
9824,mopt-0-exid4,10119-10127
13110,mopt-0-exid4,10119-10127
7123,symcc-0-exid0,10119-10127
3044,symcc-0-exid4,10119-10127
2580,aflplusplus-0-exid3,10119-10157
9292,aflplusplus-0-exid3,10119-10157
1094,mopt-0-exid1,10119-10157
11184,mopt-0-exid1,10119-10157
2708,mopt-0-exid3,10119-10157
9416,mopt-0-exid3,10119-10157
411,symcc-0-exid0,10119-10157
3888,symcc-0-exid0,10119-10157
7258,symcc-0-exid0,10119-10157
10592,symcc-0-exid0,10119-10157
1034,symcc-0-exid1,10119-10157
4529,symcc-0-exid1,10119-10157
7946,symcc-0-exid1,10119-10157
11139,symcc-0-exid1,10119-10157
1698,symcc-0-exid2,10119-10157
5193,symcc-0-exid2,10119-10157
8621,symcc-0-exid2,10119-10157
11868,symcc-0-exid2,10119-10157
2456,symcc-0-exid3,10119-10157
5794,symcc-0-exid3,10119-10157
9208,symcc-0-exid3,10119-10157
12537,symcc-0-exid3,10119-10157
3081,symcc-0-exid4,10119-10157
6564,symcc-0-exid4,10119-10157
9865,symcc-0-exid4,10119-10157
13170,symcc-0-exid4,10119-10157
7367,aflplusplus-0-exid0,10127-10132
4574,aflplusplus-0-exid1,10127-10132
7983,aflplusplus-0-exid1,10127-10132
2585,aflplusplus-0-exid3,10127-10132
3264,aflplusplus-0-exid4,10127-10132
6641,aflplusplus-0-exid4,10127-10132
2521,fairfuzz-0-exid3,10127-10132
5782,fairfuzz-0-exid3,10127-10132
12513,fairfuzz-0-exid3,10127-10132
7928,mopt-0-exid1,10127-10132
5144,mopt-0-exid2,10127-10132
5816,mopt-0-exid3,10127-10132
9248,mopt-0-exid3,10127-10132
6657,mopt-0-exid4,10127-10132
4519,symcc-0-exid1,10127-10132
8564,symcc-0-exid2,10127-10132
2523,symcc-0-exid3,10127-10132
5778,symcc-0-exid3,10127-10132
12521,symcc-0-exid3,10127-10132
3920,aflplusplus-0-exid0,10127-10135
10623,aflplusplus-0-exid0,10127-10135
3739,fairfuzz-0-exid0,10127-10135
1697,fairfuzz-0-exid2,10127-10135
9088,fairfuzz-0-exid3,10127-10135
3088,fairfuzz-0-exid4,10127-10135
11195,mopt-0-exid1,10127-10135
1772,mopt-0-exid2,10127-10135
8561,mopt-0-exid2,10127-10135
