,fuzzer,edge
7054,afl-0-exid20,10016-10021
951,afl-0-exid21,10016-10021
11801,afl-0-exid22,10016-10021
2252,afl-0-exid23,10016-10021
5653,afl-0-exid23,10016-10021
2962,afl-0-exid24,10016-10021
9718,afl-0-exid24,10016-10021
10618,aflfast-0-exid20,10016-10021
11358,aflfast-0-exid21,10016-10021
3184,aflfast-0-exid24,10016-10021
10662,aflplusplus-0-exid20,10016-10021
4482,aflplusplus-0-exid21,10016-10021
2470,aflplusplus-0-exid23,10016-10021
12395,aflplusplus-0-exid23,10016-10021
6504,aflplusplus-0-exid24,10016-10021
279,fairfuzz-0-exid20,10016-10021
7067,fairfuzz-0-exid20,10016-10021
961,fairfuzz-0-exid21,10016-10021
4285,fairfuzz-0-exid21,10016-10021
11823,fairfuzz-0-exid22,10016-10021
12556,fairfuzz-0-exid23,10016-10021
4287,afl-0-exid21,10021-10030
4961,afl-0-exid22,10021-10030
8353,afl-0-exid22,10021-10030
13194,afl-0-exid24,10021-10030
7209,aflfast-0-exid20,10021-10030
802,aflfast-0-exid21,10021-10030
4386,aflfast-0-exid21,10021-10030
12003,aflfast-0-exid22,10021-10030
2387,aflfast-0-exid23,10021-10030
6486,aflfast-0-exid24,10021-10030
13318,aflfast-0-exid24,10021-10030
7256,aflplusplus-0-exid20,10021-10030
8575,aflplusplus-0-exid22,10021-10030
5863,aflplusplus-0-exid23,10021-10030
13389,aflplusplus-0-exid24,10021-10030
5677,fairfuzz-0-exid23,10021-10030
989,afl-0-exid21,1004-2468
5632,afl-0-exid23,1004-2468
883,aflfast-0-exid21,1004-2468
4180,aflfast-0-exid21,1004-2468
11077,aflfast-0-exid21,1004-2468
1577,aflfast-0-exid22,1004-2468
11897,aflfast-0-exid22,1004-2468
2397,aflfast-0-exid23,1004-2468
9859,aflfast-0-exid24,1004-2468
7885,aflplusplus-0-exid21,1004-2468
2478,aflplusplus-0-exid23,1004-2468
12452,aflplusplus-0-exid23,1004-2468
2889,aflplusplus-0-exid24,1004-2468
9711,aflplusplus-0-exid24,1004-2468
13383,aflplusplus-0-exid24,1004-2468
8387,fairfuzz-0-exid22,1004-2468
8155,aflplusplus-0-exid22,10040-10046
1392,fairfuzz-0-exid22,10040-10046
5425,afl-0-exid23,10040-10071
8129,fairfuzz-0-exid22,10040-10083
1398,afl-0-exid22,10040-10086
8121,afl-0-exid22,10044-10046
12298,fairfuzz-0-exid23,10044-10046
11573,afl-0-exid22,10046-10101
10223,aflplusplus-0-exid20,10046-10101
4748,aflplusplus-0-exid22,10046-10101
8127,fairfuzz-0-exid22,10046-10101
5430,fairfuzz-0-exid23,10046-10101
10897,aflfast-0-exid21,10054-10056
2060,aflfast-0-exid23,10054-10056
4066,aflplusplus-0-exid21,10054-10056
12983,aflplusplus-0-exid24,10054-10056
1425,aflfast-0-exid22,10056-10064
10920,aflplusplus-0-exid21,10056-10064
8154,aflplusplus-0-exid22,10056-10064
11593,aflplusplus-0-exid22,10056-10064
2728,aflplusplus-0-exid24,10056-10064
6824,aflfast-0-exid20,10062-10036
10237,aflfast-0-exid20,10062-10036
9513,aflfast-0-exid24,10062-10036
6107,aflplusplus-0-exid24,10062-10036
7488,aflfast-0-exid21,10064-10062
5467,aflfast-0-exid23,10064-10062
8847,aflfast-0-exid23,10064-10062
12330,aflfast-0-exid23,10064-10062
2720,aflfast-0-exid24,10064-10062
55,aflplusplus-0-exid20,10064-10062
6816,aflplusplus-0-exid20,10064-10062
10229,aflplusplus-0-exid20,10064-10062
7466,aflplusplus-0-exid21,10064-10062
1426,aflplusplus-0-exid22,10064-10062
2059,aflplusplus-0-exid23,10064-10062
9522,aflplusplus-0-exid24,10064-10062
331,afl-0-exid20,1007-1011
7133,afl-0-exid20,1007-1011
10547,afl-0-exid20,1007-1011
1676,afl-0-exid22,1007-1011
8970,afl-0-exid23,1007-1011
2941,afl-0-exid24,1007-1011
6455,afl-0-exid24,1007-1011
396,aflfast-0-exid20,1007-1011
1190,aflfast-0-exid21,1007-1011
4382,aflfast-0-exid21,1007-1011
8518,aflfast-0-exid22,1007-1011
11973,aflfast-0-exid22,1007-1011
