,fuzzer,edge,fuzzer_combination,benchmark
3913,aflplusplus-0,1383-1390,fca,jq
3917,aflplusplus-0,1390-1412,fca,jq
3921,aflplusplus-0,1424-1439,fca,jq
3925,aflplusplus-0,1471-1481,fca,jq
3931,aflplusplus-0,15847-15850,fca,jq
3933,aflplusplus-0,15850-15875,fca,jq
3937,aflplusplus-0,15988-16007,fca,jq
3941,aflplusplus-0,16149-16152,fca,jq
3945,aflplusplus-0,16152-16177,fca,jq
3953,aflplusplus-0,16354-16374,fca,jq
3956,aflplusplus-0,16374-16399,fca,jq
3961,aflplusplus-0,16399-16414,fca,jq
3966,aflplusplus-0,1645-1654,fca,jq
3971,aflplusplus-0,16656-16680,fca,jq
3975,aflplusplus-0,16680-16695,fca,jq
3981,aflplusplus-0,16839-16850,fca,jq
3983,aflplusplus-0,16839-16871,fca,jq
3987,aflplusplus-0,16850-16859,fca,jq
3991,aflplusplus-0,16855-16859,fca,jq
4000,aflplusplus-0,18695-18695,fca,jq
4005,aflplusplus-0,19051-19060,fca,jq
4006,aflplusplus-0,19498-19541,fca,jq
4009,aflplusplus-0,19506-19531,fca,jq
4015,aflplusplus-0,21598-21607,fca,jq
4019,aflplusplus-0,21607-21624,fca,jq
4023,aflplusplus-0,21624-21636,fca,jq
4027,aflplusplus-0,21636-21663,fca,jq
4031,aflplusplus-0,21646-21655,fca,jq
4035,aflplusplus-0,21655-21598,fca,jq
4039,aflplusplus-0,21663-21679,fca,jq
4042,aflplusplus-0,21679-22224,fca,jq
4046,aflplusplus-0,21684-21747,fca,jq
4048,aflplusplus-0,21703-21709,fca,jq
4054,aflplusplus-0,21764-21777,fca,jq
4055,aflplusplus-0,21777-21794,fca,jq
4058,aflplusplus-0,21794-21794,fca,jq
4060,aflplusplus-0,21794-21811,fca,jq
4068,aflplusplus-0,21862-21895,fca,jq
4072,aflplusplus-0,21895-21900,fca,jq
4075,aflplusplus-0,21900-21910,fca,jq
4080,aflplusplus-0,21910-21961,fca,jq
4088,aflplusplus-0,21951-21961,fca,jq
4089,aflplusplus-0,21961-21971,fca,jq
4093,aflplusplus-0,21961-21982,fca,jq
4094,aflplusplus-0,21971-21910,fca,jq
4100,aflplusplus-0,21997-22003,fca,jq
4103,aflplusplus-0,22003-22011,fca,jq
4108,aflplusplus-0,22040-22045,fca,jq
4110,aflplusplus-0,22045-21847,fca,jq
4113,aflplusplus-0,22050-22085,fca,jq
4116,aflplusplus-0,22050-22164,fca,jq
4120,aflplusplus-0,22085-22093,fca,jq
4124,aflplusplus-0,22093-22099,fca,jq
4129,aflplusplus-0,22099-22145,fca,jq
4133,aflplusplus-0,22106-22123,fca,jq
4138,aflplusplus-0,22145-22153,fca,jq
4142,aflplusplus-0,22145-22164,fca,jq
4146,aflplusplus-0,22153-22099,fca,jq
4150,aflplusplus-0,22164-22177,fca,jq
4151,aflplusplus-0,22177-22183,fca,jq
4157,aflplusplus-0,22197-22220,fca,jq
4162,aflplusplus-0,2279-2285,fca,jq
4163,aflplusplus-0,2285-2292,fca,jq
4164,aflplusplus-0,23182-23202,fca,jq
4167,aflplusplus-0,23202-23217,fca,jq
4170,aflplusplus-0,23703-23733,fca,jq
4172,aflplusplus-0,23733-23743,fca,jq
4174,aflplusplus-0,23743-23736,fca,jq
4176,aflplusplus-0,23743-23743,fca,jq
4180,aflplusplus-0,23782-23791,fca,jq
4184,aflplusplus-0,23791-23801,fca,jq
4188,aflplusplus-0,23801-23837,fca,jq
4192,aflplusplus-0,23818-23837,fca,jq
4196,aflplusplus-0,23861-25804,fca,jq
4197,aflplusplus-0,23876-23881,fca,jq
4201,aflplusplus-0,23881-23887,fca,jq
4205,aflplusplus-0,23887-25804,fca,jq
4209,aflplusplus-0,23986-25598,fca,jq
4216,aflplusplus-0,23992-24007,fca,jq
4220,aflplusplus-0,24001-24141,fca,jq
4224,aflplusplus-0,24007-24024,fca,jq
4228,aflplusplus-0,24024-24081,fca,jq
4232,aflplusplus-0,24081-24086,fca,jq
4235,aflplusplus-0,24081-25598,fca,jq
4239,aflplusplus-0,24086-24090,fca,jq
4243,aflplusplus-0,24086-24121,fca,jq
4247,aflplusplus-0,24090-24099,fca,jq
4251,aflplusplus-0,24099-24105,fca,jq
4255,aflplusplus-0,24099-24121,fca,jq
4259,aflplusplus-0,24105-24113,fca,jq
