,fuzzer,edge,fuzzer_combination,benchmark
0,aflplusplus-0,10006-10012,fca,libpng
4,aflplusplus-0,10012-10025,fca,libpng
8,aflplusplus-0,10025-10032,fca,libpng
10,aflplusplus-0,10032-10041,fca,libpng
13,aflplusplus-0,10032-10060,fca,libpng
14,aflplusplus-0,10041-10060,fca,libpng
18,aflplusplus-0,10186-10200,fca,libpng
21,aflplusplus-0,10186-10207,fca,libpng
24,aflplusplus-0,10200-10207,fca,libpng
30,aflplusplus-0,10207-10277,fca,libpng
36,aflplusplus-0,10220-10231,fca,libpng
40,aflplusplus-0,10220-10237,fca,libpng
43,aflplusplus-0,10231-10275,fca,libpng
47,aflplusplus-0,10237-10245,fca,libpng
51,aflplusplus-0,10237-10250,fca,libpng
53,aflplusplus-0,10245-10289,fca,libpng
57,aflplusplus-0,10250-10257,fca,libpng
59,aflplusplus-0,10250-10273,fca,libpng
61,aflplusplus-0,10257-10273,fca,libpng
63,aflplusplus-0,10273-10289,fca,libpng
64,aflplusplus-0,10275-10277,fca,libpng
68,aflplusplus-0,10277-10289,fca,libpng
72,aflplusplus-0,10308-10330,fca,libpng
76,aflplusplus-0,10308-10339,fca,libpng
80,aflplusplus-0,10308-10384,fca,libpng
85,aflplusplus-0,10330-10411,fca,libpng
89,aflplusplus-0,10339-10411,fca,libpng
93,aflplusplus-0,1036-1056,fca,libpng
94,aflplusplus-0,10384-10411,fca,libpng
98,aflplusplus-0,10411-10416,fca,libpng
99,aflplusplus-0,105-132,fca,libpng
106,aflplusplus-0,11680-11687,fca,libpng
112,aflplusplus-0,12098-12113,fca,libpng
113,aflplusplus-0,12104-12113,fca,libpng
117,aflplusplus-0,12113-12131,fca,libpng
123,aflplusplus-0,12133-12139,fca,libpng
127,aflplusplus-0,12222-12231,fca,libpng
131,aflplusplus-0,12231-12240,fca,libpng
135,aflplusplus-0,12479-12490,fca,libpng
139,aflplusplus-0,12610-12624,fca,libpng
144,aflplusplus-0,12624-12635,fca,libpng
148,aflplusplus-0,12630-12635,fca,libpng
155,aflplusplus-0,12654-12665,fca,libpng
164,aflplusplus-0,12725-12830,fca,libpng
167,aflplusplus-0,12729-12768,fca,libpng
171,aflplusplus-0,12744-12751,fca,libpng
174,aflplusplus-0,12744-12768,fca,libpng
178,aflplusplus-0,12751-12758,fca,libpng
182,aflplusplus-0,12751-12765,fca,libpng
185,aflplusplus-0,12758-12765,fca,libpng
189,aflplusplus-0,12765-12768,fca,libpng
191,aflplusplus-0,12768-12773,fca,libpng
195,aflplusplus-0,12773-12828,fca,libpng
199,aflplusplus-0,12817-12828,fca,libpng
203,aflplusplus-0,12830-12844,fca,libpng
