,fuzzer,edge
15199,aflfast-0-exid20,10006-10012
9233,aflplusplus-0-exid21,10006-10012
12095,fairfuzz-0-exid23,10006-10012
6228,fairfuzz-0-exid24,10006-10012
812,aflfast-0-exid20,10012-10025
19510,aflfast-0-exid23,10012-10025
6344,aflfast-0-exid24,10012-10025
2009,aflplusplus-0-exid21,10012-10025
15109,afl-0-exid20,10025-10032
19334,afl-0-exid23,10025-10032
10744,aflfast-0-exid22,10025-10032
12358,aflfast-0-exid23,10025-10032
17915,fairfuzz-0-exid22,10025-10032
26632,fairfuzz-0-exid23,10025-10032
12557,afl-0-exid23,10032-10041
7083,afl-0-exid24,10032-10041
7085,aflfast-0-exid24,10032-10041
2640,aflplusplus-0-exid21,10032-10041
27411,aflplusplus-0-exid23,10032-10041
7087,aflplusplus-0-exid24,10032-10041
28920,aflplusplus-0-exid24,10032-10041
23063,fairfuzz-0-exid20,10032-10041
11446,afl-0-exid22,10041-10060
27412,afl-0-exid23,10041-10060
24513,aflfast-0-exid21,10041-10060
18642,aflplusplus-0-exid22,10041-10060
27413,fairfuzz-0-exid23,10041-10060
18827,afl-0-exid23,10186-10200
17429,aflfast-0-exid22,10186-10200
18872,aflplusplus-0-exid23,10186-10200
10130,fairfuzz-0-exid22,10186-10200
26114,fairfuzz-0-exid23,10186-10200
16209,afl-0-exid21,10186-10207
4554,afl-0-exid23,10186-10207
6076,afl-0-exid24,10186-10207
622,aflfast-0-exid20,10186-10207
8828,aflfast-0-exid21,10186-10207
25348,aflfast-0-exid22,10186-10207
19467,aflfast-0-exid23,10186-10207
6306,aflfast-0-exid24,10186-10207
28205,aflfast-0-exid24,10186-10207
22233,aflplusplus-0-exid20,10186-10207
28112,aflplusplus-0-exid24,10186-10207
21993,fairfuzz-0-exid20,10186-10207
9015,fairfuzz-0-exid21,10186-10207
4702,fairfuzz-0-exid23,10186-10207
19208,fairfuzz-0-exid23,10186-10207
297,afl-0-exid20,10200-10207
8603,afl-0-exid20,10200-10207
15521,afl-0-exid20,10200-10207
22595,afl-0-exid20,10200-10207
3724,afl-0-exid22,10200-10207
10438,afl-0-exid22,10200-10207
17824,afl-0-exid22,10200-10207
25918,afl-0-exid22,10200-10207
27523,afl-0-exid23,10200-10207
14453,afl-0-exid24,10200-10207
28865,afl-0-exid24,10200-10207
623,aflfast-0-exid20,10200-10207
7360,aflfast-0-exid20,10200-10207
15196,aflfast-0-exid20,10200-10207
21819,aflfast-0-exid20,10200-10207
1618,aflfast-0-exid21,10200-10207
8829,aflfast-0-exid21,10200-10207
16481,aflfast-0-exid21,10200-10207
23727,aflfast-0-exid21,10200-10207
3530,aflfast-0-exid22,10200-10207
10711,aflfast-0-exid22,10200-10207
18020,aflfast-0-exid22,10200-10207
25406,aflfast-0-exid22,10200-10207
4442,aflfast-0-exid23,10200-10207
12327,aflfast-0-exid23,10200-10207
19534,aflfast-0-exid23,10200-10207
26802,aflfast-0-exid23,10200-10207
6359,aflfast-0-exid24,10200-10207
13784,aflfast-0-exid24,10200-10207
20970,aflfast-0-exid24,10200-10207
28259,aflfast-0-exid24,10200-10207
539,aflplusplus-0-exid20,10200-10207
7768,aflplusplus-0-exid20,10200-10207
15098,aflplusplus-0-exid20,10200-10207
22235,aflplusplus-0-exid20,10200-10207
1986,aflplusplus-0-exid21,10200-10207
9200,aflplusplus-0-exid21,10200-10207
16414,aflplusplus-0-exid21,10200-10207
23707,aflplusplus-0-exid21,10200-10207
3436,aflplusplus-0-exid22,10200-10207
17970,aflplusplus-0-exid22,10200-10207
25269,aflplusplus-0-exid22,10200-10207
4830,aflplusplus-0-exid23,10200-10207
