,fuzzer,edge,fuzzer_combination,benchmark
6,aflplusplus-0,10013-10104,fca,libxml2
12,aflplusplus-0,10027-10104,fca,libxml2
18,aflplusplus-0,100379-100381,fca,libxml2
19,aflplusplus-0,100385-100392,fca,libxml2
22,aflplusplus-0,10041-10104,fca,libxml2
28,aflplusplus-0,100410-100477,fca,libxml2
30,aflplusplus-0,100430-100475,fca,libxml2
35,aflplusplus-0,100475-100477,fca,libxml2
39,aflplusplus-0,10055-10104,fca,libxml2
46,aflplusplus-0,100566-100521,fca,libxml2
48,aflplusplus-0,100645-100667,fca,libxml2
50,aflplusplus-0,100667-100674,fca,libxml2
53,aflplusplus-0,10069-10104,fca,libxml2
58,aflplusplus-0,100755-100759,fca,libxml2
59,aflplusplus-0,100764-100781,fca,libxml2
62,aflplusplus-0,100781-100786,fca,libxml2
66,aflplusplus-0,100786-100805,fca,libxml2
70,aflplusplus-0,100805-100812,fca,libxml2
75,aflplusplus-0,10083-10104,fca,libxml2
80,aflplusplus-0,100852-100867,fca,libxml2
85,aflplusplus-0,100877-100887,fca,libxml2
87,aflplusplus-0,100887-100891,fca,libxml2
91,aflplusplus-0,100891-100901,fca,libxml2
98,aflplusplus-0,100919-100928,fca,libxml2
102,aflplusplus-0,100952-100956,fca,libxml2
106,aflplusplus-0,1011-1038,fca,libxml2
112,aflplusplus-0,10124-10162,fca,libxml2
118,aflplusplus-0,10138-10162,fca,libxml2
122,aflplusplus-0,10152-10228,fca,libxml2
134,aflplusplus-0,102533-102537,fca,libxml2
135,aflplusplus-0,102537-102615,fca,libxml2
136,aflplusplus-0,102615-102617,fca,libxml2
143,aflplusplus-0,102793-102802,fca,libxml2
145,aflplusplus-0,102842-102852,fca,libxml2
162,aflplusplus-0,103016-103031,fca,libxml2
166,aflplusplus-0,103031-103089,fca,libxml2
170,aflplusplus-0,103089-103096,fca,libxml2
173,aflplusplus-0,103096-103115,fca,libxml2
180,aflplusplus-0,10325-10337,fca,libxml2
183,aflplusplus-0,103714-103723,fca,libxml2
184,aflplusplus-0,103714-103736,fca,libxml2
186,aflplusplus-0,103736-103743,fca,libxml2
187,aflplusplus-0,103743-103747,fca,libxml2
189,aflplusplus-0,10376-10399,fca,libxml2
193,aflplusplus-0,103830-103852,fca,libxml2
195,aflplusplus-0,10385-10399,fca,libxml2
196,aflplusplus-0,103852-103860,fca,libxml2
198,aflplusplus-0,10399-10403,fca,libxml2
207,aflplusplus-0,104155-104192,fca,libxml2
216,aflplusplus-0,10439-10447,fca,libxml2
