,fuzzer,edge
8252,aflplusplus-0-exid0,1017-1023
13489,aflplusplus-0-exid1,1017-1023
10114,aflplusplus-0-exid2,1017-1023
13475,fairfuzz-0-exid1,1017-1023
6273,fairfuzz-0-exid3,1017-1023
11685,fairfuzz-0-exid4,1017-1023
137,mopt-0-exid0,1017-1023
13582,mopt-0-exid1,1017-1023
11746,mopt-0-exid4,1017-1023
8972,symcc-0-exid1,1017-1023
5570,symcc-0-exid2,1017-1023
10100,symcc-0-exid2,1017-1023
5489,aflplusplus-0-exid2,1023-1032
2493,aflplusplus-0-exid3,1023-1032
10761,aflplusplus-0-exid3,1023-1032
10220,fairfuzz-0-exid2,1023-1032
2591,fairfuzz-0-exid3,1023-1032
3259,fairfuzz-0-exid4,1023-1032
3921,mopt-0-exid0,1023-1032
726,mopt-0-exid1,1023-1032
8893,mopt-0-exid1,1023-1032
14227,mopt-0-exid2,1023-1032
10887,mopt-0-exid3,1023-1032
64,symcc-0-exid0,1023-1032
645,symcc-0-exid1,1023-1032
6217,symcc-0-exid3,1023-1032
14869,symcc-0-exid3,1023-1032
7130,symcc-0-exid4,1023-1032
11715,symcc-0-exid4,1023-1032
15785,symcc-0-exid4,1023-1032
5463,fairfuzz-0-exid2,1026-1032
7681,mopt-0-exid4,103299-103305
9634,symcc-0-exid1,103299-103305
9700,fairfuzz-0-exid1,103299-103317
13091,symcc-0-exid0,103305-103312
11500,aflplusplus-0-exid3,103334-103347
9302,fairfuzz-0-exid1,103334-103347
11477,fairfuzz-0-exid3,103334-103347
15507,fairfuzz-0-exid3,103334-103347
1742,mopt-0-exid1,103334-103347
5133,mopt-0-exid1,103334-103347
6812,mopt-0-exid3,103334-103347
11469,mopt-0-exid3,103334-103347
8021,symcc-0-exid0,103334-103347
1740,symcc-0-exid1,103334-103347
5092,symcc-0-exid1,103334-103347
11462,symcc-0-exid3,103334-103347
13032,aflplusplus-0-exid0,103334-103350
4998,aflplusplus-0-exid1,103334-103350
15427,mopt-0-exid3,103334-103350
5392,aflplusplus-0-exid1,103347-103385
9110,aflplusplus-0-exid1,103347-103385
1759,fairfuzz-0-exid1,103347-103385
5246,fairfuzz-0-exid1,103347-103385
9170,mopt-0-exid1,103347-103385
15485,mopt-0-exid3,103347-103385
12547,symcc-0-exid0,103347-103385
6806,symcc-0-exid3,103347-103385
15479,symcc-0-exid3,103347-103385
992,aflplusplus-0-exid1,103350-103358
11319,aflplusplus-0-exid3,103350-103358
15384,aflplusplus-0-exid3,103350-103358
8456,fairfuzz-0-exid0,103350-103358
7677,fairfuzz-0-exid4,103350-103358
5104,mopt-0-exid1,103350-103358
2408,symcc-0-exid2,103350-103358
14756,symcc-0-exid2,103350-103358
1361,fairfuzz-0-exid1,103358-103363
2407,fairfuzz-0-exid2,103358-103363
11428,fairfuzz-0-exid3,103358-103363
8576,mopt-0-exid0,103358-103363
13152,mopt-0-exid0,103358-103363
1068,mopt-0-exid1,103358-103363
5122,mopt-0-exid1,103358-103363
9643,mopt-0-exid1,103358-103363
14760,mopt-0-exid2,103358-103363
8504,symcc-0-exid0,103358-103363
13066,symcc-0-exid0,103358-103363
9627,symcc-0-exid1,103358-103363
11362,symcc-0-exid3,103358-103363
14757,fairfuzz-0-exid2,103358-103366
6856,fairfuzz-0-exid3,103358-103366
8424,aflplusplus-0-exid0,103363-103385
9573,aflplusplus-0-exid1,103363-103385
6696,aflplusplus-0-exid3,103363-103385
13210,fairfuzz-0-exid0,103363-103385
5285,fairfuzz-0-exid1,103363-103385
9678,fairfuzz-0-exid1,103363-103385
14755,fairfuzz-0-exid2,103363-103385
6869,fairfuzz-0-exid3,103363-103385
2414,mopt-0-exid2,103363-103385
11383,mopt-0-exid3,103363-103385
7679,mopt-0-exid4,103363-103385
1046,symcc-0-exid1,103363-103385
7678,symcc-0-exid4,103363-103385
7680,fairfuzz-0-exid4,103374-103385
8550,mopt-0-exid0,103374-103385
8501,symcc-0-exid0,103374-103385
13137,mopt-0-exid0,103400-103425
