,fuzzer,edge
11518,afl-0-exid22,1017-1023
3012,afl-0-exid23,1017-1023
12767,afl-0-exid24,1017-1023
603,aflplusplus-0-exid20,1017-1023
5554,fairfuzz-0-exid21,1017-1023
14750,fairfuzz-0-exid21,1017-1023
11524,fairfuzz-0-exid22,1017-1023
7831,fairfuzz-0-exid23,1017-1023
8441,fairfuzz-0-exid24,1017-1023
10569,afl-0-exid21,1023-1032
14752,afl-0-exid21,1023-1032
6802,afl-0-exid22,1023-1032
15705,afl-0-exid22,1023-1032
8432,afl-0-exid24,1023-1032
17028,afl-0-exid24,1023-1032
8695,aflfast-0-exid24,1023-1032
6033,aflplusplus-0-exid21,1023-1032
15235,aflplusplus-0-exid21,1023-1032
6749,aflplusplus-0-exid22,1023-1032
7743,aflplusplus-0-exid23,1023-1032
8421,aflplusplus-0-exid24,1023-1032
1219,fairfuzz-0-exid21,1023-1032
10527,fairfuzz-0-exid21,1023-1032
16993,fairfuzz-0-exid24,1023-1032
5029,afl-0-exid20,103272-103279
14247,afl-0-exid20,103272-103279
17631,aflfast-0-exid24,103292-103299
10121,fairfuzz-0-exid20,103292-103299
14994,afl-0-exid21,103299-103305
6315,afl-0-exid21,103299-103317
5198,aflplusplus-0-exid20,103299-103317
14990,aflplusplus-0-exid21,103299-103317
516,fairfuzz-0-exid20,103299-103317
7418,fairfuzz-0-exid22,103299-103317
3582,afl-0-exid23,103312-103299
13353,afl-0-exid24,103312-103299
2128,aflfast-0-exid21,103312-103299
489,afl-0-exid20,103334-103347
10123,afl-0-exid20,103334-103347
11062,afl-0-exid21,103334-103347
7408,afl-0-exid22,103334-103347
9204,afl-0-exid24,103334-103347
1050,aflfast-0-exid20,103334-103347
2017,aflfast-0-exid21,103334-103347
11323,aflfast-0-exid21,103334-103347
7551,aflfast-0-exid22,103334-103347
3801,aflfast-0-exid23,103334-103347
9321,aflfast-0-exid24,103334-103347
717,aflplusplus-0-exid20,103334-103347
10249,aflplusplus-0-exid20,103334-103347
13761,aflplusplus-0-exid20,103334-103347
525,fairfuzz-0-exid20,103334-103347
10126,fairfuzz-0-exid20,103334-103347
13380,fairfuzz-0-exid24,103334-103347
6598,aflfast-0-exid21,103334-103350
426,aflplusplus-0-exid20,103334-103350
9966,aflplusplus-0-exid20,103334-103350
11006,aflplusplus-0-exid21,103334-103350
9016,aflplusplus-0-exid24,103334-103350
13219,aflplusplus-0-exid24,103334-103350
14288,fairfuzz-0-exid20,103334-103350
9148,fairfuzz-0-exid24,103334-103350
3587,afl-0-exid23,103347-103385
13354,afl-0-exid24,103347-103385
10370,aflfast-0-exid20,103347-103385
6518,aflfast-0-exid21,103347-103385
7616,aflplusplus-0-exid22,103347-103385
6012,fairfuzz-0-exid21,103347-103385
11118,fairfuzz-0-exid21,103347-103385
7415,fairfuzz-0-exid22,103347-103385
3583,fairfuzz-0-exid23,103347-103385
9213,fairfuzz-0-exid24,103347-103385
3523,afl-0-exid23,103350-103358
9250,aflfast-0-exid24,103350-103358
4935,fairfuzz-0-exid20,103350-103358
6271,fairfuzz-0-exid21,103350-103358
7359,fairfuzz-0-exid22,103350-103358
14228,afl-0-exid20,103358-103363
7391,afl-0-exid22,103358-103363
10334,aflfast-0-exid20,103358-103363
2103,aflfast-0-exid21,103358-103363
7534,aflfast-0-exid22,103358-103363
14200,aflplusplus-0-exid20,103358-103363
1899,aflplusplus-0-exid21,103358-103363
530,fairfuzz-0-exid20,103358-103363
10070,fairfuzz-0-exid20,103358-103363
11099,fairfuzz-0-exid21,103358-103363
15333,fairfuzz-0-exid21,103358-103363
450,afl-0-exid20,103363-103385
4937,afl-0-exid20,103363-103385
1950,afl-0-exid21,103363-103385
6293,afl-0-exid21,103363-103385
11037,afl-0-exid21,103363-103385
15335,afl-0-exid21,103363-103385
13246,afl-0-exid24,103363-103385
1028,aflfast-0-exid20,103363-103385
14602,aflfast-0-exid20,103363-103385
6223,aflplusplus-0-exid21,103363-103385
15405,aflplusplus-0-exid21,103363-103385
14291,fairfuzz-0-exid20,103363-103385
1979,fairfuzz-0-exid21,103363-103385
3548,fairfuzz-0-exid23,103363-103385
2124,afl-0-exid21,103366-103374
1041,aflfast-0-exid20,103366-103374
17506,afl-0-exid24,103374-103385
11248,fairfuzz-0-exid21,103425-103433
708,aflplusplus-0-exid20,103433-103436
14607,aflfast-0-exid20,103436-103441
11395,aflfast-0-exid21,103441-103447
7546,aflfast-0-exid22,103447-103450
6402,aflplusplus-0-exid21,103447-103450
14391,aflplusplus-0-exid20,103450-103456
17505,fairfuzz-0-exid24,103450-103456
15070,fairfuzz-0-exid21,103456-103459
10248,aflplusplus-0-exid20,103459-103461
7611,aflplusplus-0-exid22,103459-103461
477,afl-0-exid20,103461-103436
490,afl-0-exid20,103511-103526
10124,afl-0-exid20,103511-103526
2125,afl-0-exid21,103511-103526
7409,afl-0-exid22,103511-103526
3711,afl-0-exid23,103511-103526
9203,afl-0-exid24,103511-103526
13389,afl-0-exid24,103511-103526
14626,aflfast-0-exid20,103511-103526
2129,aflfast-0-exid21,103511-103526
6616,aflfast-0-exid21,103511-103526
11396,aflfast-0-exid21,103511-103526
9320,aflfast-0-exid24,103511-103526
14410,aflplusplus-0-exid20,103511-103526
10127,fairfuzz-0-exid20,103511-103526
6362,fairfuzz-0-exid21,103511-103526
13420,fairfuzz-0-exid24,103511-103526
9318,aflfast-0-exid24,103511-103529
6327,fairfuzz-0-exid21,103511-103529
14268,afl-0-exid20,103526-103605
6336,afl-0-exid21,103526-103605
11247,afl-0-exid21,103526-103605
1051,aflfast-0-exid20,103526-103605
10371,aflfast-0-exid20,103526-103605
7552,aflfast-0-exid22,103526-103605
3861,aflfast-0-exid23,103526-103605
718,aflplusplus-0-exid20,103526-103605
10250,aflplusplus-0-exid20,103526-103605
2147,aflplusplus-0-exid21,103526-103605
6412,aflplusplus-0-exid21,103526-103605
7617,aflplusplus-0-exid22,103526-103605
2126,fairfuzz-0-exid21,103526-103605
11249,fairfuzz-0-exid21,103526-103605
7420,fairfuzz-0-exid22,103526-103605
3709,fairfuzz-0-exid23,103526-103605
9212,fairfuzz-0-exid24,103526-103605
10369,aflfast-0-exid20,103529-103563
9200,fairfuzz-0-exid24,103563-103574
11246,afl-0-exid21,103579-103584
5020,fairfuzz-0-exid20,103579-103584
14290,fairfuzz-0-exid20,103579-103584
13378,fairfuzz-0-exid24,103579-103584
17559,aflplusplus-0-exid24,103579-103599
6606,aflfast-0-exid21,103594-103579
3800,aflfast-0-exid23,103594-103579
2123,fairfuzz-0-exid21,103594-103579
2146,aflplusplus-0-exid21,103599-103605
532,fairfuzz-0-exid20,103611-103628
10122,afl-0-exid20,103628-103641
3581,fairfuzz-0-exid23,103628-103641
7400,afl-0-exid22,103692-103701
9201,afl-0-exid24,103692-103701
2,afl-0-exid20,110-118
9377,afl-0-exid20,110-118
11423,afl-0-exid22,110-118
3901,afl-0-exid24,110-118
11447,aflfast-0-exid22,110-118
13512,aflplusplus-0-exid20,110-118
10467,aflplusplus-0-exid21,110-118
15654,aflplusplus-0-exid22,110-118
7717,aflplusplus-0-exid23,110-118
6,fairfuzz-0-exid20,110-118
9375,fairfuzz-0-exid20,110-118
13497,fairfuzz-0-exid20,110-118
16974,aflplusplus-0-exid24,110-130
11051,afl-0-exid21,110155-110168
15588,afl-0-exid21,110155-110168
3608,afl-0-exid23,110155-110168
13253,afl-0-exid24,110155-110168
6498,aflfast-0-exid21,110155-110168
7555,aflfast-0-exid22,110155-110168
9293,aflfast-0-exid24,110155-110168
5359,aflplusplus-0-exid20,110155-110168
15585,aflplusplus-0-exid21,110155-110168
13292,aflplusplus-0-exid24,110155-110168
492,fairfuzz-0-exid20,110155-110168
5266,fairfuzz-0-exid20,110155-110168
1265,fairfuzz-0-exid21,110155-110168
5639,fairfuzz-0-exid21,110155-110168
7414,fairfuzz-0-exid22,110155-110168
3639,fairfuzz-0-exid23,110155-110168
6303,afl-0-exid21,110155-110171
13228,afl-0-exid24,110155-110171
9237,aflfast-0-exid24,110155-110171
407,aflplusplus-0-exid20,110155-110171
1886,aflplusplus-0-exid21,110155-110171
13204,aflplusplus-0-exid24,110155-110171
9130,fairfuzz-0-exid24,110155-110171
13312,fairfuzz-0-exid24,110155-110171
484,afl-0-exid20,110168-110206
5253,afl-0-exid20,110168-110206
10047,afl-0-exid20,110168-110206
7412,afl-0-exid22,110168-110206
9097,afl-0-exid24,110168-110206
1048,aflfast-0-exid20,110168-110206
10352,aflfast-0-exid20,110168-110206
1999,aflfast-0-exid21,110168-110206
11312,aflfast-0-exid21,110168-110206
3816,aflfast-0-exid23,110168-110206
715,aflplusplus-0-exid20,110168-110206
10230,aflplusplus-0-exid20,110168-110206
1218,aflplusplus-0-exid21,110168-110206
5600,aflplusplus-0-exid21,110168-110206
7620,aflplusplus-0-exid22,110168-110206
10076,fairfuzz-0-exid20,110168-110206
11101,fairfuzz-0-exid21,110168-110206
15593,fairfuzz-0-exid21,110168-110206
9167,fairfuzz-0-exid24,110168-110206
4985,afl-0-exid20,110171-110179
9031,afl-0-exid24,110171-110179
1013,aflfast-0-exid20,110171-110179
14589,aflfast-0-exid20,110171-110179
6211,aflplusplus-0-exid21,110171-110179
10071,fairfuzz-0-exid20,110171-110179
1940,afl-0-exid21,110179-110184
2092,aflfast-0-exid21,110179-110184
6586,aflfast-0-exid21,110179-110184
7521,aflfast-0-exid22,110179-110184
3774,aflfast-0-exid23,110179-110184
14187,aflplusplus-0-exid20,110179-110184
15272,aflplusplus-0-exid21,110179-110184
503,fairfuzz-0-exid20,110179-110184
10112,fairfuzz-0-exid20,110179-110184
1973,fairfuzz-0-exid21,110179-110184
14888,fairfuzz-0-exid21,110179-110184
6610,aflfast-0-exid21,110179-110187
472,afl-0-exid20,110184-110206
14240,afl-0-exid20,110184-110206
11026,afl-0-exid21,110184-110206
14890,afl-0-exid21,110184-110206
9951,aflplusplus-0-exid20,110184-110206
10993,aflplusplus-0-exid21,110184-110206
3452,aflplusplus-0-exid23,110184-110206
9001,aflplusplus-0-exid24,110184-110206
5061,fairfuzz-0-exid20,110184-110206
14333,fairfuzz-0-exid20,110184-110206
6281,fairfuzz-0-exid21,110184-110206
3575,fairfuzz-0-exid23,110184-110206
14855,afl-0-exid21,110187-110195
11353,aflfast-0-exid21,110187-110195
7547,aflfast-0-exid22,110187-110195
13291,aflplusplus-0-exid24,110187-110195
483,afl-0-exid20,110195-110206
14262,afl-0-exid20,110195-110206
6319,afl-0-exid21,110195-110206
2108,aflfast-0-exid21,110195-110206
5358,aflplusplus-0-exid20,110195-110206
2135,aflplusplus-0-exid21,110195-110206
6406,aflplusplus-0-exid21,110195-110206
5251,fairfuzz-0-exid20,110195-110206
11160,fairfuzz-0-exid21,110195-110206
5252,afl-0-exid20,110221-110247
3804,aflfast-0-exid23,110221-110247
9260,aflfast-0-exid24,110221-110247
1974,fairfuzz-0-exid21,110221-110247
6333,fairfuzz-0-exid21,110221-110247
1047,aflfast-0-exid20,110247-110252
714,aflplusplus-0-exid20,110247-110252
7612,aflplusplus-0-exid22,110247-110252
505,fairfuzz-0-exid20,110247-110252
10046,afl-0-exid20,110252-110255
7401,afl-0-exid22,110252-110255
3586,afl-0-exid23,110252-110255
3602,fairfuzz-0-exid23,110252-110255
11161,afl-0-exid21,110255-110259
15598,afl-0-exid21,110255-110259
14620,aflfast-0-exid20,110255-110259
7427,fairfuzz-0-exid22,110255-110259
14798,aflplusplus-0-exid21,110255-110282
11204,fairfuzz-0-exid21,110255-110282
3628,fairfuzz-0-exid23,110255-110282
1955,afl-0-exid21,110259-110381
9063,afl-0-exid24,110259-110381
13252,afl-0-exid24,110259-110381
10351,aflfast-0-exid20,110259-110381
10229,aflplusplus-0-exid20,110259-110381
14404,aflplusplus-0-exid20,110259-110381
15597,aflplusplus-0-exid21,110259-110381
10102,fairfuzz-0-exid20,110259-110381
14318,fairfuzz-0-exid20,110259-110381
15600,fairfuzz-0-exid21,110259-110381
9152,fairfuzz-0-exid24,110259-110381
13319,fairfuzz-0-exid24,110259-110381
10059,afl-0-exid20,110282-110287
3609,afl-0-exid23,110282-110287
2109,aflfast-0-exid21,110282-110287
10239,aflplusplus-0-exid20,110282-110287
14413,aflplusplus-0-exid20,110282-110287
7618,aflplusplus-0-exid22,110282-110287
7424,fairfuzz-0-exid22,110282-110287
13392,afl-0-exid24,110287-110294
10242,aflplusplus-0-exid20,110287-110294
14423,aflplusplus-0-exid20,110287-110294
559,fairfuzz-0-exid20,110287-110294
14312,fairfuzz-0-exid20,110287-110294
9162,fairfuzz-0-exid24,110287-110294
13414,fairfuzz-0-exid24,110287-110294
1959,afl-0-exid21,110287-110335
3618,afl-0-exid23,110287-110335
9095,afl-0-exid24,110287-110335
11374,aflfast-0-exid21,110287-110335
3823,aflfast-0-exid23,110287-110335
2136,aflplusplus-0-exid21,110287-110335
15583,aflplusplus-0-exid21,110287-110335
11211,afl-0-exid21,110294-110298
9083,afl-0-exid24,110294-110298
1067,aflfast-0-exid20,110294-110298
11377,aflfast-0-exid21,110294-110298
7553,aflfast-0-exid22,110294-110298
3817,aflfast-0-exid23,110294-110298
10062,afl-0-exid20,110298-110306
1996,afl-0-exid21,110298-110306
11212,afl-0-exid21,110298-110306
10363,aflfast-0-exid20,110298-110306
14639,aflfast-0-exid20,110298-110306
2117,aflfast-0-exid21,110298-110306
2119,fairfuzz-0-exid21,110298-110306
11207,fairfuzz-0-exid21,110298-110306
7431,fairfuzz-0-exid22,110298-110306
14357,afl-0-exid20,110298-110318
14439,aflplusplus-0-exid20,110298-110318
7619,aflplusplus-0-exid22,110298-110318
15591,fairfuzz-0-exid21,110298-110318
3641,fairfuzz-0-exid23,110298-110318
551,afl-0-exid20,110306-110381
5256,afl-0-exid20,110306-110381
14281,afl-0-exid20,110306-110381
7410,afl-0-exid22,110306-110381
9280,aflfast-0-exid24,110306-110381
734,aflplusplus-0-exid20,110306-110381
5362,aflplusplus-0-exid20,110306-110381
2144,aflplusplus-0-exid21,110306-110381
5267,fairfuzz-0-exid20,110306-110381
10109,fairfuzz-0-exid20,110306-110381
5259,afl-0-exid20,110318-110324
10064,afl-0-exid20,110318-110324
3619,afl-0-exid23,110318-110324
10365,aflfast-0-exid20,110318-110324
10078,fairfuzz-0-exid20,110318-110324
11208,fairfuzz-0-exid21,110318-110324
2115,aflfast-0-exid21,110324-110328
7554,aflfast-0-exid22,110324-110328
735,aflplusplus-0-exid20,110324-110328
2120,fairfuzz-0-exid21,110324-110328
1994,afl-0-exid21,110328-110333
3824,aflfast-0-exid23,110328-110333
14362,fairfuzz-0-exid20,110328-110333
552,afl-0-exid20,110333-110335
13400,afl-0-exid24,110333-110335
1068,aflfast-0-exid20,110333-110335
14655,aflfast-0-exid20,110333-110335
11378,aflfast-0-exid21,110333-110335
5365,aflplusplus-0-exid20,110333-110335
10244,aflplusplus-0-exid20,110333-110335
2142,aflplusplus-0-exid21,110333-110335
13415,fairfuzz-0-exid24,110333-110335
556,fairfuzz-0-exid20,110335-110339
5262,fairfuzz-0-exid20,110335-110339
6339,afl-0-exid21,110339-110343
15586,afl-0-exid21,110339-110343
13358,afl-0-exid24,110339-110343
10360,aflfast-0-exid20,110339-110343
14629,aflfast-0-exid20,110339-110343
6619,aflfast-0-exid21,110339-110343
9291,aflfast-0-exid24,110339-110343
728,aflplusplus-0-exid20,110339-110343
10087,fairfuzz-0-exid20,110339-110343
14299,fairfuzz-0-exid20,110339-110343
1984,fairfuzz-0-exid21,110339-110343
15592,fairfuzz-0-exid21,110339-110343
9164,fairfuzz-0-exid24,110339-110343
10061,afl-0-exid20,110339-110345
14630,aflfast-0-exid20,110339-110345
14414,aflplusplus-0-exid20,110339-110345
2137,aflplusplus-0-exid21,110339-110345
7621,aflplusplus-0-exid22,110339-110345
6356,fairfuzz-0-exid21,110339-110345
11205,fairfuzz-0-exid21,110339-110345
7440,fairfuzz-0-exid22,110339-110345
545,afl-0-exid20,110343-110381
