,fuzzer,edge,fuzzer_combination,benchmark
28419,aflplusplus-0,1006-1018,fca,nm
28420,aflplusplus-0,10111-10128,fca,nm
28426,aflplusplus-0,10144-10154,fca,nm
28429,aflplusplus-0,10154-10162,fca,nm
28432,aflplusplus-0,10162-10193,fca,nm
28436,aflplusplus-0,10175-10187,fca,nm
28439,aflplusplus-0,10175-10578,fca,nm
28443,aflplusplus-0,1018-1042,fca,nm
28447,aflplusplus-0,10193-10215,fca,nm
28450,aflplusplus-0,10215-10221,fca,nm
28453,aflplusplus-0,10215-10262,fca,nm
28460,aflplusplus-0,10245-10250,fca,nm
28464,aflplusplus-0,10245-10257,fca,nm
28466,aflplusplus-0,10250-10351,fca,nm
28470,aflplusplus-0,10257-10351,fca,nm
28477,aflplusplus-0,10264-10276,fca,nm
28483,aflplusplus-0,10287-10293,fca,nm
28485,aflplusplus-0,10299-10307,fca,nm
28490,aflplusplus-0,10307-10313,fca,nm
28492,aflplusplus-0,10307-10331,fca,nm
28496,aflplusplus-0,1031-1035,fca,nm
28500,aflplusplus-0,1031-1038,fca,nm
28501,aflplusplus-0,10313-10336,fca,nm
28505,aflplusplus-0,10336-10344,fca,nm
28509,aflplusplus-0,10336-10347,fca,nm
28513,aflplusplus-0,10344-10351,fca,nm
28520,aflplusplus-0,1035-1038,fca,nm
28529,aflplusplus-0,10366-10366,fca,nm
28533,aflplusplus-0,10366-10378,fca,nm
28536,aflplusplus-0,10378-10485,fca,nm
28541,aflplusplus-0,104344-104352,fca,nm
28545,aflplusplus-0,104344-104621,fca,nm
28549,aflplusplus-0,104352-104357,fca,nm
28553,aflplusplus-0,104352-104621,fca,nm
28557,aflplusplus-0,104357-104364,fca,nm
28561,aflplusplus-0,104357-104367,fca,nm
28565,aflplusplus-0,104364-104621,fca,nm
28571,aflplusplus-0,104367-104618,fca,nm
28577,aflplusplus-0,104384-104618,fca,nm
28581,aflplusplus-0,104399-104406,fca,nm
28583,aflplusplus-0,104399-104618,fca,nm
28587,aflplusplus-0,104406-104618,fca,nm
28591,aflplusplus-0,104416-104429,fca,nm
28594,aflplusplus-0,104429-104433,fca,nm
28595,aflplusplus-0,104429-104618,fca,nm
28601,aflplusplus-0,104441-104445,fca,nm
28604,aflplusplus-0,104612-104399,fca,nm
28611,aflplusplus-0,104618-104621,fca,nm
28615,aflplusplus-0,10485-10500,fca,nm
28623,aflplusplus-0,10500-10527,fca,nm
28631,aflplusplus-0,10514-10527,fca,nm
28635,aflplusplus-0,10527-10532,fca,nm
28638,aflplusplus-0,10527-10563,fca,nm
28642,aflplusplus-0,10532-10538,fca,nm
28646,aflplusplus-0,10538-10538,fca,nm
28653,aflplusplus-0,10548-10589,fca,nm
28656,aflplusplus-0,10563-10162,fca,nm
28658,aflplusplus-0,10563-10175,fca,nm
28660,aflplusplus-0,10589-10589,fca,nm
28664,aflplusplus-0,10589-10599,fca,nm
28667,aflplusplus-0,10599-10532,fca,nm
28671,aflplusplus-0,10599-10563,fca,nm
28680,aflplusplus-0,10947-10955,fca,nm
28686,aflplusplus-0,114458-114676,fca,nm
28690,aflplusplus-0,11610-11616,fca,nm
28692,aflplusplus-0,11636-11641,fca,nm
28696,aflplusplus-0,11641-11636,fca,nm
28700,aflplusplus-0,11645-11667,fca,nm
28705,aflplusplus-0,11667-11675,fca,nm
28709,aflplusplus-0,11675-11686,fca,nm
28713,aflplusplus-0,11686-11703,fca,nm
28715,aflplusplus-0,11690-11692,fca,nm
28720,aflplusplus-0,11703-11707,fca,nm
28724,aflplusplus-0,11703-11734,fca,nm
28728,aflplusplus-0,11707-11723,fca,nm
28732,aflplusplus-0,11723-11730,fca,nm
28736,aflplusplus-0,11730-11734,fca,nm
28749,aflplusplus-0,12567-12577,fca,nm
28752,aflplusplus-0,12567-12581,fca,nm
28756,aflplusplus-0,12577-12581,fca,nm
28760,aflplusplus-0,12577-12603,fca,nm
28770,aflplusplus-0,12652-12678,fca,nm
28773,aflplusplus-0,12663-12678,fca,nm
28777,aflplusplus-0,12744-12762,fca,nm
28778,aflplusplus-0,12751-12762,fca,nm
28781,aflplusplus-0,12762-12787,fca,nm
28789,aflplusplus-0,12801-12809,fca,nm
28792,aflplusplus-0,12801-12860,fca,nm
28793,aflplusplus-0,12809-12817,fca,nm
28795,aflplusplus-0,12817-12843,fca,nm
28799,aflplusplus-0,12843-12853,fca,nm
28805,aflplusplus-0,1286-1379,fca,nm
28809,aflplusplus-0,12860-12866,fca,nm
28812,aflplusplus-0,12866-12871,fca,nm
28815,aflplusplus-0,1299-1314,fca,nm
28818,aflplusplus-0,13003-13011,fca,nm
28819,aflplusplus-0,13011-13018,fca,nm
28820,aflplusplus-0,13018-13020,fca,nm
28822,aflplusplus-0,13020-13038,fca,nm
28824,aflplusplus-0,13060-13559,fca,nm
28826,aflplusplus-0,1314-1299,fca,nm
28832,aflplusplus-0,13178-13183,fca,nm
28836,aflplusplus-0,13183-13190,fca,nm
28840,aflplusplus-0,13190-13195,fca,nm
28845,aflplusplus-0,13195-13199,fca,nm
28851,aflplusplus-0,13203-13559,fca,nm
28856,aflplusplus-0,13208-13215,fca,nm
28860,aflplusplus-0,13210-13215,fca,nm
28862,aflplusplus-0,13215-13251,fca,nm
28863,aflplusplus-0,13251-13285,fca,nm
28869,aflplusplus-0,13351-13381,fca,nm
28872,aflplusplus-0,133517-133523,fca,nm
28874,aflplusplus-0,133523-133552,fca,nm
28879,aflplusplus-0,133552-133555,fca,nm
28883,aflplusplus-0,133552-133576,fca,nm
28887,aflplusplus-0,133555-133568,fca,nm
28891,aflplusplus-0,133562-133565,fca,nm
28895,aflplusplus-0,133562-133572,fca,nm
28896,aflplusplus-0,133565-133568,fca,nm
28899,aflplusplus-0,133568-133572,fca,nm
28904,aflplusplus-0,133803-133815,fca,nm
28907,aflplusplus-0,13381-13391,fca,nm
28912,aflplusplus-0,133852-134127,fca,nm
28917,aflplusplus-0,133869-134265,fca,nm
28921,aflplusplus-0,133874-133883,fca,nm
28922,aflplusplus-0,133883-133926,fca,nm
28923,aflplusplus-0,133926-134127,fca,nm
28929,aflplusplus-0,133953-133977,fca,nm
28930,aflplusplus-0,133953-133981,fca,nm
28934,aflplusplus-0,133953-133985,fca,nm
28940,aflplusplus-0,133981-134021,fca,nm
28944,aflplusplus-0,133985-134008,fca,nm
28948,aflplusplus-0,134008-134021,fca,nm
28954,aflplusplus-0,134021-134027,fca,nm
28958,aflplusplus-0,134021-134034,fca,nm
28962,aflplusplus-0,134027-134034,fca,nm
28966,aflplusplus-0,134034-134040,fca,nm
28967,aflplusplus-0,134034-134046,fca,nm
28971,aflplusplus-0,134034-134055,fca,nm
28975,aflplusplus-0,134034-134061,fca,nm
28979,aflplusplus-0,134034-134067,fca,nm
28983,aflplusplus-0,134046-134049,fca,nm
28987,aflplusplus-0,134046-134067,fca,nm
28991,aflplusplus-0,134049-134067,fca,nm
28995,aflplusplus-0,134055-134067,fca,nm
28999,aflplusplus-0,134061-134067,fca,nm
29004,aflplusplus-0,134067-134088,fca,nm
29007,aflplusplus-0,134073-134079,fca,nm
29008,aflplusplus-0,134073-134088,fca,nm
29012,aflplusplus-0,134079-134088,fca,nm
29020,aflplusplus-0,134110-134118,fca,nm
29022,aflplusplus-0,134115-134118,fca,nm
29025,aflplusplus-0,134118-133953,fca,nm
29031,aflplusplus-0,134152-134222,fca,nm
29036,aflplusplus-0,134159-134199,fca,nm
29041,aflplusplus-0,134172-134172,fca,nm
29046,aflplusplus-0,134196-134199,fca,nm
29049,aflplusplus-0,134196-134222,fca,nm
29055,aflplusplus-0,134204-134204,fca,nm
29060,aflplusplus-0,134222-134227,fca,nm
29071,aflplusplus-0,13441-13472,fca,nm
29075,aflplusplus-0,134935-134954,fca,nm
29079,aflplusplus-0,134954-134960,fca,nm
29083,aflplusplus-0,134954-135791,fca,nm
29087,aflplusplus-0,134960-134965,fca,nm
29091,aflplusplus-0,134960-135791,fca,nm
29095,aflplusplus-0,134965-134970,fca,nm
29099,aflplusplus-0,134965-135791,fca,nm
29103,aflplusplus-0,134970-134975,fca,nm
29107,aflplusplus-0,134970-135791,fca,nm
29111,aflplusplus-0,134975-134980,fca,nm
29115,aflplusplus-0,134975-135791,fca,nm
29119,aflplusplus-0,134980-134985,fca,nm
29123,aflplusplus-0,134980-135791,fca,nm
29127,aflplusplus-0,134985-134989,fca,nm
29131,aflplusplus-0,134985-134996,fca,nm
29135,aflplusplus-0,134985-135791,fca,nm
29139,aflplusplus-0,134989-135003,fca,nm
29143,aflplusplus-0,134989-135791,fca,nm
29147,aflplusplus-0,134996-135003,fca,nm
29150,aflplusplus-0,134996-135791,fca,nm
29154,aflplusplus-0,135003-135012,fca,nm
29160,aflplusplus-0,135012-135791,fca,nm
29164,aflplusplus-0,135024-135031,fca,nm
29167,aflplusplus-0,135024-135791,fca,nm
29174,aflplusplus-0,135031-135041,fca,nm
29178,aflplusplus-0,135036-135041,fca,nm
29182,aflplusplus-0,135036-135791,fca,nm
29186,aflplusplus-0,135041-135043,fca,nm
29190,aflplusplus-0,135041-135048,fca,nm
29192,aflplusplus-0,135043-135048,fca,nm
29196,aflplusplus-0,135043-135791,fca,nm
29200,aflplusplus-0,135048-135060,fca,nm
29202,aflplusplus-0,135060-135068,fca,nm
29205,aflplusplus-0,135060-135084,fca,nm
29209,aflplusplus-0,135068-135075,fca,nm
29210,aflplusplus-0,135075-135084,fca,nm
29214,aflplusplus-0,135075-135791,fca,nm
29218,aflplusplus-0,135084-135086,fca,nm
29222,aflplusplus-0,135084-135088,fca,nm
29226,aflplusplus-0,135084-135096,fca,nm
29228,aflplusplus-0,135086-135088,fca,nm
29232,aflplusplus-0,135088-135096,fca,nm
29236,aflplusplus-0,135096-135101,fca,nm
29240,aflplusplus-0,135096-135108,fca,nm
29244,aflplusplus-0,135101-135108,fca,nm
29251,aflplusplus-0,135108-135118,fca,nm
29257,aflplusplus-0,135118-135120,fca,nm
29261,aflplusplus-0,135120-135130,fca,nm
29265,aflplusplus-0,135130-135134,fca,nm
29269,aflplusplus-0,135130-135285,fca,nm
29273,aflplusplus-0,135134-135139,fca,nm
29277,aflplusplus-0,135139-135143,fca,nm
29284,aflplusplus-0,135143-135182,fca,nm
29287,aflplusplus-0,135182-135188,fca,nm
29291,aflplusplus-0,135188-135227,fca,nm
29295,aflplusplus-0,135188-135237,fca,nm
29299,aflplusplus-0,135227-135232,fca,nm
29303,aflplusplus-0,135227-135791,fca,nm
29310,aflplusplus-0,135232-135791,fca,nm
29314,aflplusplus-0,135237-135243,fca,nm
29318,aflplusplus-0,135237-135246,fca,nm
29322,aflplusplus-0,135243-135246,fca,nm
29326,aflplusplus-0,135246-135252,fca,nm
29332,aflplusplus-0,135252-135255,fca,nm
29336,aflplusplus-0,135255-135258,fca,nm
29340,aflplusplus-0,135255-135285,fca,nm
29344,aflplusplus-0,135258-135261,fca,nm
29348,aflplusplus-0,135258-135791,fca,nm
29352,aflplusplus-0,13526-13528,fca,nm
29354,aflplusplus-0,13526-13639,fca,nm
29355,aflplusplus-0,135261-135270,fca,nm
29359,aflplusplus-0,135270-135274,fca,nm
29363,aflplusplus-0,135274-135278,fca,nm
29367,aflplusplus-0,135274-135795,fca,nm
29371,aflplusplus-0,135278-135285,fca,nm
29377,aflplusplus-0,135285-135300,fca,nm
29381,aflplusplus-0,135285-135304,fca,nm
29384,aflplusplus-0,135300-135551,fca,nm
29388,aflplusplus-0,135304-135313,fca,nm
29392,aflplusplus-0,135313-135332,fca,nm
29396,aflplusplus-0,135332-135368,fca,nm
29400,aflplusplus-0,135368-135373,fca,nm
29403,aflplusplus-0,135368-135376,fca,nm
29407,aflplusplus-0,135373-135409,fca,nm
29413,aflplusplus-0,135376-135399,fca,nm
29417,aflplusplus-0,135381-135381,fca,nm
29421,aflplusplus-0,135381-135399,fca,nm
29424,aflplusplus-0,135399-135404,fca,nm
29428,aflplusplus-0,135399-135531,fca,nm
29432,aflplusplus-0,135404-135460,fca,nm
29434,aflplusplus-0,135409-135376,fca,nm
29438,aflplusplus-0,135409-135409,fca,nm
29445,aflplusplus-0,135466-135474,fca,nm
29449,aflplusplus-0,135466-135481,fca,nm
29453,aflplusplus-0,135474-135477,fca,nm
29457,aflplusplus-0,135474-135791,fca,nm
29461,aflplusplus-0,135477-135481,fca,nm
29465,aflplusplus-0,135477-135791,fca,nm
29469,aflplusplus-0,135481-135487,fca,nm
29473,aflplusplus-0,135481-135491,fca,nm
29477,aflplusplus-0,135487-135491,fca,nm
29481,aflplusplus-0,135487-135496,fca,nm
29485,aflplusplus-0,135491-135496,fca,nm
29489,aflplusplus-0,135491-135791,fca,nm
29493,aflplusplus-0,135496-135504,fca,nm
29497,aflplusplus-0,135496-135524,fca,nm
29501,aflplusplus-0,135504-135509,fca,nm
29505,aflplusplus-0,135504-135524,fca,nm
29509,aflplusplus-0,135509-135519,fca,nm
29513,aflplusplus-0,135509-135524,fca,nm
29517,aflplusplus-0,135519-135524,fca,nm
29521,aflplusplus-0,135524-135460,fca,nm
29525,aflplusplus-0,135524-135531,fca,nm
29529,aflplusplus-0,135531-135537,fca,nm
29533,aflplusplus-0,135537-135543,fca,nm
29537,aflplusplus-0,135537-135556,fca,nm
29541,aflplusplus-0,135543-135556,fca,nm
29545,aflplusplus-0,135551-135556,fca,nm
29548,aflplusplus-0,135551-135791,fca,nm
29552,aflplusplus-0,135556-135561,fca,nm
29556,aflplusplus-0,135556-135566,fca,nm
29558,aflplusplus-0,135561-135704,fca,nm
29561,aflplusplus-0,135566-135580,fca,nm
29565,aflplusplus-0,135566-135795,fca,nm
29572,aflplusplus-0,135586-135592,fca,nm
29576,aflplusplus-0,135592-135606,fca,nm
29580,aflplusplus-0,135606-135615,fca,nm
29584,aflplusplus-0,135606-135671,fca,nm
29588,aflplusplus-0,135615-135660,fca,nm
29592,aflplusplus-0,135660-135674,fca,nm
29596,aflplusplus-0,135671-135795,fca,nm
29600,aflplusplus-0,135674-135606,fca,nm
29604,aflplusplus-0,135674-135704,fca,nm
29608,aflplusplus-0,13569-13572,fca,nm
29610,aflplusplus-0,135704-135708,fca,nm
29613,aflplusplus-0,135704-135736,fca,nm
29617,aflplusplus-0,135708-135712,fca,nm
29620,aflplusplus-0,135712-135724,fca,nm
29624,aflplusplus-0,135720-135724,fca,nm
29628,aflplusplus-0,135720-135732,fca,nm
29635,aflplusplus-0,135724-135795,fca,nm
29639,aflplusplus-0,135732-135736,fca,nm
29643,aflplusplus-0,135732-135791,fca,nm
29647,aflplusplus-0,135736-135741,fca,nm
29653,aflplusplus-0,135741-135745,fca,nm
29657,aflplusplus-0,135745-135754,fca,nm
29660,aflplusplus-0,135745-135795,fca,nm
29664,aflplusplus-0,135754-135762,fca,nm
29671,aflplusplus-0,135762-135767,fca,nm
29675,aflplusplus-0,135762-135785,fca,nm
29679,aflplusplus-0,135767-135773,fca,nm
29682,aflplusplus-0,135767-135785,fca,nm
29686,aflplusplus-0,135773-135785,fca,nm
29690,aflplusplus-0,135785-135754,fca,nm
29694,aflplusplus-0,135785-135795,fca,nm
29698,aflplusplus-0,135805-135854,fca,nm
29702,aflplusplus-0,135854-135860,fca,nm
29706,aflplusplus-0,135938-135983,fca,nm
29707,aflplusplus-0,135983-135989,fca,nm
29713,aflplusplus-0,137264-137276,fca,nm
29714,aflplusplus-0,137264-137283,fca,nm
29718,aflplusplus-0,137283-137293,fca,nm
29722,aflplusplus-0,137283-137305,fca,nm
29727,aflplusplus-0,137293-137305,fca,nm
29731,aflplusplus-0,137538-137543,fca,nm
29733,aflplusplus-0,137543-137546,fca,nm
29736,aflplusplus-0,13822-13837,fca,nm
29737,aflplusplus-0,138360-138372,fca,nm
29740,aflplusplus-0,138360-138393,fca,nm
29741,aflplusplus-0,138360-138423,fca,nm
29744,aflplusplus-0,138372-138456,fca,nm
29747,aflplusplus-0,13840-13853,fca,nm
29748,aflplusplus-0,138423-138437,fca,nm
29752,aflplusplus-0,138423-138444,fca,nm
29756,aflplusplus-0,138437-138464,fca,nm
29760,aflplusplus-0,138444-138456,fca,nm
29764,aflplusplus-0,138456-138464,fca,nm
29766,aflplusplus-0,138516-138540,fca,nm
29770,aflplusplus-0,138540-138572,fca,nm
29776,aflplusplus-0,138552-138586,fca,nm
29780,aflplusplus-0,138564-138594,fca,nm
29785,aflplusplus-0,138586-138594,fca,nm
29787,aflplusplus-0,138594-138605,fca,nm
29791,aflplusplus-0,138605-138622,fca,nm
29798,aflplusplus-0,138619-138629,fca,nm
29803,aflplusplus-0,138629-138643,fca,nm
29808,aflplusplus-0,138650-138657,fca,nm
29811,aflplusplus-0,138650-138667,fca,nm
29813,aflplusplus-0,138657-138667,fca,nm
29818,aflplusplus-0,138667-138679,fca,nm
29822,aflplusplus-0,138679-138696,fca,nm
29828,aflplusplus-0,138686-138703,fca,nm
29829,aflplusplus-0,138693-138703,fca,nm
29832,aflplusplus-0,138696-138703,fca,nm
29837,aflplusplus-0,138703-138759,fca,nm
29841,aflplusplus-0,138759-138763,fca,nm
29844,aflplusplus-0,138759-138811,fca,nm
29848,aflplusplus-0,138763-138771,fca,nm
29852,aflplusplus-0,138771-138776,fca,nm
29855,aflplusplus-0,138776-138780,fca,nm
29859,aflplusplus-0,138776-138811,fca,nm
29863,aflplusplus-0,138780-138788,fca,nm
29867,aflplusplus-0,138788-138793,fca,nm
29871,aflplusplus-0,138793-138797,fca,nm
29875,aflplusplus-0,138793-138811,fca,nm
29879,aflplusplus-0,138797-138811,fca,nm
29883,aflplusplus-0,13898-13933,fca,nm
29892,aflplusplus-0,139496-139518,fca,nm
29896,aflplusplus-0,139518-139523,fca,nm
29900,aflplusplus-0,139518-139527,fca,nm
29909,aflplusplus-0,139537-139544,fca,nm
29914,aflplusplus-0,139544-139549,fca,nm
29921,aflplusplus-0,139549-139560,fca,nm
29923,aflplusplus-0,139549-139569,fca,nm
29927,aflplusplus-0,139549-139575,fca,nm
29931,aflplusplus-0,139554-139582,fca,nm
29934,aflplusplus-0,139560-139582,fca,nm
29936,aflplusplus-0,139569-139582,fca,nm
29939,aflplusplus-0,139575-139582,fca,nm
29944,aflplusplus-0,139616-139620,fca,nm
29946,aflplusplus-0,13963-13969,fca,nm
29952,aflplusplus-0,139649-139691,fca,nm
29956,aflplusplus-0,139649-139712,fca,nm
29959,aflplusplus-0,13969-13975,fca,nm
29963,aflplusplus-0,13969-14043,fca,nm
29967,aflplusplus-0,139691-139699,fca,nm
29971,aflplusplus-0,139691-139717,fca,nm
29975,aflplusplus-0,139699-139704,fca,nm
29979,aflplusplus-0,139699-139717,fca,nm
29983,aflplusplus-0,139704-139708,fca,nm
29987,aflplusplus-0,139704-139717,fca,nm
29991,aflplusplus-0,139708-139712,fca,nm
29995,aflplusplus-0,139708-139717,fca,nm
30000,aflplusplus-0,13975-13963,fca,nm
30010,aflplusplus-0,140615-140629,fca,nm
30012,aflplusplus-0,140629-140647,fca,nm
30013,aflplusplus-0,140636-140642,fca,nm
30014,aflplusplus-0,140652-140658,fca,nm
30018,aflplusplus-0,140674-140679,fca,nm
