,fuzzer,edge,fuzzer_combination,benchmark
14221,aflplusplus-0,100008-100019,fca,objdump
14226,aflplusplus-0,100019-100022,fca,objdump
14230,aflplusplus-0,100022-100032,fca,objdump
14234,aflplusplus-0,100036-100214,fca,objdump
14236,aflplusplus-0,100040-100051,fca,objdump
14238,aflplusplus-0,100040-100098,fca,objdump
14242,aflplusplus-0,100051-100066,fca,objdump
14243,aflplusplus-0,100051-100080,fca,objdump
14247,aflplusplus-0,100066-100077,fca,objdump
14251,aflplusplus-0,100066-100094,fca,objdump
14252,aflplusplus-0,100077-100080,fca,objdump
14256,aflplusplus-0,100080-100090,fca,objdump
14261,aflplusplus-0,100098-100113,fca,objdump
14266,aflplusplus-0,100113-100207,fca,objdump
14270,aflplusplus-0,100118-100130,fca,objdump
14273,aflplusplus-0,100118-100177,fca,objdump
14277,aflplusplus-0,100130-100145,fca,objdump
14280,aflplusplus-0,100130-100159,fca,objdump
14284,aflplusplus-0,100145-100156,fca,objdump
14290,aflplusplus-0,100156-100159,fca,objdump
14294,aflplusplus-0,100159-100169,fca,objdump
14298,aflplusplus-0,100173-100177,fca,objdump
14302,aflplusplus-0,1002-1028,fca,objdump
14306,aflplusplus-0,100214-100252,fca,objdump
14309,aflplusplus-0,100214-100258,fca,objdump
14313,aflplusplus-0,100252-100254,fca,objdump
14317,aflplusplus-0,100252-100258,fca,objdump
14320,aflplusplus-0,100254-100258,fca,objdump
14325,aflplusplus-0,100270-100276,fca,objdump
14329,aflplusplus-0,100280-100289,fca,objdump
14342,aflplusplus-0,100355-100410,fca,objdump
14343,aflplusplus-0,100358-100365,fca,objdump
14347,aflplusplus-0,100358-100406,fca,objdump
14350,aflplusplus-0,100365-100374,fca,objdump
14353,aflplusplus-0,100374-100380,fca,objdump
14357,aflplusplus-0,100374-100386,fca,objdump
14360,aflplusplus-0,100380-100374,fca,objdump
14364,aflplusplus-0,100380-100386,fca,objdump
14368,aflplusplus-0,100386-100410,fca,objdump
14371,aflplusplus-0,100406-100410,fca,objdump
14376,aflplusplus-0,100437-100450,fca,objdump
14381,aflplusplus-0,100486-100504,fca,objdump
14385,aflplusplus-0,100490-100504,fca,objdump
14386,aflplusplus-0,100504-100507,fca,objdump
14388,aflplusplus-0,100507-100515,fca,objdump
14391,aflplusplus-0,100507-100561,fca,objdump
14395,aflplusplus-0,100515-100520,fca,objdump
