,fuzzer,edge,fuzzer_combination,benchmark
2,aflplusplus-0,10030-10039,fca,readelf
6,aflplusplus-0,10030-10042,fca,readelf
7,aflplusplus-0,10039-10045,fca,readelf
12,aflplusplus-0,10045-10073,fca,readelf
17,aflplusplus-0,10088-10094,fca,readelf
21,aflplusplus-0,10088-10097,fca,readelf
25,aflplusplus-0,10094-10097,fca,readelf
29,aflplusplus-0,10097-9860,fca,readelf
33,aflplusplus-0,10106-10108,fca,readelf
35,aflplusplus-0,10108-10112,fca,readelf
38,aflplusplus-0,10112-10118,fca,readelf
41,aflplusplus-0,10118-10133,fca,readelf
45,aflplusplus-0,10133-10148,fca,readelf
49,aflplusplus-0,10133-10229,fca,readelf
59,aflplusplus-0,10148-10141,fca,readelf
63,aflplusplus-0,10148-10167,fca,readelf
67,aflplusplus-0,10167-10171,fca,readelf
71,aflplusplus-0,10171-10171,fca,readelf
78,aflplusplus-0,10202-10141,fca,readelf
82,aflplusplus-0,10202-10207,fca,readelf
86,aflplusplus-0,10207-10229,fca,readelf
90,aflplusplus-0,10229-10240,fca,readelf
93,aflplusplus-0,10240-10243,fca,readelf
97,aflplusplus-0,10240-10352,fca,readelf
101,aflplusplus-0,10243-10248,fca,readelf
105,aflplusplus-0,10243-10298,fca,readelf
109,aflplusplus-0,10248-10256,fca,readelf
113,aflplusplus-0,10256-10256,fca,readelf
117,aflplusplus-0,10256-10298,fca,readelf
121,aflplusplus-0,10298-10302,fca,readelf
124,aflplusplus-0,10298-10317,fca,readelf
128,aflplusplus-0,10302-10302,fca,readelf
132,aflplusplus-0,10302-10317,fca,readelf
136,aflplusplus-0,10317-10328,fca,readelf
140,aflplusplus-0,10317-10352,fca,readelf
144,aflplusplus-0,10328-10331,fca,readelf
147,aflplusplus-0,10331-10331,fca,readelf
151,aflplusplus-0,10331-10352,fca,readelf
158,aflplusplus-0,10356-10358,fca,readelf
164,aflplusplus-0,10358-10364,fca,readelf
170,aflplusplus-0,10370-10385,fca,readelf
174,aflplusplus-0,10393-10397,fca,readelf
177,aflplusplus-0,10397-10447,fca,readelf
182,aflplusplus-0,10408-10435,fca,readelf
186,aflplusplus-0,10415-10418,fca,readelf
188,aflplusplus-0,10418-10428,fca,readelf
193,aflplusplus-0,10428-10418,fca,readelf
199,aflplusplus-0,10447-10397,fca,readelf
202,aflplusplus-0,10447-10456,fca,readelf
206,aflplusplus-0,10470-10475,fca,readelf
209,aflplusplus-0,10470-10525,fca,readelf
216,aflplusplus-0,10483-10483,fca,readelf
220,aflplusplus-0,10483-10525,fca,readelf
222,aflplusplus-0,10525-10529,fca,readelf
224,aflplusplus-0,10525-10544,fca,readelf
228,aflplusplus-0,10529-10529,fca,readelf
232,aflplusplus-0,10529-10544,fca,readelf
236,aflplusplus-0,10555-10558,fca,readelf
238,aflplusplus-0,10558-10558,fca,readelf
243,aflplusplus-0,10587-10595,fca,readelf
244,aflplusplus-0,10587-10738,fca,readelf
247,aflplusplus-0,10738-10744,fca,readelf
251,aflplusplus-0,10744-11708,fca,readelf
254,aflplusplus-0,10770-10781,fca,readelf
258,aflplusplus-0,10770-11017,fca,readelf
262,aflplusplus-0,10770-11291,fca,readelf
266,aflplusplus-0,10770-11687,fca,readelf
267,aflplusplus-0,10781-10803,fca,readelf
271,aflplusplus-0,10781-10806,fca,readelf
275,aflplusplus-0,10803-10813,fca,readelf
279,aflplusplus-0,10806-10813,fca,readelf
283,aflplusplus-0,10813-10824,fca,readelf
287,aflplusplus-0,10813-11687,fca,readelf
291,aflplusplus-0,10824-10833,fca,readelf
295,aflplusplus-0,10824-11014,fca,readelf
299,aflplusplus-0,10833-10836,fca,readelf
303,aflplusplus-0,10836-10844,fca,readelf
307,aflplusplus-0,10836-11000,fca,readelf
311,aflplusplus-0,10844-10850,fca,readelf
314,aflplusplus-0,10844-11000,fca,readelf
318,aflplusplus-0,10850-10892,fca,readelf
322,aflplusplus-0,10850-11000,fca,readelf
326,aflplusplus-0,10892-10915,fca,readelf
329,aflplusplus-0,10915-10919,fca,readelf
332,aflplusplus-0,10919-10926,fca,readelf
336,aflplusplus-0,10919-10987,fca,readelf
340,aflplusplus-0,10926-10931,fca,readelf
344,aflplusplus-0,10931-10944,fca,readelf
351,aflplusplus-0,10944-10951,fca,readelf
355,aflplusplus-0,10944-10983,fca,readelf
359,aflplusplus-0,10951-10971,fca,readelf
363,aflplusplus-0,10971-10975,fca,readelf
367,aflplusplus-0,10975-10931,fca,readelf
371,aflplusplus-0,10975-10987,fca,readelf
375,aflplusplus-0,10983-10987,fca,readelf
379,aflplusplus-0,10987-10992,fca,readelf
383,aflplusplus-0,10987-11000,fca,readelf
387,aflplusplus-0,10992-10836,fca,readelf
391,aflplusplus-0,10992-11000,fca,readelf
395,aflplusplus-0,11000-11010,fca,readelf
398,aflplusplus-0,11000-11014,fca,readelf
