,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
benchmark,cflow,cflow,jq,jq,libpng,libpng,libxml2,libxml2,lua,lua,mp42aac,mp42aac,nm,nm,objdump,objdump,openssl,openssl,readelf,readelf
fuzzer_combination,fcb,fca,fcb,fca,fcb,fca,fcb,fca,fcb,fca,fcb,fca,fcb,fca,fcb,fca,fcb,fca,fcb,fca
experiment_id_1,5,9,0,3,2,0,0,1,0,0,1,1,140,174,0,1,0,0,0,0
experiment_id_2,7,10,0,3,0,1,0,0,0,0,3,7,143,147,0,2,0,0,0,0
experiment_id_3,8,5,0,3,0,1,2,1,0,0,1,1,198,60,1,4,0,0,0,2
experiment_id_4,5,9,0,3,0,0,0,0,0,14,4,1,161,83,0,3,0,0,0,1
experiment_id_5,7,7,0,3,2,1,0,1,0,0,1,0,143,145,0,2,0,0,0,0
experiment_id_6,4,7,0,3,0,3,0,1,6,0,1,0,185,191,0,16,0,0,0,0
experiment_id_7,5,8,0,3,0,1,0,2,0,0,2,6,148,110,0,3,0,0,0,0
experiment_id_8,5,8,0,3,0,0,0,2,3,0,3,0,187,73,0,1,0,0,0,1
experiment_id_9,6,5,0,3,0,0,0,0,0,0,0,8,174,193,0,3,0,0,0,1
experiment_id_10,6,7,0,3,2,2,1,0,0,0,5,0,168,170,2,3,0,0,0,0
experiment_id_11,8,7,0,3,2,2,0,0,2,0,3,6,147,157,0,1,0,0,0,0
experiment_id_12,8,3,0,3,0,1,0,0,0,0,4,7,138,188,0,3,0,0,0,6
experiment_id_13,14,8,0,3,0,0,0,2,0,0,0,0,136,148,0,3,0,0,0,0
experiment_id_14,5,6,0,3,2,3,0,0,0,0,1,5,157,187,0,1,0,0,0,0
experiment_id_15,4,9,0,3,0,1,0,0,4,0,3,1,115,93,0,4,0,0,0,0
experiment_id_16,6,5,0,3,2,1,0,0,0,0,3,6,144,102,0,3,0,0,0,4
experiment_id_17,5,8,0,3,2,1,0,3,0,0,1,0,166,163,0,2,0,0,0,2
experiment_id_18,5,10,0,3,0,0,0,0,7,1,0,0,160,97,0,5,0,0,0,0
experiment_id_19,6,9,0,3,0,0,0,0,4,0,1,9,136,126,2,1,0,0,0,2
experiment_id_20,8,8,0,3,2,0,0,0,0,0,0,0,72,156,0,4,0,0,0,1
max,14,10,0,3,2,3,2,3,7,14,5,9,198,193,2,16,0,0,0,6
avg,6.35,7.4,0.0,3.0,0.8,0.9,0.15,0.65,1.3,0.75,1.85,2.9,150.9,138.15,0.25,3.25,0.0,0.0,0.0,1.0
unique_bugcnt,18,16,0,3,2,3,3,7,17,15,9,13,606,598,3,20,0,0,0,8
times,2.834645669291339,2.162162162162162,-1.0,1.0,2.5,3.333333333333333,20.0,10.769230769230768,13.076923076923077,20.0,4.864864864864865,4.482758620689656,4.0159045725646125,4.328628302569671,12.0,6.153846153846154,-1.0,-1.0,-1.0,8.0
