,discovery_time,crash_frames_hash,fuzzer_combination
0,10,dc932f8b8003795cf9d4cf9e58604b99,fcb
1,10,9c74ce5d00fb534a6644db103f1bfe0b,fcb
2,231,bf39470c4385d389d7814248ff4d17c1,fcb
4,501,5cb48614635b636e96efbb73c8add63f,fcb
8,401,ba127fb63aa0f674b7835337994a5827,fcb
9,401,d05f359b27234cc1572a4c4af1b79e43,fcb
10,1014,242466f34bd61f7c5b79a168dbd25c63,fcb
11,1014,99fad7a3b490f7d3d7fc13b4db848e11,fcb
17,100,ef18311e55235156d43317cf16f5eb92,fcb
18,247,b6805236842427b48c7aaccd83dca7b7,fcb
19,431,2240f99b7364454196a6e7fac2028d2b,fcb
40,496,097576036382d7d2b774623b1844285b,fcb
0,33,242466f34bd61f7c5b79a168dbd25c63,fca
1,33,99fad7a3b490f7d3d7fc13b4db848e11,fca
2,37,2240f99b7364454196a6e7fac2028d2b,fca
3,38,9c74ce5d00fb534a6644db103f1bfe0b,fca
4,82,b6805236842427b48c7aaccd83dca7b7,fca
5,119,dc932f8b8003795cf9d4cf9e58604b99,fca
6,137,ef18311e55235156d43317cf16f5eb92,fca
7,174,bf39470c4385d389d7814248ff4d17c1,fca
27,861,ba127fb63aa0f674b7835337994a5827,fca
39,1308,097576036382d7d2b774623b1844285b,fca
87,46,5cb48614635b636e96efbb73c8add63f,fca
123,37,d05f359b27234cc1572a4c4af1b79e43,fca
