,discovery_time,crash_frames_hash,fuzzer_combination
0,496,a1b560744ee1ea725f93e162bb5dbfb0,fcb
1,20,87ddda0ce59711829e57ff9a2ece7a5e,fcb
2,49,9419f91b38edd367d90296ecfee742e2,fcb
6,607,cf8259252433e737ae31d3e894fde531,fcb
7,607,d89e5ea71af7c234a501bbc3fbb50212,fcb
8,608,592fca583cd3464b1dd6edc98ed7cca7,fcb
18,787,e6c4886679978b89805264b2f286fca5,fcb
20,938,2160b6f64ffa79a39ed40d0f57f41791,fcb
22,940,4094935f26dfd9940c6e8ef55aadaaff,fcb
0,1158,a1b560744ee1ea725f93e162bb5dbfb0,fca
2,229,2160b6f64ffa79a39ed40d0f57f41791,fca
3,230,cf8259252433e737ae31d3e894fde531,fca
6,1415,4094935f26dfd9940c6e8ef55aadaaff,fca
7,1423,d89e5ea71af7c234a501bbc3fbb50212,fca
11,502,87ddda0ce59711829e57ff9a2ece7a5e,fca
13,630,e6c4886679978b89805264b2f286fca5,fca
23,293,592fca583cd3464b1dd6edc98ed7cca7,fca
25,632,9419f91b38edd367d90296ecfee742e2,fca
