,discovery_id,discovery_time,crash_frames_hash,count
0,2407,3,9c74ce5d00fb534a6644db103f1bfe0b,0.05
1,2407,3,dc932f8b8003795cf9d4cf9e58604b99,0.1
2,2587,5,9c74ce5d00fb534a6644db103f1bfe0b,0.15
3,2587,5,dc932f8b8003795cf9d4cf9e58604b99,0.2
4,2414,6,9c74ce5d00fb534a6644db103f1bfe0b,0.25
5,3006,6,9c74ce5d00fb534a6644db103f1bfe0b,0.3
6,3006,6,dc932f8b8003795cf9d4cf9e58604b99,0.35
7,2414,6,dc932f8b8003795cf9d4cf9e58604b99,0.4
8,2733,7,dc932f8b8003795cf9d4cf9e58604b99,0.45
9,2733,7,9c74ce5d00fb534a6644db103f1bfe0b,0.5
10,3263,8,9c74ce5d00fb534a6644db103f1bfe0b,0.55
11,3263,8,dc932f8b8003795cf9d4cf9e58604b99,0.6
12,3694,13,9c74ce5d00fb534a6644db103f1bfe0b,0.65
13,4348,21,9c74ce5d00fb534a6644db103f1bfe0b,0.7
14,4821,24,9c74ce5d00fb534a6644db103f1bfe0b,0.75
15,4940,28,dc932f8b8003795cf9d4cf9e58604b99,0.8
16,4939,28,9c74ce5d00fb534a6644db103f1bfe0b,0.85
17,4534,28,bf39470c4385d389d7814248ff4d17c1,0.9
18,4810,28,9c74ce5d00fb534a6644db103f1bfe0b,0.95
19,5041,28,9c74ce5d00fb534a6644db103f1bfe0b,1.0
20,4779,33,bf39470c4385d389d7814248ff4d17c1,1.05
21,5346,33,242466f34bd61f7c5b79a168dbd25c63,1.1
22,5346,33,99fad7a3b490f7d3d7fc13b4db848e11,1.15
23,5020,37,d05f359b27234cc1572a4c4af1b79e43,1.2
24,5020,37,ba127fb63aa0f674b7835337994a5827,1.25
25,5570,37,2240f99b7364454196a6e7fac2028d2b,1.3
26,5644,38,9c74ce5d00fb534a6644db103f1bfe0b,1.35
27,6081,46,5cb48614635b636e96efbb73c8add63f,1.4
28,5756,49,bf39470c4385d389d7814248ff4d17c1,1.45
29,5644,53,dc932f8b8003795cf9d4cf9e58604b99,1.5
30,6136,54,dc932f8b8003795cf9d4cf9e58604b99,1.55
31,6136,54,bf39470c4385d389d7814248ff4d17c1,1.6
32,5777,56,dc932f8b8003795cf9d4cf9e58604b99,1.65
33,6207,56,bf39470c4385d389d7814248ff4d17c1,1.7
34,5839,59,242466f34bd61f7c5b79a168dbd25c63,1.75
35,5839,59,99fad7a3b490f7d3d7fc13b4db848e11,1.8
36,6220,62,99fad7a3b490f7d3d7fc13b4db848e11,1.85
37,6225,62,ef18311e55235156d43317cf16f5eb92,1.9
38,6220,62,242466f34bd61f7c5b79a168dbd25c63,1.95
39,6261,71,dc932f8b8003795cf9d4cf9e58604b99,2.0
40,6384,80,99fad7a3b490f7d3d7fc13b4db848e11,2.05
41,6889,80,2240f99b7364454196a6e7fac2028d2b,2.1
42,6387,81,242466f34bd61f7c5b79a168dbd25c63,2.15
43,6544,82,b6805236842427b48c7aaccd83dca7b7,2.2
44,6906,86,e295cda911fd159412aecf974a33b406,2.25
45,6906,86,0385fd953418b4a9a73109965ed568c1,2.3
46,6512,94,ef18311e55235156d43317cf16f5eb92,2.35
47,6513,94,242466f34bd61f7c5b79a168dbd25c63,2.4
48,6512,94,99fad7a3b490f7d3d7fc13b4db848e11,2.45
49,6582,98,2240f99b7364454196a6e7fac2028d2b,2.5
50,6648,99,b6805236842427b48c7aaccd83dca7b7,2.55
51,6883,101,bf39470c4385d389d7814248ff4d17c1,2.6
52,7203,104,99fad7a3b490f7d3d7fc13b4db848e11,2.65
53,6530,107,242466f34bd61f7c5b79a168dbd25c63,2.7
54,6530,107,99fad7a3b490f7d3d7fc13b4db848e11,2.75
55,7228,110,242466f34bd61f7c5b79a168dbd25c63,2.8
56,7099,110,ef18311e55235156d43317cf16f5eb92,2.85
57,6636,112,bf39470c4385d389d7814248ff4d17c1,2.9
58,7113,119,dc932f8b8003795cf9d4cf9e58604b99,2.95
59,6573,123,99fad7a3b490f7d3d7fc13b4db848e11,3.0
60,6794,126,bf39470c4385d389d7814248ff4d17c1,3.05
61,6797,126,9c74ce5d00fb534a6644db103f1bfe0b,3.1
62,6592,126,242466f34bd61f7c5b79a168dbd25c63,3.15
63,6973,128,dc932f8b8003795cf9d4cf9e58604b99,3.2
64,6973,128,9c74ce5d00fb534a6644db103f1bfe0b,3.25
65,6555,129,242466f34bd61f7c5b79a168dbd25c63,3.3
66,6555,129,99fad7a3b490f7d3d7fc13b4db848e11,3.35
67,6607,130,ef18311e55235156d43317cf16f5eb92,3.4
68,7615,136,b6805236842427b48c7aaccd83dca7b7,3.45
69,7308,137,ef18311e55235156d43317cf16f5eb92,3.5
70,7873,147,bf39470c4385d389d7814248ff4d17c1,3.55
