,discovery_id,discovery_time,crash_frames_hash,count
0,4527,59,75f6dffe3b4d18f4e5c4404ad77242d8,0.05
1,4890,63,314b2ae3f91250c4ec8955f5f6d8d722,0.1
2,4890,63,087664914f7c2d0d3309ea7f88757b6f,0.15
3,5571,116,75f6dffe3b4d18f4e5c4404ad77242d8,0.2
4,5607,123,087664914f7c2d0d3309ea7f88757b6f,0.25
5,5607,123,314b2ae3f91250c4ec8955f5f6d8d722,0.3
6,6222,182,75f6dffe3b4d18f4e5c4404ad77242d8,0.35
7,6660,193,75f6dffe3b4d18f4e5c4404ad77242d8,0.4
8,6417,256,75f6dffe3b4d18f4e5c4404ad77242d8,0.45
9,7412,305,75f6dffe3b4d18f4e5c4404ad77242d8,0.5
10,7761,444,75f6dffe3b4d18f4e5c4404ad77242d8,0.55
11,8450,704,087664914f7c2d0d3309ea7f88757b6f,0.6
12,8450,704,314b2ae3f91250c4ec8955f5f6d8d722,0.65
13,9309,921,75f6dffe3b4d18f4e5c4404ad77242d8,0.7
14,8771,1011,75f6dffe3b4d18f4e5c4404ad77242d8,0.75
15,9429,1164,75f6dffe3b4d18f4e5c4404ad77242d8,0.8
16,9103,1285,087664914f7c2d0d3309ea7f88757b6f,0.85
17,9103,1285,314b2ae3f91250c4ec8955f5f6d8d722,0.9
