,discovery_id,discovery_time,crash_frames_hash,count
0,939,1,087664914f7c2d0d3309ea7f88757b6f,0.05
1,939,1,314b2ae3f91250c4ec8955f5f6d8d722,0.1
2,3906,73,087664914f7c2d0d3309ea7f88757b6f,0.15
3,3906,73,314b2ae3f91250c4ec8955f5f6d8d722,0.2
4,6076,377,087664914f7c2d0d3309ea7f88757b6f,0.25
5,6076,377,314b2ae3f91250c4ec8955f5f6d8d722,0.3
6,6649,773,087664914f7c2d0d3309ea7f88757b6f,0.35
7,6649,773,314b2ae3f91250c4ec8955f5f6d8d722,0.4
8,6524,861,087664914f7c2d0d3309ea7f88757b6f,0.45
9,6524,861,314b2ae3f91250c4ec8955f5f6d8d722,0.5
10,7174,1143,087664914f7c2d0d3309ea7f88757b6f,0.55
11,7174,1143,314b2ae3f91250c4ec8955f5f6d8d722,0.6
12,7696,1404,087664914f7c2d0d3309ea7f88757b6f,0.65
13,7696,1404,314b2ae3f91250c4ec8955f5f6d8d722,0.7
14,7230,1429,087664914f7c2d0d3309ea7f88757b6f,0.75
15,7230,1429,314b2ae3f91250c4ec8955f5f6d8d722,0.8
