,discovery_id,discovery_time,crash_frames_hash,count
0,9005,340,5e542326cbfbab81c654ad4ae382c601,0.05
1,9005,340,a6340aaeb50a0ddb4c6dc0acc75e6918,0.1
2,9005,340,cfe64e8c12ead6d6a7e77d80dd4488a9,0.15
3,9854,600,930734fc07970f3fba9c9d663b0f7969,0.2
4,9857,600,7dd47396c7428ef54901dfb92a40f21f,0.25
5,10580,610,4d6691919f8ba7cab2a6acc47a08f99f,0.3
6,10580,610,e1c20d504bd2f23ad90478ace07ef2d9,0.35
7,10861,653,5753a5974858eb4e519e9a7b8ad5d7f5,0.4
8,11344,719,c66f6b9b2e449ed0a1adb1f484b79ef4,0.45
9,11232,855,cfe64e8c12ead6d6a7e77d80dd4488a9,0.5
10,11232,855,5e542326cbfbab81c654ad4ae382c601,0.55
11,11232,855,27b1f62cae8e95d2c7adad2da3be9a9f,0.6
12,11310,879,5548e2f6523c170094389ec479703fb5,0.65
13,10396,944,a4ec900ded63390cd946e1d386fc7cf1,0.7
14,10396,944,5e542326cbfbab81c654ad4ae382c601,0.75
15,10396,944,de3c17b5588478084595932fecff940d,0.8
16,10396,944,cfe64e8c12ead6d6a7e77d80dd4488a9,0.85
17,11593,1107,cfe64e8c12ead6d6a7e77d80dd4488a9,0.9
18,11593,1107,5e542326cbfbab81c654ad4ae382c601,0.95
19,11593,1107,a6340aaeb50a0ddb4c6dc0acc75e6918,1.0
20,11789,1116,29240592ff7f5b635140c9b975245d84,1.05
21,11789,1116,bf02ab0860118ad9ed702744f300a45c,1.1
22,12345,1385,a6340aaeb50a0ddb4c6dc0acc75e6918,1.15
23,11972,1410,27b1f62cae8e95d2c7adad2da3be9a9f,1.2
24,12942,1419,c286f4ef28c75d8ff7147c42affd4a73,1.25
25,12942,1419,89b37f8d743fe97579c6f6e939d9f2f0,1.3
