,discovery_id,discovery_time,crash_frames_hash,count
0,1299,29,87ddda0ce59711829e57ff9a2ece7a5e,0.05
1,1108,30,87ddda0ce59711829e57ff9a2ece7a5e,0.1
2,1168,30,87ddda0ce59711829e57ff9a2ece7a5e,0.15
3,2672,191,3455c94f5911948817c1682bc761b386,0.2
4,3214,229,2160b6f64ffa79a39ed40d0f57f41791,0.25
5,3290,230,cf8259252433e737ae31d3e894fde531,0.3
6,3654,293,592fca583cd3464b1dd6edc98ed7cca7,0.35
7,3241,308,87ddda0ce59711829e57ff9a2ece7a5e,0.4
8,3816,317,4094935f26dfd9940c6e8ef55aadaaff,0.45
9,3667,325,3455c94f5911948817c1682bc761b386,0.5
10,2901,331,a1b560744ee1ea725f93e162bb5dbfb0,0.55
11,3688,331,f2e26da42876d7fdc72ff5e32c975ab7,0.6
12,3806,336,cf8259252433e737ae31d3e894fde531,0.65
13,3857,339,e6c4886679978b89805264b2f286fca5,0.7
14,3881,350,f2e26da42876d7fdc72ff5e32c975ab7,0.75
15,3776,445,9419f91b38edd367d90296ecfee742e2,0.8
16,3543,502,87ddda0ce59711829e57ff9a2ece7a5e,0.85
17,3626,503,87ddda0ce59711829e57ff9a2ece7a5e,0.9
18,4090,530,3455c94f5911948817c1682bc761b386,0.95
19,4024,536,d89e5ea71af7c234a501bbc3fbb50212,1.0
20,4552,610,fbe1ad27f36080a52b2e31a4b2d35a43,1.05
21,4553,610,87ddda0ce59711829e57ff9a2ece7a5e,1.1
22,3373,617,a1b560744ee1ea725f93e162bb5dbfb0,1.15
23,3938,625,d89e5ea71af7c234a501bbc3fbb50212,1.2
24,4420,630,e6c4886679978b89805264b2f286fca5,1.25
25,4581,632,9419f91b38edd367d90296ecfee742e2,1.3
26,4597,637,cf8259252433e737ae31d3e894fde531,1.35
27,4596,637,e6c4886679978b89805264b2f286fca5,1.4
28,4606,637,592fca583cd3464b1dd6edc98ed7cca7,1.45
29,4665,642,d89e5ea71af7c234a501bbc3fbb50212,1.5
30,4043,666,592fca583cd3464b1dd6edc98ed7cca7,1.55
31,4512,676,f2e26da42876d7fdc72ff5e32c975ab7,1.6
32,3549,730,a1b560744ee1ea725f93e162bb5dbfb0,1.65
33,4853,732,d89e5ea71af7c234a501bbc3fbb50212,1.7
34,4954,743,cf8259252433e737ae31d3e894fde531,1.75
35,4412,827,592fca583cd3464b1dd6edc98ed7cca7,1.8
36,4971,831,d89e5ea71af7c234a501bbc3fbb50212,1.85
37,4506,837,cf8259252433e737ae31d3e894fde531,1.9
38,3513,1063,a1b560744ee1ea725f93e162bb5dbfb0,1.95
39,5249,1083,4094935f26dfd9940c6e8ef55aadaaff,2.0
40,5821,1144,a1b560744ee1ea725f93e162bb5dbfb0,2.05
41,5326,1145,f2e26da42876d7fdc72ff5e32c975ab7,2.1
42,3319,1158,a1b560744ee1ea725f93e162bb5dbfb0,2.15
43,5159,1225,b5a1b4efcb6f97ef399405fa0d9684a9,2.2
44,4349,1321,3455c94f5911948817c1682bc761b386,2.25
45,5492,1383,3455c94f5911948817c1682bc761b386,2.3
46,6090,1385,f2e26da42876d7fdc72ff5e32c975ab7,2.35
47,6119,1415,4094935f26dfd9940c6e8ef55aadaaff,2.4
48,5766,1420,592fca583cd3464b1dd6edc98ed7cca7,2.45
49,6127,1423,d89e5ea71af7c234a501bbc3fbb50212,2.5
