,discovery_id,discovery_time,crash_frames_hash,count
0,501,2,8c74227eed4bf13418aa08e7cfce2860,0.05
1,736,3,8c74227eed4bf13418aa08e7cfce2860,0.1
2,819,4,8c74227eed4bf13418aa08e7cfce2860,0.15
3,1660,6,8c74227eed4bf13418aa08e7cfce2860,0.2
4,1531,7,6128f51c6c406ea6fb7c22ab72995672,0.25
5,1531,7,cba4c4a26a9acbe4942b5a0f31f84451,0.3
6,1534,7,76963e8d3021a3a3740288656624dc7e,0.35
7,1534,7,e0c7e593bb81a6ff05eb77f65af7cc7c,0.4
8,1372,7,8c74227eed4bf13418aa08e7cfce2860,0.45
9,1742,7,82a52b099b0cb44ccb2ec4868c8c055f,0.5
10,1742,7,8e3b5edd63978d4a20e0ae0d181fcd60,0.55
11,1885,9,8c74227eed4bf13418aa08e7cfce2860,0.6
12,1775,9,8c74227eed4bf13418aa08e7cfce2860,0.65
13,2537,10,5d2f29e901a6016e7d55804ebb557c1a,0.7
14,1909,10,8c74227eed4bf13418aa08e7cfce2860,0.75
15,3032,11,8c74227eed4bf13418aa08e7cfce2860,0.8
16,1972,11,8c74227eed4bf13418aa08e7cfce2860,0.85
17,2384,12,8c74227eed4bf13418aa08e7cfce2860,0.9
18,2127,12,8c74227eed4bf13418aa08e7cfce2860,0.95
19,2309,13,3b34085a6c59f7df3b1f34b996a4eacc,1.0
20,2309,13,96f96aaa3e6be22754adfddb27164944,1.05
21,3081,14,b684b91573dd0c7ddc4935ec8f3ba6a3,1.1
22,3081,14,85d525a5ed697ac02f7bf45f82035839,1.15
23,3474,15,0646f8dc98605131cbd13c096e45cad3,1.2
24,3474,15,e962321310000bd8f0df569f7feedb44,1.25
25,3450,15,8c74227eed4bf13418aa08e7cfce2860,1.3
26,2016,15,8c74227eed4bf13418aa08e7cfce2860,1.35
27,3782,15,8c74227eed4bf13418aa08e7cfce2860,1.4
28,3949,16,e962321310000bd8f0df569f7feedb44,1.45
29,3979,16,884ec7d3390930225f967542efadb816,1.5
30,3979,16,6cd47e5aebb4297df5acaba2b6b80a23,1.55
31,3977,16,5130600714e96c95bd2bccd69d07f496,1.6
32,3977,16,32792956b9c80ab5079b134198ca61b8,1.65
33,3976,16,b684b91573dd0c7ddc4935ec8f3ba6a3,1.7
34,3968,16,cba4c4a26a9acbe4942b5a0f31f84451,1.75
35,3968,16,6128f51c6c406ea6fb7c22ab72995672,1.8
36,3949,16,0646f8dc98605131cbd13c096e45cad3,1.85
37,3555,16,8c74227eed4bf13418aa08e7cfce2860,1.9
38,3976,16,85d525a5ed697ac02f7bf45f82035839,1.95
39,3922,17,2d91054c9de94c5eca7ef99745635aa8,2.0
40,4171,17,cba4c4a26a9acbe4942b5a0f31f84451,2.05
41,4171,17,6128f51c6c406ea6fb7c22ab72995672,2.1
42,2748,17,6128f51c6c406ea6fb7c22ab72995672,2.15
43,2731,17,5130600714e96c95bd2bccd69d07f496,2.2
44,2732,17,85d525a5ed697ac02f7bf45f82035839,2.25
45,2732,17,b684b91573dd0c7ddc4935ec8f3ba6a3,2.3
46,2741,17,6cd47e5aebb4297df5acaba2b6b80a23,2.35
47,4180,17,b684b91573dd0c7ddc4935ec8f3ba6a3,2.4
48,3041,17,0646f8dc98605131cbd13c096e45cad3,2.45
49,3922,17,b71cb45c0e69aebbecc7a064fa470eeb,2.5
50,4222,17,20342dca7c121d150537a553601f2cff,2.55
51,4222,17,7eb8a033fb93be1a166b929b057f47e8,2.6
52,2242,17,8c74227eed4bf13418aa08e7cfce2860,2.65
53,2764,17,0ab214692ecb89468e279d02fe53320c,2.7
54,2764,17,036970cadbf3539a826ad22b62f77d20,2.75
55,2750,17,e962321310000bd8f0df569f7feedb44,2.8
56,2750,17,0646f8dc98605131cbd13c096e45cad3,2.85
57,2748,17,cba4c4a26a9acbe4942b5a0f31f84451,2.9
58,3922,17,cd1441e8dfe39c370ba2732fdd1f4b4f,2.95
59,3041,17,e962321310000bd8f0df569f7feedb44,3.0
60,2731,17,32792956b9c80ab5079b134198ca61b8,3.05
61,4179,17,c7d2cebfec5264147deaa0c4941e6db3,3.1
62,4180,17,85d525a5ed697ac02f7bf45f82035839,3.15
63,3348,17,0f44695389213eaaa9d22f82e4a1bbdc,3.2
64,3348,17,189d3af2d351e4a957a2cdee6427f4fd,3.25
65,3399,17,20342dca7c121d150537a553601f2cff,3.3
66,3399,17,7eb8a033fb93be1a166b929b057f47e8,3.35
67,4179,17,ab82a35ef635651378049cee2e629e6a,3.4
68,2741,17,884ec7d3390930225f967542efadb816,3.45
69,3309,18,e47d8c0bac54f00eadd6e1e2e3662c65,3.5
70,4295,18,96f96aaa3e6be22754adfddb27164944,3.55
71,4295,18,3b34085a6c59f7df3b1f34b996a4eacc,3.6
72,4176,18,64f3eee2c7b2e4594b050aa702a3f154,3.65
73,4176,18,51ea19cf3cdd0032322d439a97abf293,3.7
74,4285,18,0646f8dc98605131cbd13c096e45cad3,3.75
75,2790,18,ab82a35ef635651378049cee2e629e6a,3.8
76,2790,18,c7d2cebfec5264147deaa0c4941e6db3,3.85
77,2995,18,5ae32016c91ba99ef4545e0f2a6c42dd,3.9
78,2995,18,e47d8c0bac54f00eadd6e1e2e3662c65,3.95
79,3023,18,7eb8a033fb93be1a166b929b057f47e8,4.0
80,3023,18,20342dca7c121d150537a553601f2cff,4.05
