,discovery_id,discovery_time,crash_frames_hash,count
0,547,3,8c74227eed4bf13418aa08e7cfce2860,0.05
1,781,3,8c74227eed4bf13418aa08e7cfce2860,0.1
2,987,7,8c74227eed4bf13418aa08e7cfce2860,0.15
3,3172,30,8c74227eed4bf13418aa08e7cfce2860,0.2
4,3421,35,8c74227eed4bf13418aa08e7cfce2860,0.25
5,3361,41,8c74227eed4bf13418aa08e7cfce2860,0.3
6,3404,46,a624478673cfe92eee6663ce2269898f,0.35
7,3515,75,8c74227eed4bf13418aa08e7cfce2860,0.4
8,4679,78,a624478673cfe92eee6663ce2269898f,0.45
9,4764,78,8c74227eed4bf13418aa08e7cfce2860,0.5
10,4441,79,8c74227eed4bf13418aa08e7cfce2860,0.55
11,4766,88,8c74227eed4bf13418aa08e7cfce2860,0.6
12,4365,89,a624478673cfe92eee6663ce2269898f,0.65
13,5069,90,a624478673cfe92eee6663ce2269898f,0.7
14,4126,111,a624478673cfe92eee6663ce2269898f,0.75
15,4561,111,a624478673cfe92eee6663ce2269898f,0.8
16,6053,147,a624478673cfe92eee6663ce2269898f,0.85
17,5941,155,a624478673cfe92eee6663ce2269898f,0.9
18,5698,156,8c74227eed4bf13418aa08e7cfce2860,0.95
19,6076,160,a624478673cfe92eee6663ce2269898f,1.0
20,6179,166,8c74227eed4bf13418aa08e7cfce2860,1.05
21,5577,171,8c74227eed4bf13418aa08e7cfce2860,1.1
22,5915,172,a624478673cfe92eee6663ce2269898f,1.15
23,6390,178,8c74227eed4bf13418aa08e7cfce2860,1.2
24,6166,189,a624478673cfe92eee6663ce2269898f,1.25
25,6053,196,8c74227eed4bf13418aa08e7cfce2860,1.3
26,6221,227,a624478673cfe92eee6663ce2269898f,1.35
27,6807,229,8c74227eed4bf13418aa08e7cfce2860,1.4
28,6088,280,8c74227eed4bf13418aa08e7cfce2860,1.45
29,6992,313,8c74227eed4bf13418aa08e7cfce2860,1.5
30,7463,334,8c74227eed4bf13418aa08e7cfce2860,1.55
31,7639,342,8c74227eed4bf13418aa08e7cfce2860,1.6
32,8437,391,a624478673cfe92eee6663ce2269898f,1.65
33,9739,445,88b3e326e558c761f470b4886a2ccdf8,1.7
34,11908,507,9b10153fa6aba9fd0610d154ebc4e3a8,1.75
35,14626,674,8bc4cb2c1925e638e963e3bcebe0b8bd,1.8
36,14626,674,cab3706d97066819dfba2890bbbb9f35,1.85
37,12427,783,cab3706d97066819dfba2890bbbb9f35,1.9
38,12427,783,8bc4cb2c1925e638e963e3bcebe0b8bd,1.95
39,12765,808,88b3e326e558c761f470b4886a2ccdf8,2.0
40,13761,895,88b3e326e558c761f470b4886a2ccdf8,2.05
41,15048,950,35c08ee29aae0fe5286f373333476a1d,2.1
42,15048,950,6dfecc019241e7ec348aebebfb30cde3,2.15
43,15048,950,9c0829efb9d72bda426f08748e69da5a,2.2
44,15048,950,ef787e2e8bafba066b528ecf2360d4ed,2.25
45,15063,952,e77dcbb13a1a1c7b6e674b8647f8e3d9,2.3
46,15616,1003,2d8284bab5079eeb6463eeb681157292,2.35
47,15616,1003,162d4bf896e713e3ee8c4fca075c1dbf,2.4
48,15616,1003,1a64c7cd0916afa1880d62753a44a050,2.45
49,15664,1005,b01a22729c2e0e02889ab33019016c5d,2.5
50,15664,1005,88f2f8b97e80133fc2766f9be1af42ea,2.55
51,15682,1005,c661072ad7b8cf53655e3586fc8159c0,2.6
52,15682,1005,7cfe26c4a00ed20d343253adc9ca5327,2.65
53,16147,1013,ff3ce482cff012abf921703bde3e8777,2.7
54,16303,1029,ee8067dcf7e8de116c61bb97d421f5d7,2.75
55,18517,1042,88b3e326e558c761f470b4886a2ccdf8,2.8
56,14576,1283,88b3e326e558c761f470b4886a2ccdf8,2.85
57,17653,1293,88b3e326e558c761f470b4886a2ccdf8,2.9
58,13617,1408,88b3e326e558c761f470b4886a2ccdf8,2.95
