,discovery_id,discovery_time,crash_frames_hash,count
0,30108,81,b790c863136ba950389ba4f26b1155ff,0.05
1,27375,93,0bc550f4a382119e71fef3d6c6761e7c,0.1
2,30096,94,a26b18e5d3f038233ed0c10a19f2c15a,0.15
3,42644,155,0bc550f4a382119e71fef3d6c6761e7c,0.2
4,43525,161,a26b18e5d3f038233ed0c10a19f2c15a,0.25
5,39870,217,a26b18e5d3f038233ed0c10a19f2c15a,0.3
6,77822,572,6260528cc16c1b8e69050fe4ce12e502,0.35
7,77859,573,a26b18e5d3f038233ed0c10a19f2c15a,0.4
8,77994,578,3c2c1a3f9d80cef08cad03b1eac7de30,0.45
9,79012,613,3c2c1a3f9d80cef08cad03b1eac7de30,0.5
10,79030,613,a73c019e2128b4d39d53ea1d548b9961,0.55
11,80425,626,0bc550f4a382119e71fef3d6c6761e7c,0.6
12,80469,627,a26b18e5d3f038233ed0c10a19f2c15a,0.65
13,76998,636,a26b18e5d3f038233ed0c10a19f2c15a,0.7
14,83558,709,a58d150d68fd75cdc55677e9b47c7a94,0.75
15,93891,1287,a73c019e2128b4d39d53ea1d548b9961,0.8
16,98215,1308,3b089a6c0718b7b308a3de6ab5e9a87f,0.85
