,discovery_time,crash_frames_hash,fuzzer_combination
0,10,dc932f8b8003795cf9d4cf9e58604b99,fcb
1,10,9c74ce5d00fb534a6644db103f1bfe0b,fcb
2,33,99fad7a3b490f7d3d7fc13b4db848e11,fca
3,33,242466f34bd61f7c5b79a168dbd25c63,fca
4,37,d05f359b27234cc1572a4c4af1b79e43,fca
5,37,2240f99b7364454196a6e7fac2028d2b,fca
6,46,5cb48614635b636e96efbb73c8add63f,fca
7,82,b6805236842427b48c7aaccd83dca7b7,fca
8,100,ef18311e55235156d43317cf16f5eb92,fcb
9,174,bf39470c4385d389d7814248ff4d17c1,fca
10,192,0385fd953418b4a9a73109965ed568c1,fca
11,232,98b0b019c8fb28351ab32f4e7127bc72,fcb
12,265,e295cda911fd159412aecf974a33b406,fca
13,401,ba127fb63aa0f674b7835337994a5827,fcb
14,491,608e3e385a0175b5249795cd7b6f6e80,fcb
15,491,f62e79ec7a50f4eb81613db7874b05fc,fcb
16,496,097576036382d7d2b774623b1844285b,fcb
17,507,706f128d1de30d2cf68c05529afb4247,fcb
18,507,198f3c3c354aaedb5e33ba83b5b95a7f,fcb
19,626,333b4b08bdbba43f4ade91fe58aa064e,fca
20,861,c35e68ad11ee23588788f0dd3a2c0d73,fca
21,1068,d41d8cd98f00b204e9800998ecf8427e,fcb
