,discovery_time,crash_frames_hash,fuzzer_combination
0,20,87ddda0ce59711829e57ff9a2ece7a5e,fcb
1,49,9419f91b38edd367d90296ecfee742e2,fcb
2,191,3455c94f5911948817c1682bc761b386,fca
3,229,2160b6f64ffa79a39ed40d0f57f41791,fca
4,230,cf8259252433e737ae31d3e894fde531,fca
5,293,592fca583cd3464b1dd6edc98ed7cca7,fca
6,496,a1b560744ee1ea725f93e162bb5dbfb0,fcb
7,607,d89e5ea71af7c234a501bbc3fbb50212,fcb
8,610,fbe1ad27f36080a52b2e31a4b2d35a43,fca
9,630,e6c4886679978b89805264b2f286fca5,fca
10,940,4094935f26dfd9940c6e8ef55aadaaff,fcb
11,1225,b5a1b4efcb6f97ef399405fa0d9684a9,fca
12,1385,f2e26da42876d7fdc72ff5e32c975ab7,fca
