,discovery_time,crash_frames_hash,fuzzer_combination
0,7,82a52b099b0cb44ccb2ec4868c8c055f,fca
1,7,8e3b5edd63978d4a20e0ae0d181fcd60,fca
2,9,b71cb45c0e69aebbecc7a064fa470eeb,fcb
3,9,2d91054c9de94c5eca7ef99745635aa8,fcb
4,9,cd1441e8dfe39c370ba2732fdd1f4b4f,fcb
5,11,cba4c4a26a9acbe4942b5a0f31f84451,fcb
6,11,6128f51c6c406ea6fb7c22ab72995672,fcb
7,14,189d3af2d351e4a957a2cdee6427f4fd,fcb
8,14,0f44695389213eaaa9d22f82e4a1bbdc,fcb
9,15,76963e8d3021a3a3740288656624dc7e,fcb
10,15,8c74227eed4bf13418aa08e7cfce2860,fca
11,15,e0c7e593bb81a6ff05eb77f65af7cc7c,fcb
12,17,85d525a5ed697ac02f7bf45f82035839,fca
13,17,c7d2cebfec5264147deaa0c4941e6db3,fca
14,17,ab82a35ef635651378049cee2e629e6a,fca
15,17,b684b91573dd0c7ddc4935ec8f3ba6a3,fca
16,18,32792956b9c80ab5079b134198ca61b8,fcb
17,18,6cd47e5aebb4297df5acaba2b6b80a23,fcb
18,18,036970cadbf3539a826ad22b62f77d20,fcb
19,18,e962321310000bd8f0df569f7feedb44,fca
20,18,0646f8dc98605131cbd13c096e45cad3,fca
21,18,884ec7d3390930225f967542efadb816,fcb
22,18,5130600714e96c95bd2bccd69d07f496,fcb
23,18,0ab214692ecb89468e279d02fe53320c,fcb
24,19,e6d7a1d059817b81e9924cd15c91399b,fca
25,19,38437eee2d9c701de96336291632678f,fca
26,24,0c22f5df8527d37af8fb39cf84536a5f,fcb
27,24,eb5d682f5a89e229ebd2b7426817c68a,fcb
28,24,7dd30d6c4aa394cae217d6922a082550,fcb
29,24,50b003deb4b331c44241db4cea752ee4,fcb
30,25,96f96aaa3e6be22754adfddb27164944,fca
31,25,20342dca7c121d150537a553601f2cff,fcb
32,25,7eb8a033fb93be1a166b929b057f47e8,fcb
33,25,3b34085a6c59f7df3b1f34b996a4eacc,fca
34,26,31b818f6b84cdfb659fe8928c4138272,fcb
35,26,37e3e9076524a4b2ea46592e302a3160,fcb
36,26,a8096fe8a03d5c3886069f170d340f05,fcb
37,26,db26c23d2898fd1af9ef6a59db9b5c4a,fcb
38,30,217e3f6c0ab4aacc1417e41707b79cd2,fca
39,30,d68ef8a660bb62fd4346463a27e8b6bb,fca
40,31,2df8fce84ecca91f20883283f177a682,fca
41,31,aaf3961ef15af564de22890df357e555,fca
42,34,64f3eee2c7b2e4594b050aa702a3f154,fca
43,34,51ea19cf3cdd0032322d439a97abf293,fca
44,34,01b500657eb3eed1b45b5347a3832f6e,fca
45,34,db49e5091659cea81ceb888e9e82108b,fca
46,36,b3e2e218e7943d0f1bfb2dda43cd1262,fcb
47,36,78c5fe1e9fea41710ccf42d74a3642be,fca
48,36,e47d8c0bac54f00eadd6e1e2e3662c65,fcb
49,36,5ae32016c91ba99ef4545e0f2a6c42dd,fcb
50,36,4ea63e6d2a5a0ea011e8abdad564fadb,fcb
51,36,5543a143058bf25908a7db11c057f726,fcb
52,36,8590b2ad25e44c36b8c6d6080ee36a39,fca
53,37,3e39b4419bb3481e535ae5aa1edbc1ae,fcb
54,37,69802de8a559488854e935269a287aed,fcb
55,37,f7f5d52dccd3f553a3507a766c203c59,fcb
56,37,df2e9ad2aeddaf4d9eaff65247e4555f,fcb
57,37,f9fa9e3aea37a0a85a73bb43d4caa27a,fcb
58,37,a5fa55e131ad43ec199dfbff62fb1cbc,fcb
59,37,0567ef959ddfeae19866c5eb16acee15,fcb
60,38,1de1adfe99291fcb6fac8e9ec1a1d520,fcb
61,38,881c889b0d0e954fcc9098fea94bdc84,fcb
62,39,98a686beaa005bf6c8f4d08238289d07,fca
63,39,b80e6dc2c58ea5c3f659ffff15b4c967,fca
64,40,c6b40a134598dcb28b7835932910f147,fcb
65,40,4d76847d0ec0b1e91b6ea807f0854191,fcb
66,40,8c05d58d5592cd4ca68c9e318ce280d7,fcb
67,40,9ca2050690b5fbe6c4d617cce3101ce1,fcb
68,41,c66b2c326db349ab6561d6b782d2ab8f,fca
69,41,87aaa85249fb7e63506af5d72c3f26c5,fca
70,41,c764e6a661b1693be2e3fb7b9e59345a,fcb
71,41,5dbd59db9fbfa619db19e3ee161ea098,fcb
72,42,9dd67af08aad434e80ae8608a163eee9,fcb
73,42,8ca2bb21e0fddfc0f2e633747e876659,fcb
74,43,aa66a1d931098f2ec0e165875663ec19,fca
75,43,5e71c79a7e29ed5bce5845b2c200f145,fca
76,44,7955604df67ffcf65427a58682b0f595,fca
77,44,d1121efa09a3fdc4bd286ad890ebdcc3,fca
78,45,9998a4fe7585775b5b5fac75696a1ccc,fca
79,46,88b29681300b59bb728807e648a00200,fcb
80,46,e52c931bd3ff4c48f005f53ea0446d73,fcb
81,46,7123a6cf348169bf0f6d974667d36050,fcb
82,46,288a3bfe5bc5bc4acce31d01b07f68f2,fcb
83,47,946c2739a6ce15e84cdfc34debc2d3ba,fcb
84,47,0998abace1a387aa2afaac71e80c95f7,fcb
85,49,4a436bc2ae0b651b32668457aab5f28a,fcb
86,49,a5405891c81691e1eec2684d72a85f21,fcb
87,51,1bca190b178d219540d6ff4c8867dea3,fcb
88,51,bc2a78e0a29a73e77c0586fcea730a4a,fcb
89,51,04fbb1bf3c8f9a68ebb8d41d74621b1c,fcb
90,51,56085302a552582b954479eef827d499,fcb
91,52,0892c571768cea463ae1e0b4b4f12efa,fcb
92,52,55bd7a88acfb975c9dcf9b1a396a35f6,fcb
93,52,66cecc259f05a8d3bfff1fc273c4224f,fcb
94,52,f8be52f2f55e4e3a6786e7a0c6d42ac4,fcb
95,53,a9790d2a275a7b2fcd3a21a2d76cd7d1,fca
96,53,d60423b99f878252c290baed0bde5df8,fca
97,53,1c4b5702e75f822502c1af99eabdb7ff,fca
98,54,8b389ba44aa3acfc7a830079d7223d26,fca
99,54,9ca6690d16f1085e43e3fa570dddb4d6,fca
100,56,68fd76a6b2da08e5dd8090d924d89977,fcb
101,56,722cb0d0166bee970f9ef07787900c9a,fcb
102,57,822aa6c6e293b6234ac2dd3610e0eaf3,fcb
103,57,d3bf3473588eda4f36f5a5bc1554cd6f,fcb
104,59,28dabfdba8c093d7b3f2fcda4f32016a,fcb
105,59,f480f230683c1c79c04ed8cc9c447fac,fca
106,59,2aea9a0b028bd93b6e1290c8548050f3,fca
107,60,53db53068c3b108d77149d6c571a626c,fcb
108,60,071d504f8d1935191ea3c38b37a229f7,fcb
109,60,dc029a3e1ea5e57024c0900de085fbce,fcb
110,60,b7ae6713300665eed1ff45db94352ea7,fca
111,60,f67ae7838a8a1ab050c5d7e726233ad6,fcb
112,62,0266172c87f12a087d9b28d7765536c9,fca
113,62,1c11f6b2917f3147b68fad5583c6f64e,fca
114,63,b6b029e55c4f96a4092a4d02cbb8f8b8,fcb
115,63,fa482ff00b4846160d3ad1c23900f15e,fcb
116,65,a4fea3dd24a81883c8f49ff2811c6172,fca
117,65,b85e0170cb17f05f66db10074febc47e,fca
118,66,3f01be88adb1c243af288148c0858af7,fcb
119,66,77e725e3d186ca36aebeb3f7d3468501,fcb
120,67,6af674ab4d03f120df5b8d533dbfba29,fca
121,67,4e43a8f41176f5f2981445eb13e7fcbc,fca
122,67,fd97a0c3d32c9bbb9a63495ba830b97b,fca
123,67,553da1631e4644a8233d72607b76b023,fca
124,67,f1d628f0aa1f6c74839caabe752386a6,fca
125,67,79713bf83535d625f829157c082a1a4a,fca
126,67,40f1c3f1b305c9a217e4613dda5fe6f9,fca
127,67,c23d49d464482eb996d08f509d802321,fca
128,68,6dd4a19f5b682d9eda18733f53d7092c,fcb
129,68,94120398de427b16f2ec31f185b72eb5,fcb
130,68,b7299f5f2471de9556341cafdeabab52,fcb
131,68,985a68778992a3e4701a26d4e955c8e2,fcb
132,68,8da6438814ae14ea9141c9bb025380c4,fcb
133,68,1f532cecffb61353988a3517494fc9e2,fcb
134,69,e03c37eb101b4fba7ea6ef2b63aec32d,fcb
135,71,d310160d15b453a3fa494d9cd37defd8,fca
136,71,94977f0ed75a9d33f3bbf6e29f540022,fca
137,72,eee790f6d3c7c301c5ec7d14155a97ad,fcb
138,72,0fde7a1a750f23c70a38a778b1657503,fcb
139,72,79b0ea4e39a3801ffe324cafa3f8618a,fcb
140,72,11517cc9686bf2d40629dd5b4cb1ee9e,fcb
141,73,5d2f29e901a6016e7d55804ebb557c1a,fcb
142,74,2cf72d3643513e081ab590ec9c367d2c,fcb
143,74,d38a95be5faf93078b4eb3d40ce3544f,fcb
144,74,0280e8edea9d14b726081d701445d7d0,fcb
145,74,f6332c53786081d09f0baeeb7245a5c9,fcb
146,74,9e9ba66778de27e17456782e624e7d2b,fcb
147,74,11dc1ef841689560c3c8e867906de31d,fcb
148,74,cb179988eb97e9df504e9e4963944fdb,fcb
149,74,f0044755d4840b749f2ba1e424e85ebd,fcb
150,75,70f8eb28eb616a407728fcb6c56700d0,fcb
151,75,5a61d48e9d054c5d64619070f0400437,fcb
152,75,10ea6dabdcf7db212926c96e6c4c0770,fcb
153,75,0ae1ef65dce4282c536bd732664a4dce,fcb
154,76,dec70f5332c7c1622c84dc56b62d2da9,fca
155,76,0385fe8f7359d922656f479925d854dd,fca
156,77,c2cfeef2c6070754be4b70c7a1b1d613,fcb
157,77,6e0fa39f1d3feba6c840a1360aee200c,fcb
158,78,7ffddf23223748fbf44c25604d14dcdd,fca
159,78,e45de4ea4e9c44c8dc7ae9329a7e1dc1,fca
160,80,6d645b419f7d62c7c1db7759d703c607,fcb
161,80,d9a0787d228d60d51b0b3dc26e144ac2,fca
162,80,35522d19c9712eacea77ebeb4469bb03,fcb
163,80,b7d62a41f4d1e3496093dc7081a00d48,fca
164,80,1729257748d5998600912eb7d356ce8f,fcb
165,80,3e6a979e87d55b0de96519a22542c3f3,fcb
166,80,fc53f23535a055df2118872da607402e,fca
167,80,8098b7c49ec0d4f096fd1f4c8804648c,fcb
168,80,320e5f617e0557e33be8d59d27e96b9f,fca
169,80,e39be1c278ac71aa506b1a073182d502,fcb
170,81,d068b7fbc5839d6d1315d95ce88c24ac,fca
171,82,ce1c3f8054615abe83908e2e72ffea66,fcb
172,82,256ad76866adde9d37ca50311ea1abd5,fcb
173,83,b33816a35d6d1fecaccde50fd9ad783a,fca
174,83,ebcc95b679a22af31bee2611f5065e00,fca
175,83,404bda1b199064724efef5872299313a,fcb
176,84,cd65f36d3a2669d55a4f7c4695ddb7cf,fcb
177,84,ac97f97bc7c486825473741fc4d88548,fcb
178,84,f0f342bb14e9e6e68dd08d6238202490,fcb
179,87,9db52f409bf36cb8d70db9efac7fbf6d,fca
180,87,3f4df175342a2234c4a327ba1ea5af8f,fca
181,87,519495491a27785b08a25a20ef436a47,fcb
182,87,3f8976c03d3ce698ae747ee19deae934,fca
183,87,82754ad371c1172c623ef0dcf08a96a2,fca
184,87,d1edad0308cd3939a688bf43142c4286,fca
185,87,6574cc1969abbdcf6a0fac1797309a7f,fcb
186,89,1344a6531a7eabd15ea22801608469a5,fcb
187,89,f1865bb339fb3486c823b5462099935d,fcb
188,92,355864b311673634226216ec29214457,fcb
189,92,e7e1ccf245a89c564af22a5f0cbd2336,fcb
190,93,19917527ce90725490278b5d692b3180,fca
191,93,c94bb713f0f0a7fb4aede620b334f639,fca
192,93,eccab81831e185f3e79d857c78357b1b,fca
193,93,01fa36ad14ea1017f4e645efa1259855,fca
194,93,b8bbe349f34ac5fe3b3360211416bd9c,fca
195,94,e16ae318e765808295506892e6858caa,fcb
196,94,cbe1c75c25d6dc91f0044aa89c7fad45,fcb
197,94,b34e6c059cca27e7e350882953f992e3,fcb
198,95,1f2fa0536ac8c879384d54083851fbc2,fcb
199,95,f40d101b1767692638ee4317dd2d8b83,fcb
200,97,f353e10a2af083af1af45e337618cf9a,fca
201,97,3a7b1810ec282f54faad2f1257ecd971,fca
202,100,7aee1e1bab632ae019a211a2f466331d,fcb
203,100,d6e6da5a7c60dc5eb416486d50590ea6,fcb
204,100,8c4b7dde591136d692eb09155d5fe407,fcb
205,100,0c55f0c8df5671adc10e4e9f9948954b,fcb
206,104,bac95c8fb349bcb7f92a85a3f57c08a9,fcb
207,104,9a65d7f667df1f3d30c00ebb59bb43f9,fcb
208,107,675264e67bb16cf95fce8e6a3fd44284,fca
209,107,ea96565a4e012cca8889fcce4b25307e,fca
210,108,e6c905c11603af01e89927e64f6170a9,fcb
211,108,c3dde794d64b04233eea7b232350da4d,fca
212,108,ef9f21add126fb35bc33d6c78b71a71d,fca
213,110,e69464d29edee748e3495be97bafe20e,fca
214,110,5fb56ce37a439067b9539a8d112d1a01,fca
215,110,6b44fbea1b1bc434f70559d2da6cc867,fca
216,110,fbe591f6bc04da62c8c2c4091bc7a63d,fca
217,111,29025c1d1b143f33482aac52547bedc9,fca
218,111,469dfbe5d07c905d3b241c78204cef2a,fca
219,111,b1f53a001c1900e37ef1071a367fc95b,fcb
220,111,06a76a2c70e3d3133df5c0a41483596e,fca
221,111,e3b427f266d8e9c2378e57a9b2507e31,fcb
222,114,a190c7f5e1672cc05575fe4f38ee9a40,fca
223,114,08ca7b2ca1c99db338517f8acbb587e7,fca
224,114,fd034a6edf6c2fa2bf0cf8afe6ed5cf5,fca
225,114,29c9bea4133ee9c945c5692f13ce2abb,fca
226,115,cef3cdac43e27e487e4ebaee3f1f4124,fcb
227,115,3ff6461e4e3a6126efba3b4a0abfaaac,fcb
228,115,a372cb9db00a439c7fb0b717810f5088,fcb
229,116,7329598de83aa4cba30814d1b9c2d0f7,fca
230,116,17651bdeeb855e4f7b4656aba7ec02c7,fca
231,116,c181d3ff2b59a8f71034759790f76d1e,fca
232,116,72c242344003514a20389691f3f5976b,fca
233,118,7b0d6cede632389bcefdecbdad8add39,fca
234,118,202227457dd192d3197881377b6b7f9c,fca
235,119,5ffff55bb70ca93a6d1ea49c23161e9c,fcb
236,119,b8f4aa699bfd494b786506c1a27acebf,fcb
237,120,3a79881a8ccc3e2b876bbb7f95a57d77,fcb
238,120,4f2f35b698a6780115194c2f73762bf9,fcb
239,121,d497edd09f0d6aba9a8467538155eb14,fca
240,121,0b41f1fd622f9cb85d6836e86d04b9a0,fcb
241,121,b27283ce4d7181e15900b34e759abde4,fca
242,122,93f1bffc4755be996f9415e3b21135e6,fca
243,122,4a6437d1bcc572460c8174938c15fa7c,fca
244,126,5b36fbb5cf67b603f44fc2228af0218a,fca
245,127,df6bc0487f81ab5dfd3fe2719b4886e7,fca
246,131,93a722dd828c64c596d36f86edd72482,fcb
247,131,116ae81992e82044d3bc942b9ac6e9fd,fcb
248,133,0c809dc479e32efbbfe3e1e2e8f86045,fcb
249,133,f51ba2c3a608d38078af9e8834755d7a,fcb
250,134,31fdadb70cea93ae8e5fc42f7429577c,fca
251,134,5792677fbbcd4b20faedab348e435279,fca
252,134,dce33dd1e86fcd7160ed5a0ff73422ac,fca
253,134,3eb5851e990e6e543e3861801339bdd6,fca
254,134,a1f9bf71373989b562673eb5920a6b8a,fcb
255,134,3a1d747a5149ed41258d433d1fb16525,fcb
256,138,07519e983f9c1f1f3243bd37defb96d8,fcb
257,138,af456691e75af9971af56918fe85f868,fca
258,138,85d1d826f34b1d5fe7cb003081ce55ac,fca
259,140,a59aec6cdb8f742f3a4eb6a73b1941be,fca
260,140,2d9e015fd617239c4a6d1e04929bc000,fca
261,140,3729b0e14bb1b881d5a7e4866fee69b1,fcb
262,140,db80b15e54f8e36ce3be97bdcd543688,fcb
263,145,79ecef9516b8b7e15458d69fb3872ede,fcb
264,145,18fa8b01e6227f950fe43461aff868fa,fca
265,145,9e2314932920a7b3063851313cee9b98,fcb
266,145,eb2987cd0876ff5f642e3fdb5a9cd85e,fcb
267,145,4383f671e0b61bef1932adfb696d6553,fcb
268,147,8c375199153e81af054398d83471f1ba,fcb
269,147,793cbea48129d503b4621bbf44e32202,fcb
270,147,b1887665bfb498f05f53a7dd78b42b23,fcb
271,148,7c8258b507554289f2bf9d92c254bfb3,fcb
272,148,cc17b0041b6531a93c4bfa99cf98050a,fcb
273,148,070ba31683323066fe5594bc96ae71d1,fcb
274,149,bb7980c8ba2edc1e1c6888baaa06bd84,fcb
