,discovery_time,crash_frames_hash
0,10,20342dca7c121d150537a553601f2cff
1,10,7eb8a033fb93be1a166b929b057f47e8
2,13,0c22f5df8527d37af8fb39cf84536a5f
3,13,eb5d682f5a89e229ebd2b7426817c68a
4,14,3b34085a6c59f7df3b1f34b996a4eacc
5,14,96f96aaa3e6be22754adfddb27164944
6,19,31fdadb70cea93ae8e5fc42f7429577c
7,19,3eb5851e990e6e543e3861801339bdd6
8,19,f0f342bb14e9e6e68dd08d6238202490
9,20,01b500657eb3eed1b45b5347a3832f6e
10,20,db49e5091659cea81ceb888e9e82108b
11,26,76963e8d3021a3a3740288656624dc7e
12,26,e0c7e593bb81a6ff05eb77f65af7cc7c
13,27,404bda1b199064724efef5872299313a
14,27,822aa6c6e293b6234ac2dd3610e0eaf3
15,29,6128f51c6c406ea6fb7c22ab72995672
16,29,cba4c4a26a9acbe4942b5a0f31f84451
17,31,5792677fbbcd4b20faedab348e435279
18,31,dce33dd1e86fcd7160ed5a0ff73422ac
19,39,0646f8dc98605131cbd13c096e45cad3
20,39,e962321310000bd8f0df569f7feedb44
21,39,85d525a5ed697ac02f7bf45f82035839
22,39,b684b91573dd0c7ddc4935ec8f3ba6a3
23,39,6cd47e5aebb4297df5acaba2b6b80a23
24,39,884ec7d3390930225f967542efadb816
25,39,32792956b9c80ab5079b134198ca61b8
26,39,5130600714e96c95bd2bccd69d07f496
27,39,036970cadbf3539a826ad22b62f77d20
28,39,0ab214692ecb89468e279d02fe53320c
29,42,51ea19cf3cdd0032322d439a97abf293
30,42,64f3eee2c7b2e4594b050aa702a3f154
31,51,5ae32016c91ba99ef4545e0f2a6c42dd
32,51,e47d8c0bac54f00eadd6e1e2e3662c65
33,57,8b389ba44aa3acfc7a830079d7223d26
34,57,9ca6690d16f1085e43e3fa570dddb4d6
35,58,82a52b099b0cb44ccb2ec4868c8c055f
36,58,8e3b5edd63978d4a20e0ae0d181fcd60
37,59,66cecc259f05a8d3bfff1fc273c4224f
38,59,f8be52f2f55e4e3a6786e7a0c6d42ac4
39,61,2d91054c9de94c5eca7ef99745635aa8
40,61,b71cb45c0e69aebbecc7a064fa470eeb
