,discovery_time,crash_frames_hash
0,342,8c74227eed4bf13418aa08e7cfce2860
2,111,a624478673cfe92eee6663ce2269898f
7,808,88b3e326e558c761f470b4886a2ccdf8
11,950,35c08ee29aae0fe5286f373333476a1d
12,950,6dfecc019241e7ec348aebebfb30cde3
13,950,9c0829efb9d72bda426f08748e69da5a
14,950,ef787e2e8bafba066b528ecf2360d4ed
15,952,e77dcbb13a1a1c7b6e674b8647f8e3d9
16,1003,1a64c7cd0916afa1880d62753a44a050
17,1003,2d8284bab5079eeb6463eeb681157292
18,1003,162d4bf896e713e3ee8c4fca075c1dbf
19,1005,b01a22729c2e0e02889ab33019016c5d
20,1005,88f2f8b97e80133fc2766f9be1af42ea
21,1005,c661072ad7b8cf53655e3586fc8159c0
22,1005,7cfe26c4a00ed20d343253adc9ca5327
23,1013,ff3ce482cff012abf921703bde3e8777
24,1029,ee8067dcf7e8de116c61bb97d421f5d7
33,674,8bc4cb2c1925e638e963e3bcebe0b8bd
34,674,cab3706d97066819dfba2890bbbb9f35
57,507,9b10153fa6aba9fd0610d154ebc4e3a8
