,discovery_time,crash_frames_hash
0,88,8c74227eed4bf13418aa08e7cfce2860
1,950,35c08ee29aae0fe5286f373333476a1d
2,950,6dfecc019241e7ec348aebebfb30cde3
3,950,9c0829efb9d72bda426f08748e69da5a
4,950,ef787e2e8bafba066b528ecf2360d4ed
5,952,e77dcbb13a1a1c7b6e674b8647f8e3d9
6,1003,1a64c7cd0916afa1880d62753a44a050
7,1003,2d8284bab5079eeb6463eeb681157292
8,1003,162d4bf896e713e3ee8c4fca075c1dbf
9,1005,b01a22729c2e0e02889ab33019016c5d
10,1005,88f2f8b97e80133fc2766f9be1af42ea
11,1005,c661072ad7b8cf53655e3586fc8159c0
12,1005,7cfe26c4a00ed20d343253adc9ca5327
13,1013,ff3ce482cff012abf921703bde3e8777
14,1029,ee8067dcf7e8de116c61bb97d421f5d7
