,discovery_id,discovery_fuzzer,discovery_fuzzer_name,fuzzer_type_description,discovery_time,testcase_hash,testcase_type_description,crash_id,crash_type,crash_frames_hash,sanitizer
51,4821,3006551694,mopt-0-exid0,mopt,1464,893f1065c7f042051da978d7a8f37ac48e3d1a1cf78c5327108c01d9e99bade2,crash,51,heap-use-after-free,9c74ce5d00fb534a6644db103f1bfe0b,asan
807,6136,349693121,aflplusplus-0-exid0,aflplusplus,3250,5cb9ff1e53a297ff837b83b0b0f17d11f607d1dfdbb1a57a6310a3fb5469b826,crash,807,SEGV,dc932f8b8003795cf9d4cf9e58604b99,ubsan
446,6136,349693121,aflplusplus-0-exid0,aflplusplus,3250,5cb9ff1e53a297ff837b83b0b0f17d11f607d1dfdbb1a57a6310a3fb5469b826,crash,446,heap-use-after-free,bf39470c4385d389d7814248ff4d17c1,asan
809,6630,1306530000,fairfuzz-0-exid0,fairfuzz,5116,e30f2e75020c0ff2c8d2568daed9521e80359fca4497c85919df101eed9da9d3,crash,809,SEGV,dc932f8b8003795cf9d4cf9e58604b99,ubsan
452,6630,1306530000,fairfuzz-0-exid0,fairfuzz,5116,e30f2e75020c0ff2c8d2568daed9521e80359fca4497c85919df101eed9da9d3,crash,452,heap-use-after-free,9c74ce5d00fb534a6644db103f1bfe0b,asan
381,6856,349693121,aflplusplus-0-exid0,aflplusplus,6413,adae7f537ec96ca69c914f8152e27fbd860201ec58dcfa0ca11fa7ed0c0dced4,crash,381,heap-use-after-free,9c74ce5d00fb534a6644db103f1bfe0b,asan
772,6897,2169287071,symcc-0-exid0,symcc,6880,9b28f5c3fe107871912ba701c1690f2496c2b52f14754a1a8334d7361cc939db,crash,772,SEGV,dc932f8b8003795cf9d4cf9e58604b99,ubsan
325,6897,2169287071,symcc-0-exid0,symcc,6880,9b28f5c3fe107871912ba701c1690f2496c2b52f14754a1a8334d7361cc939db,crash,325,heap-use-after-free,9c74ce5d00fb534a6644db103f1bfe0b,asan
112,6898,2169287071,symcc-0-exid0,symcc,6880,22cb06caaad3186b950cd9514f8f749b307466f3353874d6e42d7e7fc431bfeb,crash,112,heap-use-after-free,bf39470c4385d389d7814248ff4d17c1,asan
229,7200,3006551694,mopt-0-exid0,mopt,7819,a8ce0d2984daf3c086a1f37729b9328f8c3b919579ce4d1a938de7abd312855e,crash,229,heap-use-after-free,bf39470c4385d389d7814248ff4d17c1,asan
520,7975,3006551694,mopt-0-exid0,mopt,13024,48997710a3031950e3a29110460512159c6f338d1f6dd1b0c8520ed10264f116,crash,520,SEGV,242466f34bd61f7c5b79a168dbd25c63,tsan
94,7975,3006551694,mopt-0-exid0,mopt,13024,48997710a3031950e3a29110460512159c6f338d1f6dd1b0c8520ed10264f116,crash,94,heap-buffer-overflow,99fad7a3b490f7d3d7fc13b4db848e11,asan
612,7977,3006551694,mopt-0-exid0,mopt,13048,92cc0d78811b4f62a23f6a98450cbef943dff40ff6a74ce15ea2f7d67fdea948,crash,612,SEGV,2240f99b7364454196a6e7fac2028d2b,tsan
785,8144,3006551694,mopt-0-exid0,mopt,15125,33ddebd9ed59d4508e8e9c19f4a50d124be1cc4bb02c3e1b6e8f0bcb32e6751a,crash,785,SEGV,dc932f8b8003795cf9d4cf9e58604b99,ubsan
512,8565,1306530000,fairfuzz-0-exid0,fairfuzz,19460,428749466409952ba2418786c493fc4534b17e2c7b73882dd01f5198ab0bc4e3,crash,512,SEGV,242466f34bd61f7c5b79a168dbd25c63,tsan
78,8565,1306530000,fairfuzz-0-exid0,fairfuzz,19460,428749466409952ba2418786c493fc4534b17e2c7b73882dd01f5198ab0bc4e3,crash,78,heap-buffer-overflow,99fad7a3b490f7d3d7fc13b4db848e11,asan
541,8711,2169287071,symcc-0-exid0,symcc,21520,b95ccdaea5edd30b4feec339605aeaae39e3edeeaa4dfeede679c2c7c8561e19,crash,541,SEGV,242466f34bd61f7c5b79a168dbd25c63,tsan
146,8711,2169287071,symcc-0-exid0,symcc,21520,b95ccdaea5edd30b4feec339605aeaae39e3edeeaa4dfeede679c2c7c8561e19,crash,146,heap-buffer-overflow,99fad7a3b490f7d3d7fc13b4db848e11,asan
634,9473,2169287071,symcc-0-exid0,symcc,31718,e6b69d1016afe9989e4d47ee5cc4dc013358f45e55aad4b785a7b97dba82dd19,crash,634,SEGV,ef18311e55235156d43317cf16f5eb92,tsan
578,9490,3006551694,mopt-0-exid0,mopt,31771,5d5a85be2b4076d1aa0538dc27abba97bab7e9a575e66ce245c45c4c9ed4c576,crash,578,SEGV,ef18311e55235156d43317cf16f5eb92,tsan
658,10524,1306530000,fairfuzz-0-exid0,fairfuzz,50716,62c046833b705ae2e026b0e0f3019c27009668b827b2918ce98acac929f9fd56,crash,658,SEGV,ef18311e55235156d43317cf16f5eb92,tsan
284,11337,1306530000,fairfuzz-0-exid0,fairfuzz,83606,d59e9e474ec1938aa71c80cc95788aace68b2cc6d7a270f1b3423afbc3f7d2cb,crash,284,heap-use-after-free,bf39470c4385d389d7814248ff4d17c1,asan
