,discovery_id,discovery_fuzzer,discovery_fuzzer_name,fuzzer_type_description,discovery_time,testcase_hash,testcase_type_description,crash_id,crash_type,crash_frames_hash,sanitizer
568,2698,1690430807,afl-0-exid24,afl,400,44baff4f49aec457cf156fae7b85a967088c3686aca2de4fbdf084f6f3bcbbe5,crash,568,SEGV,dc932f8b8003795cf9d4cf9e58604b99,ubsan
6,2698,1690430807,afl-0-exid24,afl,400,44baff4f49aec457cf156fae7b85a967088c3686aca2de4fbdf084f6f3bcbbe5,crash,6,heap-use-after-free,9c74ce5d00fb534a6644db103f1bfe0b,asan
591,4345,528991057,fairfuzz-0-exid24,fairfuzz,1896,a3516790dfff732fcf0594ee5d5d150b8a42692e7652f53aa4994adaa32b4f94,crash,591,SEGV,dc932f8b8003795cf9d4cf9e58604b99,ubsan
325,4345,528991057,fairfuzz-0-exid24,fairfuzz,1896,a3516790dfff732fcf0594ee5d5d150b8a42692e7652f53aa4994adaa32b4f94,crash,325,heap-use-after-free,9c74ce5d00fb534a6644db103f1bfe0b,asan
509,4426,1690430807,afl-0-exid24,afl,2031,bc984ac0131330931be5a27a96af1b38bc2831dc9fc86801119e8ddc1eb94eec,crash,509,SEGV,242466f34bd61f7c5b79a168dbd25c63,tsan
251,4426,1690430807,afl-0-exid24,afl,2031,bc984ac0131330931be5a27a96af1b38bc2831dc9fc86801119e8ddc1eb94eec,crash,251,heap-buffer-overflow,99fad7a3b490f7d3d7fc13b4db848e11,asan
531,4842,1690430807,afl-0-exid24,afl,2851,0d2badb9092a84c1b217ebeb26d6d15ab5b9a03a7c8a4050187a4bb2b6b2cceb,crash,531,SEGV,ef18311e55235156d43317cf16f5eb92,tsan
489,5378,528991057,fairfuzz-0-exid24,fairfuzz,7511,3811333be167217d73606d6d6ab6497b7e94ac4f929864b5a4be91cbb8b22fd5,crash,489,SEGV,ef18311e55235156d43317cf16f5eb92,tsan
220,5378,528991057,fairfuzz-0-exid24,fairfuzz,7511,3811333be167217d73606d6d6ab6497b7e94ac4f929864b5a4be91cbb8b22fd5,crash,220,heap-buffer-overflow,99fad7a3b490f7d3d7fc13b4db848e11,asan
337,5379,528991057,fairfuzz-0-exid24,fairfuzz,7512,ae9be52242539b7dc14896f43ba859b701b0bd48c82b48f15a6e504ab19c165e,crash,337,SEGV,242466f34bd61f7c5b79a168dbd25c63,tsan
510,5503,2665986881,aflplusplus-0-exid24,aflplusplus,8125,bcb44538fa9460e475b6a9afe1aa6a584d2679d03237fc8b2ba2f58e1895f120,crash,510,SEGV,242466f34bd61f7c5b79a168dbd25c63,tsan
252,5503,2665986881,aflplusplus-0-exid24,aflplusplus,8125,bcb44538fa9460e475b6a9afe1aa6a584d2679d03237fc8b2ba2f58e1895f120,crash,252,heap-buffer-overflow,99fad7a3b490f7d3d7fc13b4db848e11,asan
433,5509,2665986881,aflplusplus-0-exid24,aflplusplus,8126,31de9623312affa8d5d5d1060be6c5d78458320777ecba43790cade2bd5ee578,crash,433,SEGV,ef18311e55235156d43317cf16f5eb92,tsan
536,5717,1690430807,afl-0-exid24,afl,10074,2ba5e2c1a5765fe9b6af2eb09fbe65a32a9ddbaa88495c34aa82a6eaff0edd54,crash,536,SEGV,2240f99b7364454196a6e7fac2028d2b,tsan
571,6066,2665986881,aflplusplus-0-exid24,aflplusplus,12383,de5834d113a929cd097d332a70f1041c6e279434c82ede1da9dfd6890bb623b3,crash,571,SEGV,dc932f8b8003795cf9d4cf9e58604b99,ubsan
60,6066,2665986881,aflplusplus-0-exid24,aflplusplus,12383,de5834d113a929cd097d332a70f1041c6e279434c82ede1da9dfd6890bb623b3,crash,60,heap-use-after-free,9c74ce5d00fb534a6644db103f1bfe0b,asan
581,6219,1690430807,afl-0-exid24,afl,14206,3ac692bcdf8d120d70bd56a6b0ebc780fd03bbfb88ec7ad607806bd02c3d9214,crash,581,SEGV,b6805236842427b48c7aaccd83dca7b7,ubsan
567,7712,371700510,aflfast-0-exid24,aflfast,54315,c77ae96605cb49434f2f95c200db159e3d5b2f5bb4d9d59988965eb16937de43,crash,567,SEGV,dc932f8b8003795cf9d4cf9e58604b99,ubsan
5,7712,371700510,aflfast-0-exid24,aflfast,54315,c77ae96605cb49434f2f95c200db159e3d5b2f5bb4d9d59988965eb16937de43,crash,5,heap-use-after-free,9c74ce5d00fb534a6644db103f1bfe0b,asan
292,7872,1690430807,afl-0-exid24,afl,68541,ae05cbad8d452aa2c2c8adf8400624a5741acd377035d3bb5852c61bfd5c6785,crash,292,heap-use-after-free,bf39470c4385d389d7814248ff4d17c1,asan
