,discovery_id,discovery_fuzzer,discovery_fuzzer_name,fuzzer_type_description,discovery_time,testcase_hash,testcase_type_description,crash_id,crash_type,crash_frames_hash,sanitizer
565,3081,1902651773,symcc-0-exid4,symcc,851,f1ef8079a3ef08c3a0fef5d8577c1ef4dceafda34bc57040a79f6f61123d161f,crash,565,SEGV,85d525a5ed697ac02f7bf45f82035839,asan
2331,3081,1902651773,symcc-0-exid4,symcc,851,f1ef8079a3ef08c3a0fef5d8577c1ef4dceafda34bc57040a79f6f61123d161f,crash,2331,SEGV,b684b91573dd0c7ddc4935ec8f3ba6a3,msan
337,3314,50185513,fairfuzz-0-exid4,fairfuzz,867,c465e8f7ef3b57ac27b8c7f3b99716105aa1efd262192e3ef5b6f42d593da305,crash,337,SEGV,85d525a5ed697ac02f7bf45f82035839,asan
2129,3314,50185513,fairfuzz-0-exid4,fairfuzz,867,c465e8f7ef3b57ac27b8c7f3b99716105aa1efd262192e3ef5b6f42d593da305,crash,2129,SEGV,b684b91573dd0c7ddc4935ec8f3ba6a3,msan
2016,3474,1902651773,symcc-0-exid4,symcc,912,7ac748462fbd10cf2779c9f8ae30c24ddda8c9a587b8ff74f885cd155d8c00da,crash,2016,SEGV,0646f8dc98605131cbd13c096e45cad3,msan
212,3474,1902651773,symcc-0-exid4,symcc,912,7ac748462fbd10cf2779c9f8ae30c24ddda8c9a587b8ff74f885cd155d8c00da,crash,212,SEGV,e962321310000bd8f0df569f7feedb44,asan
1501,3555,416775545,mopt-0-exid4,mopt,971,d75d37975eec52c97dc585d0463222a7c3ce03e597021ac96cf52c2f7d5d4721,crash,1501,heap-buffer-overflow,8c74227eed4bf13418aa08e7cfce2860,asan
1795,4323,50185513,fairfuzz-0-exid4,fairfuzz,1292,6e8797a306743d9df58c1d9532b9230677bcae1ea7bf7471177558def097bf60,crash,1795,SEGV,3b34085a6c59f7df3b1f34b996a4eacc,asan
5144,4323,50185513,fairfuzz-0-exid4,fairfuzz,1292,6e8797a306743d9df58c1d9532b9230677bcae1ea7bf7471177558def097bf60,crash,5144,SEGV,96f96aaa3e6be22754adfddb27164944,tsan
5068,4359,50185513,fairfuzz-0-exid4,fairfuzz,1302,d4f3c8c981f9596ee2235c488b81a05980e0d09fb0d3cd391d6bce98044d4f14,crash,5068,SEGV,20342dca7c121d150537a553601f2cff,tsan
1716,4359,50185513,fairfuzz-0-exid4,fairfuzz,1302,d4f3c8c981f9596ee2235c488b81a05980e0d09fb0d3cd391d6bce98044d4f14,crash,1716,SEGV,7eb8a033fb93be1a166b929b057f47e8,asan
108,4477,50185513,fairfuzz-0-exid4,fairfuzz,1330,9c2f54a02939989787f2d2b3b641c184044898364d130079938472295d9c35a3,crash,108,SEGV,76963e8d3021a3a3740288656624dc7e,asan
3524,4477,50185513,fairfuzz-0-exid4,fairfuzz,1330,9c2f54a02939989787f2d2b3b641c184044898364d130079938472295d9c35a3,crash,3524,SEGV,e0c7e593bb81a6ff05eb77f65af7cc7c,tsan
918,5286,50185513,fairfuzz-0-exid4,fairfuzz,1620,682b1b6be6ad8d3362970f12f502a81b093f67f01684763ad076c4380a7aa69e,crash,918,SEGV,036970cadbf3539a826ad22b62f77d20,asan
2641,5286,50185513,fairfuzz-0-exid4,fairfuzz,1620,682b1b6be6ad8d3362970f12f502a81b093f67f01684763ad076c4380a7aa69e,crash,2641,SEGV,0ab214692ecb89468e279d02fe53320c,msan
2275,5386,50185513,fairfuzz-0-exid4,fairfuzz,1640,809d7c70814d7aac392fbcf13a400108c4acf8188e6e790262b5652ae0d8895a,crash,2275,SEGV,6128f51c6c406ea6fb7c22ab72995672,msan
502,5386,50185513,fairfuzz-0-exid4,fairfuzz,1640,809d7c70814d7aac392fbcf13a400108c4acf8188e6e790262b5652ae0d8895a,crash,502,SEGV,cba4c4a26a9acbe4942b5a0f31f84451,asan
1529,5576,1902651773,symcc-0-exid4,symcc,1682,c57dfd5668eabb1780ce6fa26d0ca8b21a585861da6ede79496f58954f7abc3a,crash,1529,SEGV,3b34085a6c59f7df3b1f34b996a4eacc,asan
4885,5576,1902651773,symcc-0-exid4,symcc,1682,c57dfd5668eabb1780ce6fa26d0ca8b21a585861da6ede79496f58954f7abc3a,crash,4885,SEGV,96f96aaa3e6be22754adfddb27164944,tsan
82,5884,416775545,mopt-0-exid4,mopt,1744,b4c37119fda8cb48ff1fbeaeffa90e0472cdd95dc6d34054c8d792b8b2e49d1c,crash,82,SEGV,3b34085a6c59f7df3b1f34b996a4eacc,asan
3500,5884,416775545,mopt-0-exid4,mopt,1744,b4c37119fda8cb48ff1fbeaeffa90e0472cdd95dc6d34054c8d792b8b2e49d1c,crash,3500,SEGV,96f96aaa3e6be22754adfddb27164944,tsan
3605,5945,416775545,mopt-0-exid4,mopt,1772,65a92074b65b360c7c8c20769d21bc8e52e01ea8937059225391ed8aeac58947,crash,3605,SEGV,82a52b099b0cb44ccb2ec4868c8c055f,tsan
191,5945,416775545,mopt-0-exid4,mopt,1772,65a92074b65b360c7c8c20769d21bc8e52e01ea8937059225391ed8aeac58947,crash,191,SEGV,8e3b5edd63978d4a20e0ae0d181fcd60,asan
649,5970,50185513,fairfuzz-0-exid4,fairfuzz,1785,b4b910cda178b48c802f32c311cbc4f4cf50ea432dbf570b7549a8c0536ed4ad,crash,649,SEGV,1bca190b178d219540d6ff4c8867dea3,asan
4049,5970,50185513,fairfuzz-0-exid4,fairfuzz,1785,b4b910cda178b48c802f32c311cbc4f4cf50ea432dbf570b7549a8c0536ed4ad,crash,4049,SEGV,56085302a552582b954479eef827d499,tsan
1073,7020,416775545,mopt-0-exid4,mopt,2171,6e7a68a91d814174e48ea1e4ad2e38dd8a3f33481957931459af4a5d6c8d15bb,crash,1073,SEGV,85d525a5ed697ac02f7bf45f82035839,asan
2769,7020,416775545,mopt-0-exid4,mopt,2171,6e7a68a91d814174e48ea1e4ad2e38dd8a3f33481957931459af4a5d6c8d15bb,crash,2769,SEGV,b684b91573dd0c7ddc4935ec8f3ba6a3,msan
514,7048,50185513,fairfuzz-0-exid4,fairfuzz,2184,fbb5f28ad1293d51cc0616d90855e4ff416d21010d470a36a34d81f23b57a018,crash,514,SEGV,01b500657eb3eed1b45b5347a3832f6e,asan
3918,7048,50185513,fairfuzz-0-exid4,fairfuzz,2184,fbb5f28ad1293d51cc0616d90855e4ff416d21010d470a36a34d81f23b57a018,crash,3918,SEGV,db49e5091659cea81ceb888e9e82108b,tsan
3067,7237,1902651773,symcc-0-exid4,symcc,2243,6414026ccb6c460a718a802ace69008ca013ab53e19dd3b034d1dc7ab9795f0c,crash,3067,SEGV,6128f51c6c406ea6fb7c22ab72995672,msan
1413,7237,1902651773,symcc-0-exid4,symcc,2243,6414026ccb6c460a718a802ace69008ca013ab53e19dd3b034d1dc7ab9795f0c,crash,1413,SEGV,cba4c4a26a9acbe4942b5a0f31f84451,asan
1518,7905,50185513,fairfuzz-0-exid4,fairfuzz,2501,2dd8b3e9816131bc55af1e81e0253970e376d1856ae913cfffd6d3a702de6c3f,crash,1518,SEGV,5ae32016c91ba99ef4545e0f2a6c42dd,asan
3157,7905,50185513,fairfuzz-0-exid4,fairfuzz,2501,2dd8b3e9816131bc55af1e81e0253970e376d1856ae913cfffd6d3a702de6c3f,crash,3157,SEGV,e47d8c0bac54f00eadd6e1e2e3662c65,msan
3984,8242,50185513,fairfuzz-0-exid4,fairfuzz,2600,d07291b38fb3f693572e6dea6a0f68d1b5565dabebf5af79c0e37b54b057c619,crash,3984,SEGV,5e71c79a7e29ed5bce5845b2c200f145,tsan
582,8242,50185513,fairfuzz-0-exid4,fairfuzz,2600,d07291b38fb3f693572e6dea6a0f68d1b5565dabebf5af79c0e37b54b057c619,crash,582,SEGV,aa66a1d931098f2ec0e165875663ec19,asan
