,discovery_id,discovery_fuzzer,discovery_fuzzer_name,fuzzer_type_description,discovery_time,testcase_hash,testcase_type_description,crash_id,crash_type,crash_frames_hash,sanitizer
286,670,100210144,fairfuzz-0-exid20,fairfuzz,158,d4814493bb3479831367d430e827e9793294149d7da197f5967d25dd3e38616a,crash,286,SEGV,76963e8d3021a3a3740288656624dc7e,asan
1626,670,100210144,fairfuzz-0-exid20,fairfuzz,158,d4814493bb3479831367d430e827e9793294149d7da197f5967d25dd3e38616a,crash,1626,SEGV,e0c7e593bb81a6ff05eb77f65af7cc7c,msan
250,975,1210753891,afl-0-exid20,afl,242,db768a8e040de946afc93cb75d5edd0f324bdb469474b72ce6ac11e3e20fdbed,crash,250,SEGV,ac97f97bc7c486825473741fc4d88548,asan
2734,975,1210753891,afl-0-exid20,afl,242,db768a8e040de946afc93cb75d5edd0f324bdb469474b72ce6ac11e3e20fdbed,crash,2734,SEGV,cd65f36d3a2669d55a4f7c4695ddb7cf,tsan
1596,975,1210753891,afl-0-exid20,afl,242,db768a8e040de946afc93cb75d5edd0f324bdb469474b72ce6ac11e3e20fdbed,crash,1596,SEGV,f0f342bb14e9e6e68dd08d6238202490,msan
3340,2065,1830181032,aflfast-0-exid20,aflfast,406,51c2585e7a62061617002c4912ce4bf8d13eb2a514f5e3d4732ed89ed3647383,crash,3340,SEGV,0f44695389213eaaa9d22f82e4a1bbdc,tsan
871,2065,1830181032,aflfast-0-exid20,aflfast,406,51c2585e7a62061617002c4912ce4bf8d13eb2a514f5e3d4732ed89ed3647383,crash,871,SEGV,189d3af2d351e4a957a2cdee6427f4fd,asan
3159,2864,1830181032,aflfast-0-exid20,aflfast,688,8c2eb848ebcbee593ed4bcd4e4583f9dc29a0f3ee3e2adcc0ebc9d62a563e0d4,crash,3159,SEGV,20342dca7c121d150537a553601f2cff,tsan
687,2864,1830181032,aflfast-0-exid20,aflfast,688,8c2eb848ebcbee593ed4bcd4e4583f9dc29a0f3ee3e2adcc0ebc9d62a563e0d4,crash,687,SEGV,7eb8a033fb93be1a166b929b057f47e8,asan
2582,2905,100210144,fairfuzz-0-exid20,fairfuzz,708,c9395ccc9b041ccb2d5b574da2701ed83ae77c892a4451f9809417d5f0b9af14,crash,2582,SEGV,0f44695389213eaaa9d22f82e4a1bbdc,tsan
91,2905,100210144,fairfuzz-0-exid20,fairfuzz,708,c9395ccc9b041ccb2d5b574da2701ed83ae77c892a4451f9809417d5f0b9af14,crash,91,SEGV,189d3af2d351e4a957a2cdee6427f4fd,asan
1144,2909,100210144,fairfuzz-0-exid20,fairfuzz,709,c5fd7564862348eb5af4f3e6ab36e84cda84524ff0b4ab1c0bd757f0a5cc0810,crash,1144,SEGV,3b34085a6c59f7df3b1f34b996a4eacc,asan
