,Unnamed: 0,discovery_id,discovery_fuzzer,discovery_fuzzer_name,fuzzer_type_description,discovery_time,testcase_hash,testcase_type_description,crash_id,crash_type,crash_frames_hash,sanitizer,fuzzer_combination,benchmark
0,883,5346,4281915644,symcc-0-exid0,symcc,2002,9d8e83635e429cb0ca9edac85d61940ef53f1b4bdf2c060f7e386d1cc7de5a1d,crash,883,SEGV,242466f34bd61f7c5b79a168dbd25c63,tsan,fca,cflow
1,191,5346,4281915644,symcc-0-exid0,symcc,2002,9d8e83635e429cb0ca9edac85d61940ef53f1b4bdf2c060f7e386d1cc7de5a1d,crash,191,heap-buffer-overflow,99fad7a3b490f7d3d7fc13b4db848e11,asan,fca,cflow
2,1038,5570,4281915644,symcc-0-exid0,symcc,2222,629505a32d852ee7989f145c8b9385bac1a8f13b97542fbb1661754b1409a64d,crash,1038,SEGV,2240f99b7364454196a6e7fac2028d2b,tsan,fca,cflow
3,18,5644,1853576469,mopt-0-exid0,mopt,2325,c2f708a90bc46bdb4a18ff7eea52f5d509551517f18e38534d6822631b9026e5,crash,18,heap-use-after-free,9c74ce5d00fb534a6644db103f1bfe0b,asan,fca,cflow
4,1380,6544,1853576469,mopt-0-exid0,mopt,4953,0933304aab87543cc17104e8ccd19e9771645284c4a11cae21b8be1ec3e505a2,crash,1380,SEGV,b6805236842427b48c7aaccd83dca7b7,ubsan,fca,cflow
5,1383,7113,4281915644,symcc-0-exid0,symcc,7180,8074121e8690a52841fe1bf03221735870d4d3089f6b45ec3685721865030025,crash,1383,SEGV,dc932f8b8003795cf9d4cf9e58604b99,ubsan,fca,cflow
6,1116,7308,4281915644,symcc-0-exid0,symcc,8269,baef40a53e566ef4eefea0ba5f9ec1da8dff653476f06df46b5be37f9d3f4e51,crash,1116,SEGV,ef18311e55235156d43317cf16f5eb92,tsan,fca,cflow
7,422,7710,1853576469,mopt-0-exid0,mopt,10460,538c93d77e957e05a88004048aecc9962ce1c36df15235b9c40b58292fcf3e67,crash,422,heap-use-after-free,bf39470c4385d389d7814248ff4d17c1,asan,fca,cflow
8,308,10312,1853576469,mopt-0-exid0,mopt,37573,9654b2c546492a763f98423348f07d78423763c044647cb43f49c8b8f8a6db04,crash,308,heap-buffer-overflow,333b4b08bdbba43f4ade91fe58aa064e,asan,fca,cflow
9,142,5041,1321721935,mopt-0-exid1,mopt,1735,664a2a0fa4bfcdf519ffc091a8314077eec8256f64f85732413164d5f5aebb30,crash,142,heap-use-after-free,9c74ce5d00fb534a6644db103f1bfe0b,asan,fca,cflow
