,Unnamed: 0,discovery_id,discovery_fuzzer,discovery_fuzzer_name,fuzzer_type_description,discovery_time,testcase_hash,testcase_type_description,crash_id,crash_type,crash_frames_hash,sanitizer,fuzzer_combination,benchmark
0,1,6417,1010964006,symcc-0-exid1,symcc,15374,07d604babf77c1aa32754e2797e3376c3fa4d0a8ae5d6ba9da19eb68498a9be9,crash,1,FPE,75f6dffe3b4d18f4e5c4404ad77242d8,asan,fca,libpng
1,3,6417,1010964006,symcc-0-exid1,symcc,15374,07d604babf77c1aa32754e2797e3376c3fa4d0a8ae5d6ba9da19eb68498a9be9,crash,3,FPE,75f6dffe3b4d18f4e5c4404ad77242d8,msan,fca,libpng
2,5,6417,1010964006,symcc-0-exid1,symcc,15374,07d604babf77c1aa32754e2797e3376c3fa4d0a8ae5d6ba9da19eb68498a9be9,crash,5,FPE,75f6dffe3b4d18f4e5c4404ad77242d8,tsan,fca,libpng
3,1,5571,1831588555,symcc-0-exid2,symcc,7002,0b4a8484c8524797964663ca132326e57ee84f6a3e783f5312a9d5633cfc51fd,crash,1,FPE,75f6dffe3b4d18f4e5c4404ad77242d8,asan,fca,libpng
4,3,5571,1831588555,symcc-0-exid2,symcc,7002,0b4a8484c8524797964663ca132326e57ee84f6a3e783f5312a9d5633cfc51fd,crash,3,FPE,75f6dffe3b4d18f4e5c4404ad77242d8,msan,fca,libpng
5,5,5571,1831588555,symcc-0-exid2,symcc,7002,0b4a8484c8524797964663ca132326e57ee84f6a3e783f5312a9d5633cfc51fd,crash,5,FPE,75f6dffe3b4d18f4e5c4404ad77242d8,tsan,fca,libpng
6,1,4527,2170545519,symcc-0-exid4,symcc,3598,63544d31403ab19d4b8e6c53535cad6a80da811ea32c3af3d8939709f9ead7b1,crash,1,FPE,75f6dffe3b4d18f4e5c4404ad77242d8,asan,fca,libpng
7,3,4527,2170545519,symcc-0-exid4,symcc,3598,63544d31403ab19d4b8e6c53535cad6a80da811ea32c3af3d8939709f9ead7b1,crash,3,FPE,75f6dffe3b4d18f4e5c4404ad77242d8,msan,fca,libpng
8,5,4527,2170545519,symcc-0-exid4,symcc,3598,63544d31403ab19d4b8e6c53535cad6a80da811ea32c3af3d8939709f9ead7b1,crash,5,FPE,75f6dffe3b4d18f4e5c4404ad77242d8,tsan,fca,libpng
9,1,5607,369370524,aflplusplus-0-exid0,aflplusplus,7424,b22160cbf79ad45303cf56fca3a871e39b83037edae8dd1d60479c6cdb80e1f5,crash,1,SEGV,087664914f7c2d0d3309ea7f88757b6f,asan,fca,libpng
