,Unnamed: 0,discovery_id,discovery_fuzzer,discovery_fuzzer_name,fuzzer_type_description,discovery_time,testcase_hash,testcase_type_description,crash_id,crash_type,crash_frames_hash,sanitizer,fuzzer_combination,benchmark
0,1,6524,2034883467,fairfuzz-0-exid20,fairfuzz,51698,0dcf734327818fb9aa09dc7138fb3a4651d166165e814cd139283a36607d337f,crash,1,SEGV,087664914f7c2d0d3309ea7f88757b6f,asan,fcb,libpng
1,5,6524,2034883467,fairfuzz-0-exid20,fairfuzz,51698,0dcf734327818fb9aa09dc7138fb3a4651d166165e814cd139283a36607d337f,crash,5,SEGV,087664914f7c2d0d3309ea7f88757b6f,ubsan,fcb,libpng
2,3,6524,2034883467,fairfuzz-0-exid20,fairfuzz,51698,0dcf734327818fb9aa09dc7138fb3a4651d166165e814cd139283a36607d337f,crash,3,SEGV,314b2ae3f91250c4ec8955f5f6d8d722,tsan,fcb,libpng
3,1,7174,4066585053,fairfuzz-0-exid24,fairfuzz,68637,1769e62ebdc73baaf89d44b250d5ff802b4fe1be3cbea12f3680aab30b730692,crash,1,SEGV,087664914f7c2d0d3309ea7f88757b6f,asan,fcb,libpng
4,2,7174,4066585053,fairfuzz-0-exid24,fairfuzz,68637,1769e62ebdc73baaf89d44b250d5ff802b4fe1be3cbea12f3680aab30b730692,crash,2,SEGV,314b2ae3f91250c4ec8955f5f6d8d722,tsan,fcb,libpng
5,2,7230,3458096913,fairfuzz-0-exid24,fairfuzz,85747,69c97bc6d4635b6f0d45c8dc0df40f40a49fab6d6ee875683c8bc2f6b77b6023,crash,2,SEGV,087664914f7c2d0d3309ea7f88757b6f,asan,fcb,libpng
6,6,7230,3458096913,fairfuzz-0-exid24,fairfuzz,85747,69c97bc6d4635b6f0d45c8dc0df40f40a49fab6d6ee875683c8bc2f6b77b6023,crash,6,SEGV,087664914f7c2d0d3309ea7f88757b6f,ubsan,fcb,libpng
7,4,7230,3458096913,fairfuzz-0-exid24,fairfuzz,85747,69c97bc6d4635b6f0d45c8dc0df40f40a49fab6d6ee875683c8bc2f6b77b6023,crash,4,SEGV,314b2ae3f91250c4ec8955f5f6d8d722,tsan,fcb,libpng
8,1,939,1144809302,afl-0-exid20,afl,80,4abaa7e2cb101593c2f31c4bfe5686c4ebcb1b19eb7b5faa598597f4dc719d47,crash,1,SEGV,087664914f7c2d0d3309ea7f88757b6f,asan,fcb,libpng
9,3,939,1144809302,afl-0-exid20,afl,80,4abaa7e2cb101593c2f31c4bfe5686c4ebcb1b19eb7b5faa598597f4dc719d47,crash,3,SEGV,087664914f7c2d0d3309ea7f88757b6f,ubsan,fcb,libpng
10,2,939,1144809302,afl-0-exid20,afl,80,4abaa7e2cb101593c2f31c4bfe5686c4ebcb1b19eb7b5faa598597f4dc719d47,crash,2,SEGV,314b2ae3f91250c4ec8955f5f6d8d722,tsan,fcb,libpng
11,2,6649,563476982,afl-0-exid23,afl,46439,ddf41665c7136993c770291feb70f2d4286aec58dca3e1264d55738fbd162b17,crash,2,SEGV,087664914f7c2d0d3309ea7f88757b6f,asan,fcb,libpng
12,6,6649,563476982,afl-0-exid23,afl,46439,ddf41665c7136993c770291feb70f2d4286aec58dca3e1264d55738fbd162b17,crash,6,SEGV,087664914f7c2d0d3309ea7f88757b6f,ubsan,fcb,libpng
13,4,6649,563476982,afl-0-exid23,afl,46439,ddf41665c7136993c770291feb70f2d4286aec58dca3e1264d55738fbd162b17,crash,4,SEGV,314b2ae3f91250c4ec8955f5f6d8d722,tsan,fcb,libpng
14,1,6076,87135322,afl-0-exid20,afl,22667,77c34129ba23e030758b12863bc4c8a12dbdfa3bcde4e5b0359fcb632b01e549,crash,1,SEGV,087664914f7c2d0d3309ea7f88757b6f,asan,fcb,libpng
15,7,6076,87135322,afl-0-exid20,afl,22667,77c34129ba23e030758b12863bc4c8a12dbdfa3bcde4e5b0359fcb632b01e549,crash,7,SEGV,087664914f7c2d0d3309ea7f88757b6f,ubsan,fcb,libpng
16,4,6076,87135322,afl-0-exid20,afl,22667,77c34129ba23e030758b12863bc4c8a12dbdfa3bcde4e5b0359fcb632b01e549,crash,4,SEGV,314b2ae3f91250c4ec8955f5f6d8d722,tsan,fcb,libpng
17,1,7696,2382364253,fairfuzz-0-exid21,fairfuzz,84250,e913b83e9b6450e5a8b8cd388c22b0f1d40ea29a752b65daa390040b00043779,crash,1,SEGV,087664914f7c2d0d3309ea7f88757b6f,asan,fcb,libpng
18,3,7696,2382364253,fairfuzz-0-exid21,fairfuzz,84250,e913b83e9b6450e5a8b8cd388c22b0f1d40ea29a752b65daa390040b00043779,crash,3,SEGV,087664914f7c2d0d3309ea7f88757b6f,ubsan,fcb,libpng
19,2,7696,2382364253,fairfuzz-0-exid21,fairfuzz,84250,e913b83e9b6450e5a8b8cd388c22b0f1d40ea29a752b65daa390040b00043779,crash,2,SEGV,314b2ae3f91250c4ec8955f5f6d8d722,tsan,fcb,libpng
20,1,3906,187961069,aflfast-0-exid24,aflfast,4382,02e4691cf8ba05b9b3acd605ef83a1397a4f52f75833807140906fbeea515450,crash,1,SEGV,087664914f7c2d0d3309ea7f88757b6f,asan,fcb,libpng
21,3,3906,187961069,aflfast-0-exid24,aflfast,4382,02e4691cf8ba05b9b3acd605ef83a1397a4f52f75833807140906fbeea515450,crash,3,SEGV,087664914f7c2d0d3309ea7f88757b6f,ubsan,fcb,libpng
22,2,3906,187961069,aflfast-0-exid24,aflfast,4382,02e4691cf8ba05b9b3acd605ef83a1397a4f52f75833807140906fbeea515450,crash,2,SEGV,314b2ae3f91250c4ec8955f5f6d8d722,tsan,fcb,libpng
