,crash_id,crash_frames_hash,sanitizer,fuzzer_combination,benchmark
0,2,11243d051f2fbe9830a0ea83508df953,asan,fca,libxml2
1,2,1f76a2ae4ea2872ae563e79ea116d9aa,asan,fca,libxml2
2,4,3670484304cb7e1667c1cb94b2fe73f0,asan,fca,libxml2
3,7,4864b2f9af26f821280425527998384a,asan,fca,libxml2
4,2,aee23fea4121dd93d335beb648512696,asan,fca,libxml2
5,1,bab24d426dbd9e12a31704e0390fdd5c,asan,fca,libxml2
6,3,d21fa96e57f47e3e0c7025ad97ff3834,asan,fca,libxml2
7,2,5ba92c33fe113c78cb3683b0dfdee679,asan,fcb,libxml2
8,3,7bd81fefaf2842c9a26ffd7bbee41440,asan,fcb,libxml2
9,14,80fa485c025001ca323f25c7c5a1ef4d,asan,fcb,libxml2
