,crash_id,crash_frames_hash,sanitizer,fuzzer_combination,benchmark
0,34,374e048c6e3766ecc8c6379ee8a24480,asan,fca,lua
1,67,3b53cd9bd58d46c5884831e9de479c48,asan,fca,lua
2,94,5753a5974858eb4e519e9a7b8ad5d7f5,asan,fca,lua
3,1,7dd47396c7428ef54901dfb92a40f21f,asan,fca,lua
4,26,8ee3ef2e3903cb0419f21d7fca0ce5f0,asan,fca,lua
5,18,92aeacf93e08217a45d3976a945920a2,asan,fca,lua
6,5,96cd8901e455d1a19000f69f2549dd50,asan,fca,lua
7,51,c286f4ef28c75d8ff7147c42affd4a73,asan,fca,lua
8,74,e1c20d504bd2f23ad90478ace07ef2d9,asan,fca,lua
9,103,4d6691919f8ba7cab2a6acc47a08f99f,msan,fca,lua
10,102,89b37f8d743fe97579c6f6e939d9f2f0,msan,fca,lua
11,117,4d6691919f8ba7cab2a6acc47a08f99f,tsan,fca,lua
12,116,89b37f8d743fe97579c6f6e939d9f2f0,tsan,fca,lua
13,128,2a0a9d7aad2b24d6d1ae34abac41c7b4,ubsan,fca,lua
14,125,2d5d5a1927f6bcb8ae6299c5c018cda0,ubsan,fca,lua
15,124,73c275fe9fd32af0da7f9f04820f181e,ubsan,fca,lua
16,126,f94bf39e476988554edf01ee7d30201a,ubsan,fca,lua
17,2,27b1f62cae8e95d2c7adad2da3be9a9f,asan,fcb,lua
18,5,29240592ff7f5b635140c9b975245d84,asan,fcb,lua
19,9,5548e2f6523c170094389ec479703fb5,asan,fcb,lua
20,8,5753a5974858eb4e519e9a7b8ad5d7f5,asan,fcb,lua
21,1,5e542326cbfbab81c654ad4ae382c601,asan,fcb,lua
22,1,7dd47396c7428ef54901dfb92a40f21f,asan,fcb,lua
23,2,930734fc07970f3fba9c9d663b0f7969,asan,fcb,lua
24,1,a6340aaeb50a0ddb4c6dc0acc75e6918,asan,fcb,lua
25,1,c286f4ef28c75d8ff7147c42affd4a73,asan,fcb,lua
26,1,de3c17b5588478084595932fecff940d,asan,fcb,lua
27,7,e1c20d504bd2f23ad90478ace07ef2d9,asan,fcb,lua
28,12,4d6691919f8ba7cab2a6acc47a08f99f,msan,fcb,lua
29,2,5e542326cbfbab81c654ad4ae382c601,msan,fcb,lua
30,10,89b37f8d743fe97579c6f6e939d9f2f0,msan,fcb,lua
31,2,a4ec900ded63390cd946e1d386fc7cf1,msan,fcb,lua
32,13,a6340aaeb50a0ddb4c6dc0acc75e6918,msan,fcb,lua
33,15,bf02ab0860118ad9ed702744f300a45c,msan,fcb,lua
34,15,4d6691919f8ba7cab2a6acc47a08f99f,tsan,fcb,lua
35,3,5e542326cbfbab81c654ad4ae382c601,tsan,fcb,lua
36,13,89b37f8d743fe97579c6f6e939d9f2f0,tsan,fcb,lua
37,16,c66f6b9b2e449ed0a1adb1f484b79ef4,ubsan,fcb,lua
38,4,cfe64e8c12ead6d6a7e77d80dd4488a9,ubsan,fcb,lua
