,discovery_id,discovery_fuzzer,discovery_fuzzer_name,fuzzer_type_description,discovery_time,testcase_hash,testcase_type_description,crash_id,crash_type,crash_frames_hash,sanitizer,fuzzer_combination,benchmark
102,14993,3182046188,mopt-0-exid3,mopt,73136,392405815468cf9c82f7ae2115a1a50bdbf883c29e878a6083ec631192bfc950,crash,102,SEGV,89b37f8d743fe97579c6f6e939d9f2f0,msan,fca,lua
116,14993,3182046188,mopt-0-exid3,mopt,73136,392405815468cf9c82f7ae2115a1a50bdbf883c29e878a6083ec631192bfc950,crash,116,SEGV,89b37f8d743fe97579c6f6e939d9f2f0,tsan,fca,lua
67,14993,3182046188,mopt-0-exid3,mopt,73136,392405815468cf9c82f7ae2115a1a50bdbf883c29e878a6083ec631192bfc950,crash,67,heap-use-after-free,3b53cd9bd58d46c5884831e9de479c48,asan,fca,lua
103,15202,3182046188,mopt-0-exid3,mopt,74465,3483ee533bb034cb004a9446260482ec61bc66955abb7febd70b5c15a975c013,crash,103,SEGV,4d6691919f8ba7cab2a6acc47a08f99f,msan,fca,lua
117,15202,3182046188,mopt-0-exid3,mopt,74465,3483ee533bb034cb004a9446260482ec61bc66955abb7febd70b5c15a975c013,crash,117,SEGV,4d6691919f8ba7cab2a6acc47a08f99f,tsan,fca,lua
128,15254,3182046188,mopt-0-exid3,mopt,74655,315503b602b40116ac0eca91f68e340d72e72ce9574a80f8c837080cabdb0c11,crash,128,SEGV,2a0a9d7aad2b24d6d1ae34abac41c7b4,ubsan,fca,lua
124,15424,3182046188,mopt-0-exid3,mopt,76451,068b2579339b6749073d096c3496888a5a02e545277d5c98c5f4ca7a4c129d42,crash,124,SEGV,73c275fe9fd32af0da7f9f04820f181e,ubsan,fca,lua
26,15424,3182046188,mopt-0-exid3,mopt,76451,068b2579339b6749073d096c3496888a5a02e545277d5c98c5f4ca7a4c129d42,crash,26,heap-use-after-free,8ee3ef2e3903cb0419f21d7fca0ce5f0,asan,fca,lua
51,15454,3182046188,mopt-0-exid3,mopt,76602,173da0020e0400ba9fec30402fbfc879c30304f278bf6e489d7fc09c8287b831,crash,51,SEGV,c286f4ef28c75d8ff7147c42affd4a73,asan,fca,lua
34,15472,3182046188,mopt-0-exid3,mopt,76798,dac9eddfe9f9dbe465d418ae824cb66023466b72186e55d5f845b89d7eba9703,crash,34,heap-use-after-free,374e048c6e3766ecc8c6379ee8a24480,asan,fca,lua
126,15688,3545118823,fairfuzz-0-exid3,fairfuzz,78960,c000aa63fabda5cff7d1784e32e3c9c5e4a7849ccd15dffa8f259f171596df5f,crash,126,SEGV,f94bf39e476988554edf01ee7d30201a,ubsan,fca,lua
125,16010,1277634444,symcc-0-exid3,symcc,82824,97b854b972b70a1fd7665982fb711ec3766cbaf240e6ad2f4cac455c79983cef,crash,125,SEGV,2d5d5a1927f6bcb8ae6299c5c018cda0,ubsan,fca,lua
5,16121,3182046188,mopt-0-exid3,mopt,84455,0be5f54cecf88f0accc9c582aa213ead13e2c7f5eaf5a1df42e95891ec18d77e,crash,5,heap-use-after-free,96cd8901e455d1a19000f69f2549dd50,asan,fca,lua
18,16143,3182046188,mopt-0-exid3,mopt,84696,bffd096209afb6c92916c4297c7ed9fe6ae9e1da1d8bfe5df258fdc758f60db6,crash,18,heap-use-after-free,92aeacf93e08217a45d3976a945920a2,asan,fca,lua
74,16156,1277634444,symcc-0-exid3,symcc,84877,01c356be62ddae1b8e28d648768e7a8deebce691995063adcabb8035aa68a3b1,crash,74,SEGV,e1c20d504bd2f23ad90478ace07ef2d9,asan,fca,lua
94,16261,3545118823,fairfuzz-0-exid3,fairfuzz,85834,63ae7ba2b7a760877b9f3dae2ab84799421a55891a30c66522991d80658097e3,crash,94,heap-use-after-free,5753a5974858eb4e519e9a7b8ad5d7f5,asan,fca,lua
