,Unnamed: 0,discovery_id,discovery_fuzzer,discovery_fuzzer_name,fuzzer_type_description,discovery_time,testcase_hash,testcase_type_description,crash_id,crash_type,crash_frames_hash,sanitizer,fuzzer_combination,benchmark
0,12,10580,2754750187,afl-0-exid20,afl,36620,f2eb84625220a9681d74e6cc10009390c0dfe67a8ffe3145208299cb4a08dbeb,crash,12,SEGV,4d6691919f8ba7cab2a6acc47a08f99f,msan,fcb,lua
1,15,10580,2754750187,afl-0-exid20,afl,36620,f2eb84625220a9681d74e6cc10009390c0dfe67a8ffe3145208299cb4a08dbeb,crash,15,SEGV,4d6691919f8ba7cab2a6acc47a08f99f,tsan,fcb,lua
2,7,10580,2754750187,afl-0-exid20,afl,36620,f2eb84625220a9681d74e6cc10009390c0dfe67a8ffe3145208299cb4a08dbeb,crash,7,SEGV,e1c20d504bd2f23ad90478ace07ef2d9,asan,fcb,lua
3,8,10861,742496208,fairfuzz-0-exid20,fairfuzz,39182,5b881371ffdc008c35fab0b3ce00a976c161c5e035e8bc24fe2be2ded8fbb8a5,crash,8,heap-use-after-free,5753a5974858eb4e519e9a7b8ad5d7f5,asan,fcb,lua
4,16,11344,742496208,fairfuzz-0-exid20,fairfuzz,43159,009756f55ba8a8e44545482d59e7361442293ea7d0e3fcf7cab541e3b40e8489,crash,16,SEGV,c66f6b9b2e449ed0a1adb1f484b79ef4,ubsan,fcb,lua
5,10,12942,2754750187,afl-0-exid20,afl,85154,fe7581c6f1e740a58aca699ae2b8ce69c0e2114ea7ca834b94ff206bdd97c40f,crash,10,SEGV,89b37f8d743fe97579c6f6e939d9f2f0,msan,fcb,lua
6,13,12942,2754750187,afl-0-exid20,afl,85154,fe7581c6f1e740a58aca699ae2b8ce69c0e2114ea7ca834b94ff206bdd97c40f,crash,13,SEGV,89b37f8d743fe97579c6f6e939d9f2f0,tsan,fcb,lua
7,1,12942,2754750187,afl-0-exid20,afl,85154,fe7581c6f1e740a58aca699ae2b8ce69c0e2114ea7ca834b94ff206bdd97c40f,crash,1,SEGV,c286f4ef28c75d8ff7147c42affd4a73,asan,fcb,lua
8,2,9005,1331758826,afl-0-exid22,afl,20408,d16a72cb6d541a84b620fae5105d34907ae7656c57144cc8a31a06cfc70a479c,crash,2,stack-overflow,5e542326cbfbab81c654ad4ae382c601,msan,fcb,lua
9,3,9005,1331758826,afl-0-exid22,afl,20408,d16a72cb6d541a84b620fae5105d34907ae7656c57144cc8a31a06cfc70a479c,crash,3,stack-overflow,5e542326cbfbab81c654ad4ae382c601,tsan,fcb,lua
10,1,9005,1331758826,afl-0-exid22,afl,20408,d16a72cb6d541a84b620fae5105d34907ae7656c57144cc8a31a06cfc70a479c,crash,1,stack-overflow,a6340aaeb50a0ddb4c6dc0acc75e6918,asan,fcb,lua
11,4,9005,1331758826,afl-0-exid22,afl,20408,d16a72cb6d541a84b620fae5105d34907ae7656c57144cc8a31a06cfc70a479c,crash,4,stack-overflow,cfe64e8c12ead6d6a7e77d80dd4488a9,ubsan,fcb,lua
12,2,9854,2764936467,afl-0-exid20,afl,36029,70947c3d7566535ca02cb90ed38fae8292b3ed18f953f859fdc0ff77b283f8c4,crash,2,heap-use-after-free,930734fc07970f3fba9c9d663b0f7969,asan,fcb,lua
13,1,9857,2764936467,afl-0-exid20,afl,36033,ca9648dd5ff517c1f23023ef9a001a317c1202a3da7a3f9970b0f234c0e70fab,crash,1,heap-use-after-free,7dd47396c7428ef54901dfb92a40f21f,asan,fcb,lua
14,6,11593,2829737191,afl-0-exid24,afl,66451,0eaecaf95a427871e93409eff125adea2f419779e1cefbf31e37b7c77c2cc71b,crash,6,stack-overflow,5e542326cbfbab81c654ad4ae382c601,msan,fcb,lua
15,9,11593,2829737191,afl-0-exid24,afl,66451,0eaecaf95a427871e93409eff125adea2f419779e1cefbf31e37b7c77c2cc71b,crash,9,stack-overflow,5e542326cbfbab81c654ad4ae382c601,tsan,fcb,lua
16,3,11593,2829737191,afl-0-exid24,afl,66451,0eaecaf95a427871e93409eff125adea2f419779e1cefbf31e37b7c77c2cc71b,crash,3,stack-overflow,a6340aaeb50a0ddb4c6dc0acc75e6918,asan,fcb,lua
17,12,11593,2829737191,afl-0-exid24,afl,66451,0eaecaf95a427871e93409eff125adea2f419779e1cefbf31e37b7c77c2cc71b,crash,12,stack-overflow,cfe64e8c12ead6d6a7e77d80dd4488a9,ubsan,fcb,lua
18,2,11972,2829737191,afl-0-exid24,afl,84605,7a3644de366e53b8545622c1c8bd00560b52bb3a2d112b7ace75617f9bb0d378,crash,2,stack-overflow,27b1f62cae8e95d2c7adad2da3be9a9f,asan,fcb,lua
19,1,11982,2829737191,afl-0-exid24,afl,84744,7cd895765c8e16b6628168260e376a1092fec4293e1f4e705f9d784f5c555e7f,crash,1,stack-overflow,5e542326cbfbab81c654ad4ae382c601,asan,fcb,lua
20,10,11232,1136160342,afl-0-exid22,afl,51332,0387339cb8f515ba656a03e20ed059d244bd3e0cd690b870dfd5db29b027e568,crash,10,stack-overflow,27b1f62cae8e95d2c7adad2da3be9a9f,asan,fcb,lua
21,20,11232,1136160342,afl-0-exid22,afl,51332,0387339cb8f515ba656a03e20ed059d244bd3e0cd690b870dfd5db29b027e568,crash,20,stack-overflow,5e542326cbfbab81c654ad4ae382c601,msan,fcb,lua
22,30,11232,1136160342,afl-0-exid22,afl,51332,0387339cb8f515ba656a03e20ed059d244bd3e0cd690b870dfd5db29b027e568,crash,30,stack-overflow,5e542326cbfbab81c654ad4ae382c601,tsan,fcb,lua
23,40,11232,1136160342,afl-0-exid22,afl,51332,0387339cb8f515ba656a03e20ed059d244bd3e0cd690b870dfd5db29b027e568,crash,40,stack-overflow,cfe64e8c12ead6d6a7e77d80dd4488a9,ubsan,fcb,lua
24,9,11310,1136160342,afl-0-exid22,afl,52745,3a16404ffb4fd45f9dbbf302b403f13964d0949dd23433fd41aae57f5d9bc47f,crash,9,stack-overflow,5548e2f6523c170094389ec479703fb5,asan,fcb,lua
25,8,11499,1136160342,afl-0-exid22,afl,57417,3286948ce4ee74babb01a15ee90e02f0c931366c231049c7111757e1552f8e86,crash,8,stack-overflow,5e542326cbfbab81c654ad4ae382c601,asan,fcb,lua
26,5,11789,1136160342,afl-0-exid22,afl,67008,e0bd1d549b8e40fc7acee540cff05218886bcdee603f89f7b8a4aa605705bf7d,crash,5,stack-overflow,29240592ff7f5b635140c9b975245d84,asan,fcb,lua
27,15,11789,1136160342,afl-0-exid22,afl,67008,e0bd1d549b8e40fc7acee540cff05218886bcdee603f89f7b8a4aa605705bf7d,crash,15,stack-overflow,bf02ab0860118ad9ed702744f300a45c,msan,fcb,lua
28,3,12345,1136160342,afl-0-exid22,afl,83114,35743c56379b1bcd7b570a3bbeb5f0bb759c7742ea31fbcd507da2b78f52085a,crash,3,stack-overflow,a6340aaeb50a0ddb4c6dc0acc75e6918,asan,fcb,lua
