,crash_id,crash_frames_hash,sanitizer,fuzzer_combination,benchmark
0,14,2160b6f64ffa79a39ed40d0f57f41791,asan,fca,mp42aac
1,4,3455c94f5911948817c1682bc761b386,asan,fca,mp42aac
2,2,4094935f26dfd9940c6e8ef55aadaaff,asan,fca,mp42aac
3,9,592fca583cd3464b1dd6edc98ed7cca7,asan,fca,mp42aac
4,2,87ddda0ce59711829e57ff9a2ece7a5e,asan,fca,mp42aac
5,4,9419f91b38edd367d90296ecfee742e2,asan,fca,mp42aac
6,1,a1b560744ee1ea725f93e162bb5dbfb0,asan,fca,mp42aac
7,10,b5a1b4efcb6f97ef399405fa0d9684a9,asan,fca,mp42aac
8,11,cf8259252433e737ae31d3e894fde531,asan,fca,mp42aac
9,10,d89e5ea71af7c234a501bbc3fbb50212,asan,fca,mp42aac
10,10,e6c4886679978b89805264b2f286fca5,asan,fca,mp42aac
11,5,f2e26da42876d7fdc72ff5e32c975ab7,asan,fca,mp42aac
12,3,fbe1ad27f36080a52b2e31a4b2d35a43,asan,fca,mp42aac
13,7,2160b6f64ffa79a39ed40d0f57f41791,asan,fcb,mp42aac
14,5,4094935f26dfd9940c6e8ef55aadaaff,asan,fcb,mp42aac
15,5,592fca583cd3464b1dd6edc98ed7cca7,asan,fcb,mp42aac
16,3,87ddda0ce59711829e57ff9a2ece7a5e,asan,fcb,mp42aac
17,4,9419f91b38edd367d90296ecfee742e2,asan,fcb,mp42aac
18,2,a1b560744ee1ea725f93e162bb5dbfb0,asan,fcb,mp42aac
19,8,cf8259252433e737ae31d3e894fde531,asan,fcb,mp42aac
20,3,d89e5ea71af7c234a501bbc3fbb50212,asan,fcb,mp42aac
21,5,e6c4886679978b89805264b2f286fca5,asan,fcb,mp42aac
