,Unnamed: 0,discovery_id,discovery_fuzzer,discovery_fuzzer_name,fuzzer_type_description,discovery_time,testcase_hash,testcase_type_description,crash_id,crash_type,crash_frames_hash,sanitizer,fuzzer_combination,benchmark
0,1,3319,2409683477,fairfuzz-0-exid0,fairfuzz,69537,df1406e592fa4344da164ccdbdb623ecc52e8692926603020639c3395502aebd,crash,1,allocator,a1b560744ee1ea725f93e162bb5dbfb0,asan,fca,mp42aac
1,4,2672,3612931542,mopt-0-exid1,mopt,11491,45ea5c6d2a4df6489392804b7401d8b6759ce497d1f64d977d34fc35e129b739,crash,4,heap-buffer-overflow,3455c94f5911948817c1682bc761b386,asan,fca,mp42aac
2,14,3214,3612931542,mopt-0-exid1,mopt,13745,67765f46aef22f2cec448e0d34d31ad49f1634d6f7d8632401c07a165a11cdd2,crash,14,heap-buffer-overflow,2160b6f64ffa79a39ed40d0f57f41791,asan,fca,mp42aac
3,11,3290,2461234935,symcc-0-exid1,symcc,13850,1b4e83b57f7a7108b349c96d0ffb35f1d88706853f01df76c9c2022ad3c28255,crash,11,heap-buffer-overflow,cf8259252433e737ae31d3e894fde531,asan,fca,mp42aac
4,12,5821,3102771819,fairfuzz-0-exid1,fairfuzz,68665,acabc8a1f0e5994e738949b5af1c8978e2f1c0ce263934edc464e1eb888c440a,crash,12,allocator,a1b560744ee1ea725f93e162bb5dbfb0,asan,fca,mp42aac
5,5,6090,3612931542,mopt-0-exid1,mopt,83131,4571b50e069580d710714cb8f7e0f0f364073d3d14c7c30736786e9620dccd30,crash,5,heap-buffer-overflow,f2e26da42876d7fdc72ff5e32c975ab7,asan,fca,mp42aac
6,2,6119,3612931542,mopt-0-exid1,mopt,84925,265123b0a0b74a197c95c1f1bf6bfb44b626b44aee686faab50a96a118becb47,crash,2,heap-buffer-overflow,4094935f26dfd9940c6e8ef55aadaaff,asan,fca,mp42aac
7,10,6127,2461234935,symcc-0-exid1,symcc,85403,90eb49449bcd71b28b45e376e8b69fe2c25dd12000d4d436ea971fbbd33ffc5c,crash,10,SEGV,d89e5ea71af7c234a501bbc3fbb50212,asan,fca,mp42aac
8,1,3373,1258459531,fairfuzz-0-exid2,fairfuzz,37033,ea62a35854ab78d1ef018d885151833e975d5acab04e712b6d80deda498f59d8,crash,1,allocator,a1b560744ee1ea725f93e162bb5dbfb0,asan,fca,mp42aac
9,2,3513,3284607376,fairfuzz-0-exid3,fairfuzz,63821,840b0514a4e43de3f33a2aad9b8d33efa6ff0772418449d660167cd8f9db15ca,crash,2,allocator,a1b560744ee1ea725f93e162bb5dbfb0,asan,fca,mp42aac
