,Unnamed: 0,discovery_id,discovery_fuzzer,discovery_fuzzer_name,fuzzer_type_description,discovery_time,testcase_hash,testcase_type_description,crash_id,crash_type,crash_frames_hash,sanitizer,fuzzer_combination,benchmark
0,3444,1742,3753075614,fairfuzz-0-exid0,fairfuzz,433,ade47ef927dacb2fc76812441d823ddc090bf4e2119fcdca4118f035729ca2c2,crash,3444,SEGV,82a52b099b0cb44ccb2ec4868c8c055f,tsan,fca,nm
1,968,1742,3753075614,fairfuzz-0-exid0,fairfuzz,433,ade47ef927dacb2fc76812441d823ddc090bf4e2119fcdca4118f035729ca2c2,crash,968,SEGV,8e3b5edd63978d4a20e0ae0d181fcd60,asan,fca,nm
2,2260,1742,3753075614,fairfuzz-0-exid0,fairfuzz,433,ade47ef927dacb2fc76812441d823ddc090bf4e2119fcdca4118f035729ca2c2,crash,2260,SEGV,8e3b5edd63978d4a20e0ae0d181fcd60,msan,fca,nm
3,1332,3782,1853449382,mopt-0-exid0,mopt,925,d9642500048342e3c12c81847571788c4f82f9a6ff485de88d6185a9492d16e0,crash,1332,heap-buffer-overflow,8c74227eed4bf13418aa08e7cfce2860,asan,fca,nm
4,1953,4171,3734445675,symcc-0-exid0,symcc,1076,35a297deed1ada6760a0a10b07abfabc2af4b7c2f36d5bff32d438cafb6bd2b8,crash,1953,SEGV,6128f51c6c406ea6fb7c22ab72995672,msan,fca,nm
5,3134,4171,3734445675,symcc-0-exid0,symcc,1076,35a297deed1ada6760a0a10b07abfabc2af4b7c2f36d5bff32d438cafb6bd2b8,crash,3134,SEGV,6128f51c6c406ea6fb7c22ab72995672,tsan,fca,nm
6,565,4171,3734445675,symcc-0-exid0,symcc,1076,35a297deed1ada6760a0a10b07abfabc2af4b7c2f36d5bff32d438cafb6bd2b8,crash,565,SEGV,cba4c4a26a9acbe4942b5a0f31f84451,asan,fca,nm
7,208,4179,3734445675,symcc-0-exid0,symcc,1078,309fa329b6643ae90497e8dd642de8907062767db3f3b2c495cafa104624f071,crash,208,SEGV,ab82a35ef635651378049cee2e629e6a,asan,fca,nm
8,1681,4179,3734445675,symcc-0-exid0,symcc,1078,309fa329b6643ae90497e8dd642de8907062767db3f3b2c495cafa104624f071,crash,1681,SEGV,c7d2cebfec5264147deaa0c4941e6db3,msan,fca,nm
9,2852,4179,3734445675,symcc-0-exid0,symcc,1078,309fa329b6643ae90497e8dd642de8907062767db3f3b2c495cafa104624f071,crash,2852,SEGV,c7d2cebfec5264147deaa0c4941e6db3,tsan,fca,nm
10,623,4180,3734445675,symcc-0-exid0,symcc,1078,6d1ad0e4239c12d97f2b361ca2ab4d69c55917c27e38ba199c150c1408197022,crash,623,SEGV,85d525a5ed697ac02f7bf45f82035839,asan,fca,nm
11,2001,4180,3734445675,symcc-0-exid0,symcc,1078,6d1ad0e4239c12d97f2b361ca2ab4d69c55917c27e38ba199c150c1408197022,crash,2001,SEGV,b684b91573dd0c7ddc4935ec8f3ba6a3,msan,fca,nm
