,discovery_id,discovery_fuzzer,discovery_fuzzer_name,fuzzer_type_description,discovery_time,testcase_hash,testcase_type_description,crash_id,crash_type,crash_frames_hash,sanitizer,fuzzer_combination,benchmark
108,1909,3145854643,mopt-0-exid4,mopt,613,e442c2864f1a981c863e0868d776bea611557e3ff31e74224817559cf7657916,crash,108,heap-buffer-overflow,8c74227eed4bf13418aa08e7cfce2860,asan,fca,nm
1005,5591,1391336914,fairfuzz-0-exid4,fairfuzz,2689,a61a6c9d5b4ff5a8ee3865b4710c36bf085583d05be1e92feeb5ea46bc8b8270,crash,1005,SEGV,31fdadb70cea93ae8e5fc42f7429577c,asan,fca,nm
3494,5591,1391336914,fairfuzz-0-exid4,fairfuzz,2689,a61a6c9d5b4ff5a8ee3865b4710c36bf085583d05be1e92feeb5ea46bc8b8270,crash,3494,SEGV,3eb5851e990e6e543e3861801339bdd6,tsan,fca,nm
2249,5591,1391336914,fairfuzz-0-exid4,fairfuzz,2689,a61a6c9d5b4ff5a8ee3865b4710c36bf085583d05be1e92feeb5ea46bc8b8270,crash,2249,SEGV,f0f342bb14e9e6e68dd08d6238202490,msan,fca,nm
490,5701,1391336914,fairfuzz-0-exid4,fairfuzz,2743,eea07799bb6639615501bbf70515f25929365c38d4dee852c4be2eb8a1291e40,crash,490,SEGV,40f1c3f1b305c9a217e4613dda5fe6f9,asan,fca,nm
1758,5701,1391336914,fairfuzz-0-exid4,fairfuzz,2743,eea07799bb6639615501bbf70515f25929365c38d4dee852c4be2eb8a1291e40,crash,1758,SEGV,6af674ab4d03f120df5b8d533dbfba29,msan,fca,nm
2998,5701,1391336914,fairfuzz-0-exid4,fairfuzz,2743,eea07799bb6639615501bbf70515f25929365c38d4dee852c4be2eb8a1291e40,crash,2998,SEGV,9998a4fe7585775b5b5fac75696a1ccc,tsan,fca,nm
3208,6269,2820883414,symcc-0-exid4,symcc,3074,fd0988f069222dd8798e4181ed377a6272b95f85df8568831d24ab75a06f14da,crash,3208,SEGV,0ff5d2c1e4d1f2abb970c81bbf93aff7,tsan,fca,nm
706,6269,2820883414,symcc-0-exid4,symcc,3074,fd0988f069222dd8798e4181ed377a6272b95f85df8568831d24ab75a06f14da,crash,706,SEGV,7b5bad529ef025686e8e057d89315614,asan,fca,nm
1966,6269,2820883414,symcc-0-exid4,symcc,3074,fd0988f069222dd8798e4181ed377a6272b95f85df8568831d24ab75a06f14da,crash,1966,SEGV,a68b23068d3f1d2f0ba0dc3c41286e6f,msan,fca,nm
3582,6366,2820883414,symcc-0-exid4,symcc,3129,0de4fc0f1bfeebda9c1f11eeadf3fd5db8e572aff06ce0e49d05f1914f033d3d,crash,3582,SEGV,2d91054c9de94c5eca7ef99745635aa8,tsan,fca,nm
1094,6366,2820883414,symcc-0-exid4,symcc,3129,0de4fc0f1bfeebda9c1f11eeadf3fd5db8e572aff06ce0e49d05f1914f033d3d,crash,1094,SEGV,b71cb45c0e69aebbecc7a064fa470eeb,asan,fca,nm
2337,6366,2820883414,symcc-0-exid4,symcc,3129,0de4fc0f1bfeebda9c1f11eeadf3fd5db8e572aff06ce0e49d05f1914f033d3d,crash,2337,SEGV,cd1441e8dfe39c370ba2732fdd1f4b4f,msan,fca,nm
1872,6460,1391336914,fairfuzz-0-exid4,fairfuzz,3167,835b7be6bf0f1527c5749ab7259517efe888072fb9ab6ac852205dee6227dda7,crash,1872,SEGV,0646f8dc98605131cbd13c096e45cad3,msan,fca,nm
3114,6460,1391336914,fairfuzz-0-exid4,fairfuzz,3167,835b7be6bf0f1527c5749ab7259517efe888072fb9ab6ac852205dee6227dda7,crash,3114,SEGV,0646f8dc98605131cbd13c096e45cad3,tsan,fca,nm
609,6460,1391336914,fairfuzz-0-exid4,fairfuzz,3167,835b7be6bf0f1527c5749ab7259517efe888072fb9ab6ac852205dee6227dda7,crash,609,SEGV,e962321310000bd8f0df569f7feedb44,asan,fca,nm
761,6469,1391336914,fairfuzz-0-exid4,fairfuzz,3168,1cffe454e54390a240eb09f0e96480bd34010e1abd25965609e4094f30ff87e3,crash,761,SEGV,6cd47e5aebb4297df5acaba2b6b80a23,asan,fca,nm
2020,6469,1391336914,fairfuzz-0-exid4,fairfuzz,3168,1cffe454e54390a240eb09f0e96480bd34010e1abd25965609e4094f30ff87e3,crash,2020,SEGV,884ec7d3390930225f967542efadb816,msan,fca,nm
3263,6469,1391336914,fairfuzz-0-exid4,fairfuzz,3168,1cffe454e54390a240eb09f0e96480bd34010e1abd25965609e4094f30ff87e3,crash,3263,SEGV,884ec7d3390930225f967542efadb816,tsan,fca,nm
74,6476,1391336914,fairfuzz-0-exid4,fairfuzz,3169,2257981a79785c463cf438776976e567073007c1cc329214c18cdfecd99d7698,crash,74,SEGV,76963e8d3021a3a3740288656624dc7e,asan,fca,nm
1358,6476,1391336914,fairfuzz-0-exid4,fairfuzz,3169,2257981a79785c463cf438776976e567073007c1cc329214c18cdfecd99d7698,crash,1358,SEGV,e0c7e593bb81a6ff05eb77f65af7cc7c,msan,fca,nm
2594,6476,1391336914,fairfuzz-0-exid4,fairfuzz,3169,2257981a79785c463cf438776976e567073007c1cc329214c18cdfecd99d7698,crash,2594,SEGV,e0c7e593bb81a6ff05eb77f65af7cc7c,tsan,fca,nm
2349,6493,1391336914,fairfuzz-0-exid4,fairfuzz,3174,100bd2d005c35dba8b1578a08c98300c420f9412c969b989b63d8bf414c90c42,crash,2349,SEGV,6128f51c6c406ea6fb7c22ab72995672,msan,fca,nm
3594,6493,1391336914,fairfuzz-0-exid4,fairfuzz,3174,100bd2d005c35dba8b1578a08c98300c420f9412c969b989b63d8bf414c90c42,crash,3594,SEGV,6128f51c6c406ea6fb7c22ab72995672,tsan,fca,nm
1106,6493,1391336914,fairfuzz-0-exid4,fairfuzz,3174,100bd2d005c35dba8b1578a08c98300c420f9412c969b989b63d8bf414c90c42,crash,1106,SEGV,cba4c4a26a9acbe4942b5a0f31f84451,asan,fca,nm
1254,6498,1391336914,fairfuzz-0-exid4,fairfuzz,3176,c6990505e776cfaac83c9a79a9115d7dd54706180f0ab6d41fbe46a8e06c2e4a,crash,1254,SEGV,85d525a5ed697ac02f7bf45f82035839,asan,fca,nm
2490,6498,1391336914,fairfuzz-0-exid4,fairfuzz,3176,c6990505e776cfaac83c9a79a9115d7dd54706180f0ab6d41fbe46a8e06c2e4a,crash,2490,SEGV,b684b91573dd0c7ddc4935ec8f3ba6a3,msan,fca,nm
3739,6498,1391336914,fairfuzz-0-exid4,fairfuzz,3176,c6990505e776cfaac83c9a79a9115d7dd54706180f0ab6d41fbe46a8e06c2e4a,crash,3739,SEGV,b684b91573dd0c7ddc4935ec8f3ba6a3,tsan,fca,nm
230,6519,1391336914,fairfuzz-0-exid4,fairfuzz,3190,eb3a680c67d8b670bc2ae8d2285e35d60c649e628bc738ef7bad900aa5a1a640,crash,230,SEGV,1c4b5702e75f822502c1af99eabdb7ff,asan,fca,nm
2743,6519,1391336914,fairfuzz-0-exid4,fairfuzz,3190,eb3a680c67d8b670bc2ae8d2285e35d60c649e628bc738ef7bad900aa5a1a640,crash,2743,SEGV,a9790d2a275a7b2fcd3a21a2d76cd7d1,tsan,fca,nm
1505,6519,1391336914,fairfuzz-0-exid4,fairfuzz,3190,eb3a680c67d8b670bc2ae8d2285e35d60c649e628bc738ef7bad900aa5a1a640,crash,1505,SEGV,d60423b99f878252c290baed0bde5df8,msan,fca,nm
3764,6522,1391336914,fairfuzz-0-exid4,fairfuzz,3191,c51cb5a3c67894087ac617310f4884b0e590aef5d4939030e3db1911aa00a75d,crash,3764,SEGV,b71cb45c0e69aebbecc7a064fa470eeb,tsan,fca,nm
1280,6522,1391336914,fairfuzz-0-exid4,fairfuzz,3191,c51cb5a3c67894087ac617310f4884b0e590aef5d4939030e3db1911aa00a75d,crash,1280,SEGV,cd1441e8dfe39c370ba2732fdd1f4b4f,asan,fca,nm
3607,7435,2820883414,symcc-0-exid4,symcc,3871,06b5885ca091cd09740a08d039b65e7986a9664805754d0e03e75c296e1af404,crash,3607,SEGV,20342dca7c121d150537a553601f2cff,tsan,fca,nm
1119,7435,2820883414,symcc-0-exid4,symcc,3871,06b5885ca091cd09740a08d039b65e7986a9664805754d0e03e75c296e1af404,crash,1119,SEGV,7eb8a033fb93be1a166b929b057f47e8,asan,fca,nm
2362,7435,2820883414,symcc-0-exid4,symcc,3871,06b5885ca091cd09740a08d039b65e7986a9664805754d0e03e75c296e1af404,crash,2362,SEGV,7eb8a033fb93be1a166b929b057f47e8,msan,fca,nm
118,7673,1391336914,fairfuzz-0-exid4,fairfuzz,4047,8d54ec5255cfd41d52cfdfe4cfe74a3f44c63290649d986dd3ae4cc70c5c6789,crash,118,SEGV,217e3f6c0ab4aacc1417e41707b79cd2,asan,fca,nm
1400,7673,1391336914,fairfuzz-0-exid4,fairfuzz,4047,8d54ec5255cfd41d52cfdfe4cfe74a3f44c63290649d986dd3ae4cc70c5c6789,crash,1400,SEGV,217e3f6c0ab4aacc1417e41707b79cd2,msan,fca,nm
3794,7673,1391336914,fairfuzz-0-exid4,fairfuzz,4047,8d54ec5255cfd41d52cfdfe4cfe74a3f44c63290649d986dd3ae4cc70c5c6789,crash,3794,SEGV,217e3f6c0ab4aacc1417e41707b79cd2,ubsan,fca,nm
2636,7673,1391336914,fairfuzz-0-exid4,fairfuzz,4047,8d54ec5255cfd41d52cfdfe4cfe74a3f44c63290649d986dd3ae4cc70c5c6789,crash,2636,SEGV,d68ef8a660bb62fd4346463a27e8b6bb,tsan,fca,nm
2726,7680,1391336914,fairfuzz-0-exid4,fairfuzz,4057,7f2693d702414e2bff89b3c3cfb6c74f5143aecbe027de5dcf5482cfea759d62,crash,2726,SEGV,87aaa85249fb7e63506af5d72c3f26c5,tsan,fca,nm
212,7680,1391336914,fairfuzz-0-exid4,fairfuzz,4057,7f2693d702414e2bff89b3c3cfb6c74f5143aecbe027de5dcf5482cfea759d62,crash,212,SEGV,c66b2c326db349ab6561d6b782d2ab8f,asan,fca,nm
1488,7680,1391336914,fairfuzz-0-exid4,fairfuzz,4057,7f2693d702414e2bff89b3c3cfb6c74f5143aecbe027de5dcf5482cfea759d62,crash,1488,SEGV,c66b2c326db349ab6561d6b782d2ab8f,msan,fca,nm
