,Unnamed: 0,discovery_id,discovery_fuzzer,discovery_fuzzer_name,fuzzer_type_description,discovery_time,testcase_hash,testcase_type_description,crash_id,crash_type,crash_frames_hash,sanitizer,fuzzer_combination,benchmark
0,2792,1944,3772969022,fairfuzz-0-exid20,fairfuzz,598,866c10d77b71f2145f9903c1a5bc6ed2ef19e05d1b8e543d0e73dccaac2f1c87,crash,2792,SEGV,2d91054c9de94c5eca7ef99745635aa8,tsan,fcb,nm
1,98,1944,3772969022,fairfuzz-0-exid20,fairfuzz,598,866c10d77b71f2145f9903c1a5bc6ed2ef19e05d1b8e543d0e73dccaac2f1c87,crash,98,SEGV,b71cb45c0e69aebbecc7a064fa470eeb,asan,fcb,nm
2,1511,1944,3772969022,fairfuzz-0-exid20,fairfuzz,598,866c10d77b71f2145f9903c1a5bc6ed2ef19e05d1b8e543d0e73dccaac2f1c87,crash,1511,SEGV,cd1441e8dfe39c370ba2732fdd1f4b4f,msan,fcb,nm
3,2174,2204,3721041406,afl-0-exid20,afl,667,e8633261699a4df6243317e1e57d777b26c0b83b8ec6d80aceaf47f6c9e61f3b,crash,2174,SEGV,6128f51c6c406ea6fb7c22ab72995672,msan,fcb,nm
4,3505,2204,3721041406,afl-0-exid20,afl,667,e8633261699a4df6243317e1e57d777b26c0b83b8ec6d80aceaf47f6c9e61f3b,crash,3505,SEGV,6128f51c6c406ea6fb7c22ab72995672,tsan,fcb,nm
5,844,2204,3721041406,afl-0-exid20,afl,667,e8633261699a4df6243317e1e57d777b26c0b83b8ec6d80aceaf47f6c9e61f3b,crash,844,SEGV,cba4c4a26a9acbe4942b5a0f31f84451,asan,fcb,nm
6,3212,3186,3721041406,afl-0-exid20,afl,884,0f47d6eb87572d4f7ac3a77300b3d7d768d923c210678e01e9d2f702a775dd4e,crash,3212,SEGV,0f44695389213eaaa9d22f82e4a1bbdc,tsan,fcb,nm
7,540,3186,3721041406,afl-0-exid20,afl,884,0f47d6eb87572d4f7ac3a77300b3d7d768d923c210678e01e9d2f702a775dd4e,crash,540,SEGV,189d3af2d351e4a957a2cdee6427f4fd,asan,fcb,nm
8,1909,3186,3721041406,afl-0-exid20,afl,884,0f47d6eb87572d4f7ac3a77300b3d7d768d923c210678e01e9d2f702a775dd4e,crash,1909,SEGV,189d3af2d351e4a957a2cdee6427f4fd,msan,fcb,nm
9,483,3238,3721041406,afl-0-exid20,afl,910,00d772d7751753a0470a20f436e56814a685f103525946e18ee95850b20c70d2,crash,483,SEGV,76963e8d3021a3a3740288656624dc7e,asan,fcb,nm
10,1860,3238,3721041406,afl-0-exid20,afl,910,00d772d7751753a0470a20f436e56814a685f103525946e18ee95850b20c70d2,crash,1860,SEGV,e0c7e593bb81a6ff05eb77f65af7cc7c,msan,fcb,nm
11,3159,3238,3721041406,afl-0-exid20,afl,910,00d772d7751753a0470a20f436e56814a685f103525946e18ee95850b20c70d2,crash,3159,SEGV,e0c7e593bb81a6ff05eb77f65af7cc7c,tsan,fcb,nm
12,772,3858,3721041406,afl-0-exid20,afl,1093,9ff48f2d7516e5054861aa5ee24cd8b1226b9d71e6ecb6decd71411d56fdae50,crash,772,SEGV,6cd47e5aebb4297df5acaba2b6b80a23,asan,fcb,nm
13,2106,3858,3721041406,afl-0-exid20,afl,1093,9ff48f2d7516e5054861aa5ee24cd8b1226b9d71e6ecb6decd71411d56fdae50,crash,2106,SEGV,884ec7d3390930225f967542efadb816,msan,fcb,nm
14,3434,3858,3721041406,afl-0-exid20,afl,1093,9ff48f2d7516e5054861aa5ee24cd8b1226b9d71e6ecb6decd71411d56fdae50,crash,3434,SEGV,884ec7d3390930225f967542efadb816,tsan,fcb,nm
15,153,3870,3721041406,afl-0-exid20,afl,1099,ba4272cecd700e6d005a1dfe32cae5f644193d71bffcc2d17c449203283a218c,crash,153,SEGV,32792956b9c80ab5079b134198ca61b8,asan,fcb,nm
16,1561,3870,3721041406,afl-0-exid20,afl,1099,ba4272cecd700e6d005a1dfe32cae5f644193d71bffcc2d17c449203283a218c,crash,1561,SEGV,5130600714e96c95bd2bccd69d07f496,msan,fcb,nm
17,2846,3870,3721041406,afl-0-exid20,afl,1099,ba4272cecd700e6d005a1dfe32cae5f644193d71bffcc2d17c449203283a218c,crash,2846,SEGV,5130600714e96c95bd2bccd69d07f496,tsan,fcb,nm
18,1100,3887,3721041406,afl-0-exid20,afl,1106,9223c0a50d5a6c1f7c2973caf9c10e63df4af44187c60745a54e9dcda3b14760,crash,1100,SEGV,036970cadbf3539a826ad22b62f77d20,asan,fcb,nm
19,2407,3887,3721041406,afl-0-exid20,afl,1106,9223c0a50d5a6c1f7c2973caf9c10e63df4af44187c60745a54e9dcda3b14760,crash,2407,SEGV,0ab214692ecb89468e279d02fe53320c,msan,fcb,nm
20,3750,3887,3721041406,afl-0-exid20,afl,1106,9223c0a50d5a6c1f7c2973caf9c10e63df4af44187c60745a54e9dcda3b14760,crash,3750,SEGV,0ab214692ecb89468e279d02fe53320c,tsan,fcb,nm
21,665,4760,3721041406,afl-0-exid20,afl,1473,fa3126cf63a14db2802f93dd711f24ab336ec398824df38438a60b535fb970d6,crash,665,SEGV,0c22f5df8527d37af8fb39cf84536a5f,asan,fcb,nm
