,discovery_id,discovery_fuzzer,discovery_fuzzer_name,fuzzer_type_description,discovery_time,testcase_hash,testcase_type_description,crash_id,crash_type,crash_frames_hash,sanitizer,fuzzer_combination,benchmark
705,3561,3082024549,fairfuzz-0-exid24,fairfuzz,1283,71444276d8eea5ea5585381bbf9babf467bf7cfb59b28375430c9dcd63ebbbd6,crash,705,SEGV,5ae32016c91ba99ef4545e0f2a6c42dd,asan,fcb,nm
2271,3561,3082024549,fairfuzz-0-exid24,fairfuzz,1283,71444276d8eea5ea5585381bbf9babf467bf7cfb59b28375430c9dcd63ebbbd6,crash,2271,SEGV,e47d8c0bac54f00eadd6e1e2e3662c65,msan,fcb,nm
3820,3561,3082024549,fairfuzz-0-exid24,fairfuzz,1283,71444276d8eea5ea5585381bbf9babf467bf7cfb59b28375430c9dcd63ebbbd6,crash,3820,SEGV,e47d8c0bac54f00eadd6e1e2e3662c65,tsan,fcb,nm
854,3562,3082024549,fairfuzz-0-exid24,fairfuzz,1283,4d76d6159ead3b192913ac2596bb047d83a7c47742020ad07ec5ca81a17afae2,crash,854,SEGV,76963e8d3021a3a3740288656624dc7e,asan,fcb,nm
2409,3562,3082024549,fairfuzz-0-exid24,fairfuzz,1283,4d76d6159ead3b192913ac2596bb047d83a7c47742020ad07ec5ca81a17afae2,crash,2409,SEGV,e0c7e593bb81a6ff05eb77f65af7cc7c,msan,fcb,nm
3968,3562,3082024549,fairfuzz-0-exid24,fairfuzz,1283,4d76d6159ead3b192913ac2596bb047d83a7c47742020ad07ec5ca81a17afae2,crash,3968,SEGV,e0c7e593bb81a6ff05eb77f65af7cc7c,tsan,fcb,nm
1517,3567,3063924159,afl-0-exid24,afl,1286,381f3be96f7d588c0fe78a47b196682026ab7b2595af8e9ded3c6cd9abd62ebb,crash,1517,SEGV,85d525a5ed697ac02f7bf45f82035839,asan,fcb,nm
3035,3567,3063924159,afl-0-exid24,afl,1286,381f3be96f7d588c0fe78a47b196682026ab7b2595af8e9ded3c6cd9abd62ebb,crash,3035,SEGV,b684b91573dd0c7ddc4935ec8f3ba6a3,msan,fcb,nm
4628,3567,3063924159,afl-0-exid24,afl,1286,381f3be96f7d588c0fe78a47b196682026ab7b2595af8e9ded3c6cd9abd62ebb,crash,4628,SEGV,b684b91573dd0c7ddc4935ec8f3ba6a3,tsan,fcb,nm
598,3570,3082024549,fairfuzz-0-exid24,fairfuzz,1291,1d460a117ba89ec3a8e2f29876f2f68ebc2de84e7b3e8f3c632206de91d1ab6e,crash,598,SEGV,6cd47e5aebb4297df5acaba2b6b80a23,asan,fcb,nm
