,crash_id,crash_frames_hash,sanitizer,fuzzer_combination,benchmark
0,9,162d4bf896e713e3ee8c4fca075c1dbf,asan,fca,objdump
1,10,6dfecc019241e7ec348aebebfb30cde3,asan,fca,objdump
2,12,7cfe26c4a00ed20d343253adc9ca5327,asan,fca,objdump
3,13,88b3e326e558c761f470b4886a2ccdf8,asan,fca,objdump
4,5,88f2f8b97e80133fc2766f9be1af42ea,asan,fca,objdump
5,2,8bc4cb2c1925e638e963e3bcebe0b8bd,asan,fca,objdump
6,3,8c74227eed4bf13418aa08e7cfce2860,asan,fca,objdump
7,23,9b10153fa6aba9fd0610d154ebc4e3a8,asan,fca,objdump
8,44,a624478673cfe92eee6663ce2269898f,asan,fca,objdump
9,1,ee8067dcf7e8de116c61bb97d421f5d7,asan,fca,objdump
10,19,ef787e2e8bafba066b528ecf2360d4ed,asan,fca,objdump
11,27,2d8284bab5079eeb6463eeb681157292,msan,fca,objdump
12,37,35c08ee29aae0fe5286f373333476a1d,msan,fca,objdump
13,7,8bc4cb2c1925e638e963e3bcebe0b8bd,msan,fca,objdump
14,30,9c0829efb9d72bda426f08748e69da5a,msan,fca,objdump
15,25,b01a22729c2e0e02889ab33019016c5d,msan,fca,objdump
16,54,6dfecc019241e7ec348aebebfb30cde3,tsan,fca,objdump
17,47,c661072ad7b8cf53655e3586fc8159c0,tsan,fca,objdump
18,9,cab3706d97066819dfba2890bbbb9f35,tsan,fca,objdump
19,44,ef787e2e8bafba066b528ecf2360d4ed,tsan,fca,objdump
20,45,ff3ce482cff012abf921703bde3e8777,tsan,fca,objdump
21,61,1a64c7cd0916afa1880d62753a44a050,ubsan,fca,objdump
22,11,8bc4cb2c1925e638e963e3bcebe0b8bd,ubsan,fca,objdump
23,71,9c0829efb9d72bda426f08748e69da5a,ubsan,fca,objdump
24,68,e77dcbb13a1a1c7b6e674b8647f8e3d9,ubsan,fca,objdump
25,2,9f9bd9c143ac6d6990f2943468ea5d80,asan,fcb,objdump
26,1,a624478673cfe92eee6663ce2269898f,asan,fcb,objdump
27,4,9f9bd9c143ac6d6990f2943468ea5d80,msan,fcb,objdump
28,6,da8aa8e5018c941dffcbb6ce3b5de7ae,tsan,fcb,objdump
29,8,9f9bd9c143ac6d6990f2943468ea5d80,ubsan,fcb,objdump
