,Unnamed: 0,discovery_id,discovery_fuzzer,discovery_fuzzer_name,fuzzer_type_description,discovery_time,testcase_hash,testcase_type_description,crash_id,crash_type,crash_frames_hash,sanitizer,fuzzer_combination,benchmark
0,3,7639,1605083108,mopt-0-exid0,mopt,20530,ca66f5ddd34aa130ce069b39a89318e489ab35546de977624464d0cc5a7553b2,crash,3,heap-buffer-overflow,8c74227eed4bf13418aa08e7cfce2860,asan,fca,objdump
1,11,3515,733074714,mopt-0-exid1,mopt,4532,3e1832aa333a312191de447b1fc5aff75f428d51239bf8828be873c28097c58e,crash,11,heap-buffer-overflow,8c74227eed4bf13418aa08e7cfce2860,asan,fca,objdump
2,44,4126,733074714,mopt-0-exid1,mopt,6664,0dd479213f6acec8192a551a42de10312c6a800d85876d5300267d0e2067a527,crash,44,global-buffer-overflow,a624478673cfe92eee6663ce2269898f,asan,fca,objdump
3,23,3421,3596292635,mopt-0-exid2,mopt,2101,dadf43e8adaede45e08a4d0411a64834abb4c3e8bbb025b8111f4703a044fc48,crash,23,heap-buffer-overflow,8c74227eed4bf13418aa08e7cfce2860,asan,fca,objdump
4,18,5941,3596292635,mopt-0-exid2,mopt,9358,17db1b990b749b5d4e51a448f00f2668c8ab42a38e73ae530be7fabb2a014f4f,crash,18,global-buffer-overflow,a624478673cfe92eee6663ce2269898f,asan,fca,objdump
5,22,6390,932920725,mopt-0-exid3,mopt,10703,8d7f8cdfb049fd6a99aa71c457256646042c2d5d6be77746b2174f99d14ba1f1,crash,22,heap-buffer-overflow,8c74227eed4bf13418aa08e7cfce2860,asan,fca,objdump
6,14,8437,932920725,mopt-0-exid3,mopt,23506,2d4045b1ac33c550a5ed5d092fa77f45b2ad1f88cbc2b922ca4daf3344f46d27,crash,14,global-buffer-overflow,a624478673cfe92eee6663ce2269898f,asan,fca,objdump
7,13,12765,932920725,mopt-0-exid3,mopt,48525,341e1040cb11c9945ded587fcb4c6b726fb8018b983c8393fc1482d9cc36745d,crash,13,global-buffer-overflow,88b3e326e558c761f470b4886a2ccdf8,asan,fca,objdump
8,29,3361,3300415483,mopt-0-exid4,mopt,2465,e4705c6ee431d2ef522b998f8795e8328bd0a624c833f1aeaf1f9827bf20628f,crash,29,heap-buffer-overflow,8c74227eed4bf13418aa08e7cfce2860,asan,fca,objdump
9,12,5915,3300415483,mopt-0-exid4,mopt,10365,459e9f29a0c1bea8fc86659fc935acdd9f8f3c19aef7e1c91c7e63a4e73f16e1,crash,12,global-buffer-overflow,a624478673cfe92eee6663ce2269898f,asan,fca,objdump
10,6,4766,3492871592,mopt-0-exid0,mopt,5290,c33a9bd74ee05a4f2c7a280d919a170437aaf4fab0e54b40e8adaea63e15236e,crash,6,heap-buffer-overflow,8c74227eed4bf13418aa08e7cfce2860,asan,fca,objdump
11,37,15048,2159377755,fairfuzz-0-exid0,fairfuzz,57033,242747c72740d9b210c484e1993d6f94479380f9f5cccbc6a9bb04cd72889008,crash,37,SEGV,35c08ee29aae0fe5286f373333476a1d,msan,fca,objdump
12,54,15048,2159377755,fairfuzz-0-exid0,fairfuzz,57033,242747c72740d9b210c484e1993d6f94479380f9f5cccbc6a9bb04cd72889008,crash,54,SEGV,6dfecc019241e7ec348aebebfb30cde3,tsan,fca,objdump
13,71,15048,2159377755,fairfuzz-0-exid0,fairfuzz,57033,242747c72740d9b210c484e1993d6f94479380f9f5cccbc6a9bb04cd72889008,crash,71,SEGV,9c0829efb9d72bda426f08748e69da5a,ubsan,fca,objdump
14,19,15048,2159377755,fairfuzz-0-exid0,fairfuzz,57033,242747c72740d9b210c484e1993d6f94479380f9f5cccbc6a9bb04cd72889008,crash,19,heap-buffer-overflow,ef787e2e8bafba066b528ecf2360d4ed,asan,fca,objdump
15,68,15063,2159377755,fairfuzz-0-exid0,fairfuzz,57138,be79c2163b743aeebf383596af0ef1c6fffbea84103203ce1995ce0b0005eb90,crash,68,SEGV,e77dcbb13a1a1c7b6e674b8647f8e3d9,ubsan,fca,objdump
16,61,15616,2159377755,fairfuzz-0-exid0,fairfuzz,60235,889c0ee507d1e6f4a0021eae2ba0d1d074753e0252a66fa966dbbd44ceeea794,crash,61,SEGV,1a64c7cd0916afa1880d62753a44a050,ubsan,fca,objdump
17,27,15616,2159377755,fairfuzz-0-exid0,fairfuzz,60235,889c0ee507d1e6f4a0021eae2ba0d1d074753e0252a66fa966dbbd44ceeea794,crash,27,SEGV,2d8284bab5079eeb6463eeb681157292,msan,fca,objdump
18,44,15616,2159377755,fairfuzz-0-exid0,fairfuzz,60235,889c0ee507d1e6f4a0021eae2ba0d1d074753e0252a66fa966dbbd44ceeea794,crash,44,SEGV,ef787e2e8bafba066b528ecf2360d4ed,tsan,fca,objdump
19,9,15616,2159377755,fairfuzz-0-exid0,fairfuzz,60235,889c0ee507d1e6f4a0021eae2ba0d1d074753e0252a66fa966dbbd44ceeea794,crash,9,heap-buffer-overflow,162d4bf896e713e3ee8c4fca075c1dbf,asan,fca,objdump
20,25,15664,2159377755,fairfuzz-0-exid0,fairfuzz,60315,275ab27e24a022c35af4e1938b8ee184bfc21bb9046ffc73509851b99b934b74,crash,25,SEGV,b01a22729c2e0e02889ab33019016c5d,msan,fca,objdump
21,5,15664,2159377755,fairfuzz-0-exid0,fairfuzz,60315,275ab27e24a022c35af4e1938b8ee184bfc21bb9046ffc73509851b99b934b74,crash,5,heap-buffer-overflow,88f2f8b97e80133fc2766f9be1af42ea,asan,fca,objdump
22,30,15682,2159377755,fairfuzz-0-exid0,fairfuzz,60347,a4e39491a6c3377c0c3a5e0b934708dfd0199a10e497e4f1f3383e5496696459,crash,30,SEGV,9c0829efb9d72bda426f08748e69da5a,msan,fca,objdump
23,47,15682,2159377755,fairfuzz-0-exid0,fairfuzz,60347,a4e39491a6c3377c0c3a5e0b934708dfd0199a10e497e4f1f3383e5496696459,crash,47,SEGV,c661072ad7b8cf53655e3586fc8159c0,tsan,fca,objdump
24,12,15682,2159377755,fairfuzz-0-exid0,fairfuzz,60347,a4e39491a6c3377c0c3a5e0b934708dfd0199a10e497e4f1f3383e5496696459,crash,12,heap-buffer-overflow,7cfe26c4a00ed20d343253adc9ca5327,asan,fca,objdump
25,45,16147,2159377755,fairfuzz-0-exid0,fairfuzz,60806,ecdd351f8eae617d0f8d15d16ca79ea9aa84574383badfacf3a75436d4600a59,crash,45,SEGV,ff3ce482cff012abf921703bde3e8777,tsan,fca,objdump
