,discovery_id,discovery_fuzzer,discovery_fuzzer_name,fuzzer_type_description,discovery_time,testcase_hash,testcase_type_description,crash_id,crash_type,crash_frames_hash,sanitizer,fuzzer_combination,benchmark
6,4766,3492871592,mopt-0-exid0,mopt,5290,c33a9bd74ee05a4f2c7a280d919a170437aaf4fab0e54b40e8adaea63e15236e,crash,6,heap-buffer-overflow,8c74227eed4bf13418aa08e7cfce2860,asan,fca,objdump
37,15048,2159377755,fairfuzz-0-exid0,fairfuzz,57033,242747c72740d9b210c484e1993d6f94479380f9f5cccbc6a9bb04cd72889008,crash,37,SEGV,35c08ee29aae0fe5286f373333476a1d,msan,fca,objdump
54,15048,2159377755,fairfuzz-0-exid0,fairfuzz,57033,242747c72740d9b210c484e1993d6f94479380f9f5cccbc6a9bb04cd72889008,crash,54,SEGV,6dfecc019241e7ec348aebebfb30cde3,tsan,fca,objdump
71,15048,2159377755,fairfuzz-0-exid0,fairfuzz,57033,242747c72740d9b210c484e1993d6f94479380f9f5cccbc6a9bb04cd72889008,crash,71,SEGV,9c0829efb9d72bda426f08748e69da5a,ubsan,fca,objdump
19,15048,2159377755,fairfuzz-0-exid0,fairfuzz,57033,242747c72740d9b210c484e1993d6f94479380f9f5cccbc6a9bb04cd72889008,crash,19,heap-buffer-overflow,ef787e2e8bafba066b528ecf2360d4ed,asan,fca,objdump
68,15063,2159377755,fairfuzz-0-exid0,fairfuzz,57138,be79c2163b743aeebf383596af0ef1c6fffbea84103203ce1995ce0b0005eb90,crash,68,SEGV,e77dcbb13a1a1c7b6e674b8647f8e3d9,ubsan,fca,objdump
61,15616,2159377755,fairfuzz-0-exid0,fairfuzz,60235,889c0ee507d1e6f4a0021eae2ba0d1d074753e0252a66fa966dbbd44ceeea794,crash,61,SEGV,1a64c7cd0916afa1880d62753a44a050,ubsan,fca,objdump
27,15616,2159377755,fairfuzz-0-exid0,fairfuzz,60235,889c0ee507d1e6f4a0021eae2ba0d1d074753e0252a66fa966dbbd44ceeea794,crash,27,SEGV,2d8284bab5079eeb6463eeb681157292,msan,fca,objdump
44,15616,2159377755,fairfuzz-0-exid0,fairfuzz,60235,889c0ee507d1e6f4a0021eae2ba0d1d074753e0252a66fa966dbbd44ceeea794,crash,44,SEGV,ef787e2e8bafba066b528ecf2360d4ed,tsan,fca,objdump
9,15616,2159377755,fairfuzz-0-exid0,fairfuzz,60235,889c0ee507d1e6f4a0021eae2ba0d1d074753e0252a66fa966dbbd44ceeea794,crash,9,heap-buffer-overflow,162d4bf896e713e3ee8c4fca075c1dbf,asan,fca,objdump
25,15664,2159377755,fairfuzz-0-exid0,fairfuzz,60315,275ab27e24a022c35af4e1938b8ee184bfc21bb9046ffc73509851b99b934b74,crash,25,SEGV,b01a22729c2e0e02889ab33019016c5d,msan,fca,objdump
5,15664,2159377755,fairfuzz-0-exid0,fairfuzz,60315,275ab27e24a022c35af4e1938b8ee184bfc21bb9046ffc73509851b99b934b74,crash,5,heap-buffer-overflow,88f2f8b97e80133fc2766f9be1af42ea,asan,fca,objdump
30,15682,2159377755,fairfuzz-0-exid0,fairfuzz,60347,a4e39491a6c3377c0c3a5e0b934708dfd0199a10e497e4f1f3383e5496696459,crash,30,SEGV,9c0829efb9d72bda426f08748e69da5a,msan,fca,objdump
47,15682,2159377755,fairfuzz-0-exid0,fairfuzz,60347,a4e39491a6c3377c0c3a5e0b934708dfd0199a10e497e4f1f3383e5496696459,crash,47,SEGV,c661072ad7b8cf53655e3586fc8159c0,tsan,fca,objdump
12,15682,2159377755,fairfuzz-0-exid0,fairfuzz,60347,a4e39491a6c3377c0c3a5e0b934708dfd0199a10e497e4f1f3383e5496696459,crash,12,heap-buffer-overflow,7cfe26c4a00ed20d343253adc9ca5327,asan,fca,objdump
45,16147,2159377755,fairfuzz-0-exid0,fairfuzz,60806,ecdd351f8eae617d0f8d15d16ca79ea9aa84574383badfacf3a75436d4600a59,crash,45,SEGV,ff3ce482cff012abf921703bde3e8777,tsan,fca,objdump
10,16147,2159377755,fairfuzz-0-exid0,fairfuzz,60806,ecdd351f8eae617d0f8d15d16ca79ea9aa84574383badfacf3a75436d4600a59,crash,10,heap-buffer-overflow,6dfecc019241e7ec348aebebfb30cde3,asan,fca,objdump
1,16303,2785038345,symcc-0-exid0,symcc,61794,f1f17bd40341dab28c9d7f923af361914575095a4d826efd39c45a7a811c7b5c,crash,1,heap-buffer-overflow,ee8067dcf7e8de116c61bb97d421f5d7,asan,fca,objdump
