,crash_id,discovery_time,fuzzer
140,bug140,17,mopt-0-exid2
326,bug326,43,symcc-0-exid2
587,bug587,43,symcc-0-exid2
296,bug296,65,mopt-0-exid2
762,bug762,117,fairfuzz-0-exid2
213,bug213,117,fairfuzz-0-exid2
432,bug432,132,fairfuzz-0-exid2
131,bug131,132,fairfuzz-0-exid2
118,bug118,140,fairfuzz-0-exid2
683,bug683,140,fairfuzz-0-exid2
677,bug677,140,fairfuzz-0-exid2
108,bug108,140,fairfuzz-0-exid2
786,bug786,142,symcc-0-exid2
245,bug245,142,symcc-0-exid2
753,bug753,204,fairfuzz-0-exid2
203,bug203,204,fairfuzz-0-exid2
598,bug598,248,symcc-0-exid2
13,bug13,248,symcc-0-exid2
337,bug337,248,symcc-0-exid2
125,bug125,281,symcc-0-exid2
690,bug690,281,symcc-0-exid2
48,bug48,333,fairfuzz-0-exid2
628,bug628,333,fairfuzz-0-exid2
516,bug516,648,fairfuzz-0-exid2
239,bug239,648,fairfuzz-0-exid2
703,bug703,722,fairfuzz-0-exid2
139,bug139,722,fairfuzz-0-exid2
37,bug37,722,fairfuzz-0-exid2
619,bug619,722,fairfuzz-0-exid2
257,bug257,759,fairfuzz-0-exid2
798,bug798,759,fairfuzz-0-exid2
498,bug498,778,fairfuzz-0-exid2
215,bug215,778,fairfuzz-0-exid2
518,bug518,781,symcc-0-exid2
241,bug241,781,symcc-0-exid2
286,bug286,799,fairfuzz-0-exid2
557,bug557,799,fairfuzz-0-exid2
124,bug124,799,fairfuzz-0-exid2
426,bug426,799,fairfuzz-0-exid2
27,bug27,800,fairfuzz-0-exid2
349,bug349,800,fairfuzz-0-exid2
187,bug187,800,fairfuzz-0-exid2
476,bug476,800,fairfuzz-0-exid2
15,bug15,804,symcc-0-exid2
338,bug338,804,symcc-0-exid2
490,bug490,807,mopt-0-exid2
204,bug204,807,mopt-0-exid2
385,bug385,854,fairfuzz-0-exid2
72,bug72,854,fairfuzz-0-exid2
648,bug648,854,fairfuzz-0-exid2
668,bug668,889,fairfuzz-0-exid2
99,bug99,889,fairfuzz-0-exid2
282,bug282,917,symcc-0-exid2
820,bug820,917,symcc-0-exid2
9,bug9,954,symcc-0-exid2
595,bug595,954,symcc-0-exid2
777,bug777,999,mopt-0-exid2
234,bug234,999,mopt-0-exid2
512,bug512,999,mopt-0-exid2
563,bug563,999,mopt-0-exid2
297,bug297,999,mopt-0-exid2
828,bug828,999,mopt-0-exid2
612,bug612,1012,fairfuzz-0-exid2
29,bug29,1012,fairfuzz-0-exid2
709,bug709,1110,fairfuzz-0-exid2
664,bug664,1184,fairfuzz-0-exid2
94,bug94,1184,fairfuzz-0-exid2
693,bug693,1211,aflplusplus-0-exid2
128,bug128,1211,aflplusplus-0-exid2
105,bug105,1256,symcc-0-exid2
674,bug674,1256,symcc-0-exid2
613,bug613,1256,fairfuzz-0-exid2
30,bug30,1256,fairfuzz-0-exid2
