,crash_id,discovery_time,fuzzer
3430,bug3430,8,afl-0-exid22
683,bug683,8,afl-0-exid22
2071,bug2071,8,afl-0-exid22
1333,bug1333,12,fairfuzz-0-exid22
2688,bug2688,12,fairfuzz-0-exid22
736,bug736,12,fairfuzz-0-exid22
2119,bug2119,12,fairfuzz-0-exid22
1894,bug1894,12,fairfuzz-0-exid22
496,bug496,12,fairfuzz-0-exid22
1050,bug1050,12,fairfuzz-0-exid22
2418,bug2418,12,fairfuzz-0-exid22
1722,bug1722,12,fairfuzz-0-exid22
315,bug315,12,fairfuzz-0-exid22
192,bug192,12,fairfuzz-0-exid22
1604,bug1604,12,fairfuzz-0-exid22
597,bug597,12,fairfuzz-0-exid22
1988,bug1988,12,fairfuzz-0-exid22
1135,bug1135,22,afl-0-exid22
3865,bug3865,22,afl-0-exid22
32,bug32,24,afl-0-exid22
2803,bug2803,24,afl-0-exid22
3084,bug3084,29,aflfast-0-exid22
325,bug325,29,aflfast-0-exid22
539,bug539,38,aflfast-0-exid22
3291,bug3291,38,aflfast-0-exid22
203,bug203,39,aflfast-0-exid22
267,bug267,44,afl-0-exid22
3029,bug3029,44,afl-0-exid22
3356,bug3356,45,afl-0-exid22
608,bug608,45,afl-0-exid22
1358,bug1358,51,fairfuzz-0-exid22
4080,bug4080,51,fairfuzz-0-exid22
237,bug237,52,afl-0-exid22
3000,bug3000,52,afl-0-exid22
1031,bug1031,57,fairfuzz-0-exid22
3767,bug3767,57,fairfuzz-0-exid22
4037,bug4037,66,fairfuzz-0-exid22
1313,bug1313,66,fairfuzz-0-exid22
3549,bug3549,68,fairfuzz-0-exid22
808,bug808,68,fairfuzz-0-exid22
3081,bug3081,84,afl-0-exid22
322,bug322,84,afl-0-exid22
3469,bug3469,86,aflfast-0-exid22
726,bug726,86,aflfast-0-exid22
3722,bug3722,88,fairfuzz-0-exid22
985,bug985,88,fairfuzz-0-exid22
1685,bug1685,94,fairfuzz-0-exid22
276,bug276,94,fairfuzz-0-exid22
3561,bug3561,100,fairfuzz-0-exid22
820,bug820,100,fairfuzz-0-exid22
3798,bug3798,104,fairfuzz-0-exid22
1064,bug1064,104,fairfuzz-0-exid22
1284,bug1284,104,fairfuzz-0-exid22
4009,bug4009,104,fairfuzz-0-exid22
1334,bug1334,111,fairfuzz-0-exid22
2689,bug2689,111,fairfuzz-0-exid22
4056,bug4056,111,fairfuzz-0-exid22
307,bug307,117,afl-0-exid22
3066,bug3066,117,afl-0-exid22
4137,bug4137,118,afl-0-exid22
1416,bug1416,118,afl-0-exid22
324,bug324,119,afl-0-exid22
3083,bug3083,119,afl-0-exid22
3578,bug3578,120,fairfuzz-0-exid22
838,bug838,120,fairfuzz-0-exid22
168,bug168,127,fairfuzz-0-exid22
2934,bug2934,127,fairfuzz-0-exid22
860,bug860,131,afl-0-exid22
3600,bug3600,131,afl-0-exid22
2218,bug2218,137,fairfuzz-0-exid22
841,bug841,137,fairfuzz-0-exid22
31,bug31,142,fairfuzz-0-exid22
2802,bug2802,142,fairfuzz-0-exid22
1450,bug1450,142,fairfuzz-0-exid22
53,bug53,143,fairfuzz-0-exid22
2824,bug2824,143,fairfuzz-0-exid22
234,bug234,158,afl-0-exid22
2661,bug2661,162,aflfast-0-exid22
1303,bug1303,162,aflfast-0-exid22
1166,bug1166,189,afl-0-exid22
3896,bug3896,189,afl-0-exid22
439,bug439,201,afl-0-exid22
1841,bug1841,201,afl-0-exid22
1535,bug1535,204,fairfuzz-0-exid22
119,bug119,204,fairfuzz-0-exid22
2962,bug2962,206,fairfuzz-0-exid22
198,bug198,206,fairfuzz-0-exid22
3674,bug3674,207,fairfuzz-0-exid22
934,bug934,207,fairfuzz-0-exid22
3321,bug3321,210,aflplusplus-0-exid22
572,bug572,210,aflplusplus-0-exid22
2548,bug2548,212,fairfuzz-0-exid22
1185,bug1185,212,fairfuzz-0-exid22
1116,bug1116,212,aflplusplus-0-exid22
3847,bug3847,212,aflplusplus-0-exid22
3819,bug3819,212,aflplusplus-0-exid22
990,bug990,213,fairfuzz-0-exid22
3727,bug3727,213,fairfuzz-0-exid22
3670,bug3670,214,aflfast-0-exid22
930,bug930,214,aflfast-0-exid22
3695,bug3695,250,aflplusplus-0-exid22
957,bug957,250,aflplusplus-0-exid22
688,bug688,252,aflplusplus-0-exid22
3434,bug3434,252,aflplusplus-0-exid22
252,bug252,253,fairfuzz-0-exid22
3014,bug3014,253,fairfuzz-0-exid22
839,bug839,254,aflplusplus-0-exid22
3579,bug3579,254,aflplusplus-0-exid22
452,bug452,268,aflplusplus-0-exid22
3205,bug3205,268,aflplusplus-0-exid22
2958,bug2958,271,aflplusplus-0-exid22
194,bug194,271,aflplusplus-0-exid22
1169,bug1169,280,aflplusplus-0-exid22
3899,bug3899,280,aflplusplus-0-exid22
829,bug829,290,aflplusplus-0-exid22
3570,bug3570,290,aflplusplus-0-exid22
2417,bug2417,290,fairfuzz-0-exid22
1048,bug1048,290,fairfuzz-0-exid22
5,bug5,293,aflplusplus-0-exid22
2778,bug2778,293,aflplusplus-0-exid22
2655,bug2655,294,afl-0-exid22
1297,bug1297,294,afl-0-exid22
2329,bug2329,322,afl-0-exid22
954,bug954,322,afl-0-exid22
3269,bug3269,342,aflfast-0-exid22
517,bug517,342,aflfast-0-exid22
536,bug536,353,fairfuzz-0-exid22
3288,bug3288,353,fairfuzz-0-exid22
1380,bug1380,359,afl-0-exid22
4101,bug4101,359,afl-0-exid22
1122,bug1122,386,afl-0-exid22
3853,bug3853,386,afl-0-exid22
1032,bug1032,393,aflplusplus-0-exid22
3768,bug3768,393,aflplusplus-0-exid22
1322,bug1322,470,fairfuzz-0-exid22
3174,bug3174,477,afl-0-exid22
419,bug419,477,afl-0-exid22
3217,bug3217,517,afl-0-exid22
464,bug464,517,afl-0-exid22
4001,bug4001,580,aflplusplus-0-exid22
1275,bug1275,580,aflplusplus-0-exid22
910,bug910,585,aflplusplus-0-exid22
3650,bug3650,585,aflplusplus-0-exid22
1066,bug1066,597,aflplusplus-0-exid22
3800,bug3800,597,aflplusplus-0-exid22
3297,bug3297,611,aflplusplus-0-exid22
546,bug546,611,aflplusplus-0-exid22
3044,bug3044,625,aflplusplus-0-exid22
283,bug283,625,aflplusplus-0-exid22
2868,bug2868,655,fairfuzz-0-exid22
99,bug99,655,fairfuzz-0-exid22
1161,bug1161,683,aflplusplus-0-exid22
2524,bug2524,683,aflplusplus-0-exid22
3884,bug3884,694,fairfuzz-0-exid22
1154,bug1154,694,fairfuzz-0-exid22
2517,bug2517,694,fairfuzz-0-exid22
3286,bug3286,733,aflplusplus-0-exid22
534,bug534,733,aflplusplus-0-exid22
3573,bug3573,739,fairfuzz-0-exid22
832,bug832,739,fairfuzz-0-exid22
423,bug423,740,afl-0-exid22
