,discovery_id,fuzzer,block_source,block_target
1,1,symcc-0-exid0,2044,2058
2,2,symcc-0-exid0,10715,10723
3,3,symcc-0-exid0,1749,341
4,4,mopt-0-exid0,9317,9329
5,5,fairfuzz-0-exid0,27963,27973
7,7,mopt-0-exid0,10364,10503
8,8,fairfuzz-0-exid0,10542,10559
9,9,symcc-0-exid0,7731,7891
10,10,mopt-0-exid0,12918,12931
14,14,fairfuzz-0-exid0,7731,7891
15,15,symcc-0-exid0,5953,5962
16,16,mopt-0-exid0,29852,29859
18,18,symcc-0-exid0,13274,13280
20,20,fairfuzz-0-exid0,9780,9838
21,21,symcc-0-exid0,8939,8960
22,22,mopt-0-exid0,28774,28783
23,23,fairfuzz-0-exid0,6038,6045
24,24,symcc-0-exid0,12830,12837
25,25,mopt-0-exid0,13274,13280
26,26,fairfuzz-0-exid0,8939,8960
27,27,symcc-0-exid0,11307,11314
28,28,mopt-0-exid0,10815,10904
29,29,fairfuzz-0-exid0,12837,12847
31,31,mopt-0-exid0,12799,12806
32,32,fairfuzz-0-exid0,10904,10911
34,34,mopt-0-exid0,9787,9792
36,36,symcc-0-exid0,2217,2229
41,41,fairfuzz-0-exid0,9553,9566
42,42,symcc-0-exid0,2144,2158
43,43,mopt-0-exid0,2394,2398
44,44,fairfuzz-0-exid0,2058,2067
45,45,symcc-0-exid0,8884,9219
46,46,mopt-0-exid0,10968,10975
47,47,fairfuzz-0-exid0,11618,11633
48,48,symcc-0-exid0,941,2468
49,49,mopt-0-exid0,9573,9583
50,50,fairfuzz-0-exid0,2201,2201
52,52,mopt-0-exid0,9807,9820
53,53,fairfuzz-0-exid0,2137,2144
54,54,symcc-0-exid0,9785,9787
56,56,fairfuzz-0-exid0,8884,9136
58,58,mopt-0-exid0,9785,9787
64,64,mopt-0-exid0,2089,2102
66,66,mopt-0-exid0,10367,10508
67,67,symcc-0-exid0,11618,11633
68,68,fairfuzz-0-exid0,9010,9031
69,69,aflplusplus-0-exid0,28345,28362
71,71,symcc-0-exid0,1091,1095
73,73,aflplusplus-0-exid0,10345,10350
75,75,symcc-0-exid0,1825,1829
77,77,aflplusplus-0-exid0,9645,9649
79,79,symcc-0-exid0,881,885
81,81,aflplusplus-0-exid0,9532,9593
84,84,fairfuzz-0-exid0,2172,2188
85,85,aflplusplus-0-exid0,10953,10956
86,86,mopt-0-exid0,927,941
89,89,aflplusplus-0-exid0,280,1154
90,90,mopt-0-exid0,11572,11583
92,92,fairfuzz-0-exid0,10542,10564
93,93,aflplusplus-0-exid0,5953,5962
96,96,fairfuzz-0-exid0,12938,12931
99,99,symcc-0-exid0,280,1610
100,100,fairfuzz-0-exid0,2129,2144
101,101,aflplusplus-0-exid0,8884,9074
102,102,mopt-0-exid0,8884,9176
105,105,aflplusplus-0-exid0,9787,9789
112,112,mopt-0-exid0,2129,2144
114,114,fairfuzz-0-exid0,1235,2468
115,115,mopt-0-exid0,280,1049
117,117,fairfuzz-0-exid0,734,738
121,121,fairfuzz-0-exid0,10968,10975
124,124,fairfuzz-0-exid0,2372,2385
127,127,fairfuzz-0-exid0,9151,9157
133,133,fairfuzz-0-exid0,1095,1109
134,134,aflplusplus-0-exid0,575,579
138,138,mopt-0-exid0,11563,11568
140,140,fairfuzz-0-exid0,11485,11618
141,141,aflplusplus-0-exid0,10298,10320
142,142,mopt-0-exid0,9010,9031
143,143,symcc-0-exid0,797,801
144,144,fairfuzz-0-exid0,7902,7908
147,147,fairfuzz-0-exid0,11253,11262
148,148,mopt-0-exid0,280,881
152,152,symcc-0-exid0,9785,9838
153,153,fairfuzz-0-exid0,280,797
158,158,symcc-0-exid0,738,752
160,160,mopt-0-exid0,2412,2427
161,161,symcc-0-exid0,11568,11577
169,169,mopt-0-exid0,6078,6084
170,170,symcc-0-exid0,3246,3249
172,172,mopt-0-exid0,3153,3159
173,173,symcc-0-exid0,8292,8390
178,178,mopt-0-exid0,801,815
183,183,fairfuzz-0-exid0,9096,9099
184,184,mopt-0-exid0,9169,9227
189,189,fairfuzz-0-exid0,10367,10508
195,195,fairfuzz-0-exid0,2412,2427
196,196,mopt-0-exid0,9785,9838
197,197,symcc-0-exid0,9157,9169
199,199,mopt-0-exid0,10415,10421
200,200,symcc-0-exid0,9096,9099
206,206,symcc-0-exid0,9807,9820
215,215,symcc-0-exid0,1235,2468
217,217,symcc-0-exid0,2398,2441
219,219,fairfuzz-0-exid0,927,941
220,220,symcc-0-exid0,280,1049
225,225,fairfuzz-0-exid0,3134,3134
229,229,symcc-0-exid0,9802,9838
230,230,mopt-0-exid0,3134,3134
232,232,symcc-0-exid0,3159,3159
233,233,mopt-0-exid0,28910,28917
241,241,mopt-0-exid0,1091,1095
246,246,fairfuzz-0-exid0,6078,6084
250,250,symcc-0-exid0,11138,11301
252,252,fairfuzz-0-exid0,10660,10688
253,253,symcc-0-exid0,12566,12575
254,254,mopt-0-exid0,11550,11608
259,259,symcc-0-exid0,9573,9583
261,261,fairfuzz-0-exid0,10421,10503
264,264,fairfuzz-0-exid0,280,1825
267,267,fairfuzz-0-exid0,899,2468
277,277,symcc-0-exid0,6084,6137
278,278,mopt-0-exid0,1781,341
283,283,symcc-0-exid0,8813,8824
284,284,mopt-0-exid0,1829,1843
297,297,fairfuzz-0-exid0,280,293
299,299,mopt-0-exid0,8813,8824
306,306,fairfuzz-0-exid0,3159,3159
307,307,symcc-0-exid0,8025,8043
