,discovery_id,fuzzer,block_source,block_target
1,1,fairfuzz-0-exid20,8784,8829
2,2,fairfuzz-0-exid20,5994,5999
3,3,fairfuzz-0-exid20,12906,12989
4,4,fairfuzz-0-exid20,29852,29859
6,6,fairfuzz-0-exid20,5953,5962
7,7,fairfuzz-0-exid20,10815,10904
8,8,afl-0-exid20,8359,8375
9,9,fairfuzz-0-exid20,611,615
10,10,afl-0-exid20,7974,7979
13,13,fairfuzz-0-exid20,13212,13212
14,14,afl-0-exid20,7731,7891
15,15,fairfuzz-0-exid20,11314,11341
18,18,afl-0-exid20,28787,28792
20,20,afl-0-exid20,13337,13347
21,21,fairfuzz-0-exid20,2172,2184
22,22,afl-0-exid20,10815,10904
23,23,fairfuzz-0-exid20,6084,6137
24,24,afl-0-exid20,12799,12806
25,25,fairfuzz-0-exid20,11572,11577
26,26,afl-0-exid20,11295,11147
27,27,fairfuzz-0-exid20,11485,11618
31,31,fairfuzz-0-exid20,2717,2733
32,32,afl-0-exid20,575,579
34,34,afl-0-exid20,11592,11597
36,36,afl-0-exid20,10367,10508
37,37,fairfuzz-0-exid20,280,797
38,38,afl-0-exid20,2144,2158
40,40,afl-0-exid20,9780,9785
41,41,fairfuzz-0-exid20,2441,290
42,42,afl-0-exid20,9219,9227
43,43,fairfuzz-0-exid20,10968,10975
44,44,afl-0-exid20,2129,2144
48,48,fairfuzz-0-exid20,2201,2201
51,51,aflplusplus-0-exid20,3700,3703
52,52,afl-0-exid20,3249,3255
53,53,fairfuzz-0-exid20,9785,9787
54,54,aflplusplus-0-exid20,280,1869
55,55,afl-0-exid20,9573,9583
56,56,fairfuzz-0-exid20,9010,9031
57,57,aflplusplus-0-exid20,1463,1478
60,60,aflplusplus-0-exid20,5403,5607
62,62,fairfuzz-0-exid20,2144,2158
63,63,aflplusplus-0-exid20,1368,1382
66,66,aflplusplus-0-exid20,9532,9593
67,67,aflfast-0-exid20,26664,26668
68,68,afl-0-exid20,1829,1843
70,70,aflplusplus-0-exid20,11004,11011
71,71,aflfast-0-exid20,8960,8983
75,75,aflfast-0-exid20,11295,11301
76,76,afl-0-exid20,1053,1067
77,77,fairfuzz-0-exid20,3134,3134
79,79,aflfast-0-exid20,10559,10631
80,80,afl-0-exid20,9111,9117
82,82,aflplusplus-0-exid20,280,575
83,83,aflfast-0-exid20,29859,29872
86,86,aflplusplus-0-exid20,10064,10062
87,87,aflfast-0-exid20,10452,10459
90,90,aflplusplus-0-exid20,1158,1172
91,91,aflfast-0-exid20,280,1154
93,93,fairfuzz-0-exid20,885,899
97,97,aflfast-0-exid20,375,341
100,100,aflfast-0-exid20,12475,12485
103,103,aflfast-0-exid20,10298,10320
105,105,fairfuzz-0-exid20,10660,10688
108,108,fairfuzz-0-exid20,9188,9210
109,109,aflfast-0-exid20,9553,9566
110,110,afl-0-exid20,7908,7916
111,111,fairfuzz-0-exid20,280,1091
113,113,aflplusplus-0-exid20,1214,2468
118,118,fairfuzz-0-exid20,9151,9157
119,119,afl-0-exid20,899,2468
123,123,afl-0-exid20,9136,9139
126,126,fairfuzz-0-exid20,1843,341
132,132,afl-0-exid20,11537,11550
134,134,afl-0-exid20,10500,10503
139,139,fairfuzz-0-exid20,10331,10367
147,147,afl-0-exid20,9010,9031
150,150,fairfuzz-0-exid20,10564,10631
151,151,afl-0-exid20,6084,6137
152,152,aflplusplus-0-exid20,3134,3153
154,154,afl-0-exid20,28896,28904
155,155,aflplusplus-0-exid20,280,1719
161,161,aflplusplus-0-exid20,752,2468
165,165,afl-0-exid20,1385,1389
167,167,aflplusplus-0-exid20,28904,28939
173,173,aflfast-0-exid20,8884,9219
174,174,aflplusplus-0-exid20,11147,11281
177,177,aflfast-0-exid20,9210,9227
178,178,aflplusplus-0-exid20,11583,11592
183,183,afl-0-exid20,10415,10421
185,185,aflfast-0-exid20,1217,1221
187,187,afl-0-exid20,2733,2836
189,189,aflfast-0-exid20,1723,1737
193,193,aflfast-0-exid20,2217,2229
195,195,afl-0-exid20,2412,2427
197,197,aflfast-0-exid20,11597,11608
199,199,afl-0-exid20,28904,28939
200,200,fairfuzz-0-exid20,2372,2385
201,201,aflfast-0-exid20,10660,10688
206,206,aflplusplus-0-exid20,9573,9583
207,207,afl-0-exid20,3012,3121
208,208,fairfuzz-0-exid20,12558,12566
209,209,aflplusplus-0-exid20,1843,341
212,212,fairfuzz-0-exid20,1217,1221
213,213,aflplusplus-0-exid20,885,899
214,214,aflfast-0-exid20,280,797
217,217,aflplusplus-0-exid20,9823,9838
218,218,aflfast-0-exid20,2172,2184
225,225,aflplusplus-0-exid20,9151,9157
226,226,aflfast-0-exid20,9823,9838
230,230,aflfast-0-exid20,1067,2468
236,236,fairfuzz-0-exid20,28893,28896
237,237,aflplusplus-0-exid20,28926,28939
238,238,aflfast-0-exid20,9802,9838
250,250,aflplusplus-0-exid20,9807,9820
251,251,afl-0-exid20,10754,10760
254,254,aflplusplus-0-exid20,9785,9787
263,263,fairfuzz-0-exid20,1112,1116
265,265,aflfast-0-exid20,9807,9820
266,266,aflplusplus-0-exid20,9010,9031
267,267,fairfuzz-0-exid20,8813,8824
269,269,aflfast-0-exid20,9169,9227
270,270,aflplusplus-0-exid20,11563,11572
272,272,afl-0-exid20,9785,9838
273,273,aflfast-0-exid20,9136,9157
275,275,fairfuzz-0-exid20,941,2468
281,281,aflfast-0-exid20,927,941
286,286,aflplusplus-0-exid20,9136,9157
291,291,fairfuzz-0-exid20,3012,3121
298,298,aflplusplus-0-exid20,11572,11583
301,301,aflfast-0-exid20,11411,11388
311,311,fairfuzz-0-exid20,9817,9820
314,314,aflplusplus-0-exid20,780,794
316,316,afl-0-exid20,280,1848
317,317,aflfast-0-exid20,10331,10367
320,320,afl-0-exid20,280,1406
322,322,aflplusplus-0-exid20,6084,6137
325,325,aflfast-0-exid20,10415,10421
327,327,fairfuzz-0-exid20,10989,10993
328,328,afl-0-exid20,8787,8813
329,329,aflfast-0-exid20,1095,1109
342,342,aflfast-0-exid20,1811,341
343,343,fairfuzz-0-exid20,11506,11518
346,346,aflfast-0-exid20,3121,3134
347,347,fairfuzz-0-exid20,9802,9838
352,352,afl-0-exid20,11138,11301
356,356,afl-0-exid20,1807,1811
359,359,afl-0-exid20,12566,12575
360,360,fairfuzz-0-exid20,11138,11301
361,361,aflplusplus-0-exid20,463,467
365,365,aflfast-0-exid20,9010,9031
373,373,aflfast-0-exid20,11568,11577
378,378,aflplusplus-0-exid20,2089,2097
386,386,aflplusplus-0-exid20,293,297
392,392,aflfast-0-exid20,10500,10503
401,401,aflplusplus-0-exid20,2184,2188
402,402,afl-0-exid20,1326,1340
405,405,aflplusplus-0-exid20,2836,2847
407,407,fairfuzz-0-exid20,2412,2427
410,410,afl-0-exid20,9817,9820
411,411,fairfuzz-0-exid20,11411,11388
415,415,fairfuzz-0-exid20,2028,341
419,419,fairfuzz-0-exid20,1326,1340
423,423,fairfuzz-0-exid20,10500,10503
426,426,afl-0-exid20,10989,10993
430,430,afl-0-exid20,311,341
434,434,afl-0-exid20,10645,10688
438,438,afl-0-exid20,1116,1130
439,439,fairfuzz-0-exid20,9785,9838
441,441,aflplusplus-0-exid20,1095,1109
445,445,aflplusplus-0-exid20,2217,2367
456,456,aflfast-0-exid20,533,537
457,457,aflplusplus-0-exid20,11138,11301
458,458,afl-0-exid20,9802,9838
459,459,fairfuzz-0-exid20,293,297
465,465,aflplusplus-0-exid20,9817,9820
468,468,aflfast-0-exid20,6084,6137
501,501,aflplusplus-0-exid20,11153,11162
503,503,fairfuzz-0-exid20,1848,1852
507,507,fairfuzz-0-exid20,280,1610
508,508,aflfast-0-exid20,1852,1866
512,512,aflfast-0-exid20,1829,1843
514,514,afl-0-exid20,3099,3099
520,520,aflfast-0-exid20,2372,2385
527,527,fairfuzz-0-exid20,280,1807
