,fuzzer,edge,fuzzer_combination,benchmark
0,fairfuzz-0-exid24,115-134,fcb,jq
1,afl-0-exid21,1383-1390,fcb,jq
2,aflplusplus-0-exid21,1390-1412,fcb,jq
3,aflfast-0-exid21,1396-1408,fcb,jq
4,aflplusplus-0-exid23,1412-1424,fcb,jq
5,afl-0-exid21,1424-1439,fcb,jq
6,aflplusplus-0-exid24,1471-1481,fcb,jq
7,afl-0-exid21,1481-1489,fcb,jq
8,afl-0-exid24,15836-15847,fcb,jq
9,aflplusplus-0-exid24,15847-15850,fcb,jq
10,afl-0-exid20,15850-15875,fcb,jq
11,aflplusplus-0-exid23,15988-15996,fcb,jq
12,aflplusplus-0-exid22,15988-16007,fcb,jq
13,afl-0-exid22,16114-16122,fcb,jq
14,afl-0-exid24,16136-16149,fcb,jq
15,fairfuzz-0-exid22,16149-16152,fcb,jq
16,aflplusplus-0-exid24,16152-16177,fcb,jq
17,afl-0-exid21,16177-16184,fcb,jq
18,aflfast-0-exid24,16216-16225,fcb,jq
19,aflfast-0-exid22,1622-1645,fcb,jq
20,aflfast-0-exid22,16312-16321,fcb,jq
21,fairfuzz-0-exid23,16354-16374,fcb,jq
22,afl-0-exid20,16374-16399,fcb,jq
23,afl-0-exid20,16374-16407,fcb,jq
24,afl-0-exid24,16399-16414,fcb,jq
25,afl-0-exid20,16407-16414,fcb,jq
26,afl-0-exid20,1645-1654,fcb,jq
27,aflplusplus-0-exid22,16555-16581,fcb,jq
28,aflfast-0-exid23,16559-16562,fcb,jq
29,afl-0-exid22,16656-16680,fcb,jq
30,afl-0-exid20,16680-16695,fcb,jq
31,fairfuzz-0-exid24,16695-16656,fcb,jq
32,aflplusplus-0-exid20,1671-1677,fcb,jq
33,aflfast-0-exid20,16808-16839,fcb,jq
34,afl-0-exid24,16839-16850,fcb,jq
35,afl-0-exid20,16839-16871,fcb,jq
36,afl-0-exid22,1685-1694,fcb,jq
37,afl-0-exid22,16850-16855,fcb,jq
38,afl-0-exid21,16850-16859,fcb,jq
39,afl-0-exid21,16855-16859,fcb,jq
40,aflfast-0-exid23,16859-16839,fcb,jq
41,aflplusplus-0-exid22,16989-16998,fcb,jq
42,aflfast-0-exid20,18617-18688,fcb,jq
43,afl-0-exid20,18695-18695,fcb,jq
44,afl-0-exid24,18848-18889,fcb,jq
45,fairfuzz-0-exid20,19027-19036,fcb,jq
46,aflfast-0-exid20,19051-19060,fcb,jq
47,aflfast-0-exid24,19060-19078,fcb,jq
48,aflplusplus-0-exid21,19498-19541,fcb,jq
49,afl-0-exid20,19506-19531,fcb,jq
50,afl-0-exid23,19541-19544,fcb,jq
51,aflfast-0-exid20,19580-19589,fcb,jq
52,afl-0-exid20,21598-21607,fcb,jq
53,aflfast-0-exid22,21607-21624,fcb,jq
54,afl-0-exid22,21624-21636,fcb,jq
55,afl-0-exid21,21636-21663,fcb,jq
56,afl-0-exid20,21646-21655,fcb,jq
57,afl-0-exid20,21655-21598,fcb,jq
58,afl-0-exid20,21663-21679,fcb,jq
59,afl-0-exid20,21679-22224,fcb,jq
60,afl-0-exid24,21684-21747,fcb,jq
61,aflfast-0-exid23,21723-21743,fcb,jq
62,afl-0-exid24,21747-21758,fcb,jq
63,aflfast-0-exid23,21758-21764,fcb,jq
