,discovery_id,fuzzer,block_source,block_target
1,1,mopt-0-exid1,70273,70277
3,3,fairfuzz-0-exid1,60386,60348
5,5,fairfuzz-0-exid1,39640,39643
6,6,mopt-0-exid1,25151,25224
8,8,symcc-0-exid1,69175,69181
9,9,mopt-0-exid1,34488,34547
10,10,fairfuzz-0-exid1,24829,25259
11,11,symcc-0-exid1,27567,27574
12,12,mopt-0-exid1,24809,24821
13,13,fairfuzz-0-exid1,26103,26113
14,14,symcc-0-exid1,34421,34464
15,15,mopt-0-exid1,27471,27442
16,16,fairfuzz-0-exid1,25323,25330
18,18,mopt-0-exid1,24198,25259
19,19,fairfuzz-0-exid1,27296,27326
20,20,symcc-0-exid1,25093,25124
21,21,mopt-0-exid1,16374,16407
22,22,fairfuzz-0-exid1,23733,23743
23,23,symcc-0-exid1,26103,26113
25,25,fairfuzz-0-exid1,25296,25451
26,26,symcc-0-exid1,25567,25574
28,28,fairfuzz-0-exid1,27436,27477
29,29,symcc-0-exid1,27471,27477
32,32,symcc-0-exid1,25607,25614
33,33,mopt-0-exid1,28350,28376
35,35,symcc-0-exid1,24148,24154
38,38,symcc-0-exid1,27436,27477
39,39,mopt-0-exid1,25513,25519
43,43,fairfuzz-0-exid1,25227,25243
45,45,mopt-0-exid1,34376,34391
46,46,fairfuzz-0-exid1,28379,28385
48,48,mopt-0-exid1,29627,29627
49,49,fairfuzz-0-exid1,25598,25607
53,53,symcc-0-exid1,28379,28385
56,56,symcc-0-exid1,24159,25598
60,60,mopt-0-exid1,26189,26217
64,64,fairfuzz-0-exid1,29790,29793
66,66,mopt-0-exid1,26816,28475
67,67,fairfuzz-0-exid1,25323,25584
70,70,fairfuzz-0-exid1,35360,35377
71,71,symcc-0-exid1,36929,39604
72,72,aflplusplus-0-exid1,45416,45426
73,73,mopt-0-exid1,16149,16152
75,75,symcc-0-exid1,25323,25584
76,76,aflplusplus-0-exid1,16152,16177
77,77,mopt-0-exid1,29755,29855
79,79,symcc-0-exid1,35404,35404
80,80,aflplusplus-0-exid1,25335,25430
85,85,mopt-0-exid1,25323,25584
86,86,fairfuzz-0-exid1,29103,29108
88,88,aflplusplus-0-exid1,36176,36188
92,92,symcc-0-exid1,26138,26160
93,93,aflplusplus-0-exid1,25323,25584
94,94,fairfuzz-0-exid1,25694,25699
96,96,aflplusplus-0-exid1,26113,26123
97,97,fairfuzz-0-exid1,46059,46065
99,99,symcc-0-exid1,30270,30324
100,100,fairfuzz-0-exid1,25147,25577
101,101,aflplusplus-0-exid1,26080,26090
103,103,fairfuzz-0-exid1,45806,45832
105,105,symcc-0-exid1,25723,25799
106,106,fairfuzz-0-exid1,25719,25723
107,107,aflplusplus-0-exid1,28015,27986
108,108,symcc-0-exid1,25945,26090
109,109,fairfuzz-0-exid1,45884,45893
110,110,aflplusplus-0-exid1,26950,26958
111,111,symcc-0-exid1,45877,45884
112,112,fairfuzz-0-exid1,29715,29721
113,113,aflplusplus-0-exid1,25227,25243
115,115,fairfuzz-0-exid1,25077,25577
117,117,symcc-0-exid1,30302,30324
118,118,fairfuzz-0-exid1,29734,29715
122,122,aflplusplus-0-exid1,23202,23217
123,123,symcc-0-exid1,23743,23743
124,124,fairfuzz-0-exid1,36152,36173
125,125,aflplusplus-0-exid1,37131,37151
126,126,fairfuzz-0-exid1,23743,23743
128,128,aflplusplus-0-exid1,34258,34276
129,129,fairfuzz-0-exid1,29748,29755
130,130,symcc-0-exid1,25928,25945
132,132,symcc-0-exid1,25147,25577
134,134,mopt-0-exid1,25699,25799
135,135,aflplusplus-0-exid1,24148,24154
136,136,symcc-0-exid1,29715,29734
137,137,fairfuzz-0-exid1,29869,29882
140,140,fairfuzz-0-exid1,24090,24099
141,141,mopt-0-exid1,25147,25577
143,143,symcc-0-exid1,29725,29739
144,144,fairfuzz-0-exid1,25945,26090
146,146,symcc-0-exid1,23881,23887
147,147,fairfuzz-0-exid1,25921,25928
149,149,symcc-0-exid1,25077,25577
151,151,mopt-0-exid1,30302,30324
153,153,symcc-0-exid1,45806,45832
154,154,fairfuzz-0-exid1,34421,34457
156,156,symcc-0-exid1,24896,25577
161,161,aflplusplus-0-exid1,36262,36269
162,162,symcc-0-exid1,24105,24121
164,164,aflplusplus-0-exid1,25147,25577
165,165,symcc-0-exid1,30270,30272
166,166,aflplusplus-0-exid1,25683,25799
168,168,aflplusplus-0-exid1,36152,36173
169,169,mopt-0-exid1,25719,25723
170,170,symcc-0-exid1,30263,34069
172,172,aflplusplus-0-exid1,30267,30270
173,173,symcc-0-exid1,29869,29882
175,175,aflplusplus-0-exid1,16839,16850
176,176,fairfuzz-0-exid1,30272,30324
177,177,aflplusplus-0-exid1,25421,25584
178,178,symcc-0-exid1,29725,30324
180,180,fairfuzz-0-exid1,25607,25630
181,181,fairfuzz-0-exid1,29725,29739
182,182,mopt-0-exid1,23743,23743
183,183,aflplusplus-0-exid1,24896,25577
184,184,aflplusplus-0-exid1,30267,30324
185,185,aflplusplus-0-exid1,40092,40180
186,186,fairfuzz-0-exid1,25683,25799
188,188,mopt-0-exid1,30267,30324
191,191,mopt-0-exid1,25607,25630
193,193,mopt-0-exid1,34457,34464
194,194,symcc-0-exid1,31138,31160
195,195,aflplusplus-0-exid1,46186,46190
196,196,symcc-0-exid1,46190,46196
198,198,aflplusplus-0-exid1,25945,26090
199,199,fairfuzz-0-exid1,25169,25577
200,200,aflplusplus-0-exid1,24007,24024
201,201,mopt-0-exid1,29748,29755
202,202,aflplusplus-0-exid1,29725,29739
203,203,symcc-0-exid1,25670,25683
204,204,mopt-0-exid1,25928,25945
206,206,fairfuzz-0-exid1,24196,24198
207,207,aflplusplus-0-exid1,24081,25598
209,209,fairfuzz-0-exid1,19506,19531
210,210,mopt-0-exid1,30272,30324
212,212,fairfuzz-0-exid1,23887,25804
214,214,aflplusplus-0-exid1,40096,40101
215,215,fairfuzz-0-exid1,25921,25933
216,216,mopt-0-exid1,25683,25799
218,218,aflplusplus-0-exid1,30270,30272
219,219,symcc-0-exid1,24081,25598
220,220,aflplusplus-0-exid1,25921,25933
223,223,aflplusplus-0-exid1,25077,25577
224,224,symcc-0-exid1,36120,36140
225,225,aflplusplus-0-exid1,29715,29721
226,226,symcc-0-exid1,29715,30324
227,227,aflplusplus-0-exid1,29748,29755
229,229,symcc-0-exid1,25081,25577
231,231,aflplusplus-0-exid1,29734,29715
233,233,mopt-0-exid1,46093,46164
235,235,fairfuzz-0-exid1,29715,29725
236,236,aflplusplus-0-exid1,25658,25799
237,237,mopt-0-exid1,24196,24198
239,239,aflplusplus-0-exid1,25723,25799
244,244,symcc-0-exid1,29721,29725
245,245,symcc-0-exid1,23818,23837
247,247,mopt-0-exid1,45877,45884
248,248,aflplusplus-0-exid1,25360,25584
249,249,mopt-0-exid1,45806,45832
250,250,fairfuzz-0-exid1,25224,25577
251,251,symcc-0-exid1,24001,24141
254,254,symcc-0-exid1,25169,25577
255,255,mopt-0-exid1,29715,30324
261,261,symcc-0-exid1,25224,25577
262,262,fairfuzz-0-exid1,30302,30324
263,263,mopt-0-exid1,25598,25799
265,265,mopt-0-exid1,24132,25591
266,266,symcc-0-exid1,25647,25652
267,267,mopt-0-exid1,23876,23881
271,271,aflplusplus-0-exid1,25699,25799
273,273,symcc-0-exid1,23986,25598
277,277,mopt-0-exid1,23992,24001
280,280,mopt-0-exid1,25921,25933
289,289,mopt-0-exid1,25647,25652
292,292,mopt-0-exid1,23818,23837
293,293,aflplusplus-0-exid1,19506,19531
294,294,symcc-0-exid1,23782,23791
295,295,aflplusplus-0-exid1,23743,23743
297,297,fairfuzz-0-exid1,23818,23837
300,300,aflplusplus-0-exid1,25598,25799
302,302,aflplusplus-0-exid1,26069,26083
303,303,aflplusplus-0-exid1,25081,25577
306,306,aflplusplus-0-exid1,29748,29748
310,310,mopt-0-exid1,31747,31756
312,312,mopt-0-exid1,25077,25577
313,313,symcc-0-exid1,24099,24121
319,319,mopt-0-exid1,36120,36140
320,320,aflplusplus-0-exid1,23818,23837
323,323,aflplusplus-0-exid1,30270,30302
324,324,mopt-0-exid1,23782,23791
326,326,aflplusplus-0-exid1,39979,39991
328,328,aflplusplus-0-exid1,25487,25577
330,330,aflplusplus-0-exid1,40002,40002
332,332,mopt-0-exid1,29725,29739
333,333,symcc-0-exid1,26093,26090
336,336,fairfuzz-0-exid1,29748,29748
339,339,mopt-0-exid1,29725,30324
340,340,aflplusplus-0-exid1,25169,25577
341,341,symcc-0-exid1,34421,34457
342,342,aflplusplus-0-exid1,31052,31052
345,345,mopt-0-exid1,25169,25577
353,353,aflplusplus-0-exid1,24840,25577
354,354,aflplusplus-0-exid1,30149,30173
362,362,aflplusplus-0-exid1,23876,23881
364,364,aflplusplus-0-exid1,29725,30324
367,367,symcc-0-exid1,26103,26090
372,372,aflplusplus-0-exid1,29887,29899
373,373,symcc-0-exid1,30238,30253
378,378,fairfuzz-0-exid1,32851,32860
379,379,aflplusplus-0-exid1,26093,26090
386,386,fairfuzz-0-exid1,31756,31760
388,388,symcc-0-exid1,19506,19531
392,392,aflplusplus-0-exid1,18695,18695
398,398,aflplusplus-0-exid1,24086,24121
400,400,mopt-0-exid1,24896,25577
403,403,mopt-0-exid1,30173,30253
404,404,symcc-0-exid1,38421,38436
408,408,aflplusplus-0-exid1,26870,28475
409,409,fairfuzz-0-exid1,25487,25577
411,411,mopt-0-exid1,25224,25577
413,413,symcc-0-exid1,29748,29748
415,415,symcc-0-exid1,24840,25577
416,416,symcc-0-exid1,24784,25577
419,419,fairfuzz-0-exid1,31760,32751
420,420,fairfuzz-0-exid1,29899,29903
421,421,fairfuzz-0-exid1,19498,19541
422,422,fairfuzz-0-exid1,40146,40152
425,425,fairfuzz-0-exid1,24099,24121
427,427,aflplusplus-0-exid1,25224,25577
428,428,fairfuzz-0-exid1,26870,28475
429,429,fairfuzz-0-exid1,26093,26090
430,430,fairfuzz-0-exid1,26103,26090
431,431,fairfuzz-0-exid1,24086,24121
432,432,fairfuzz-0-exid1,30173,30253
435,435,fairfuzz-0-exid1,25360,25584
436,436,fairfuzz-0-exid1,38421,38436
438,438,fairfuzz-0-exid1,24920,25577
439,439,fairfuzz-0-exid1,30197,30205
440,440,fairfuzz-0-exid1,25421,25584
441,441,fairfuzz-0-exid1,26083,26090
443,443,fairfuzz-0-exid1,24896,25577
445,445,fairfuzz-0-exid1,34314,34321
448,448,fairfuzz-0-exid1,25999,26090
457,457,aflplusplus-0-exid1,34155,30324
467,467,fairfuzz-0-exid1,24908,25577
484,484,fairfuzz-0-exid1,40267,40311
495,495,symcc-0-exid1,34324,34367
497,497,fairfuzz-0-exid1,21607,21624
502,502,aflplusplus-0-exid1,30419,30434
505,505,symcc-0-exid1,32133,32144
507,507,fairfuzz-0-exid1,26113,26090
511,511,mopt-0-exid1,26093,26090
512,512,symcc-0-exid1,29945,29972
513,513,symcc-0-exid1,34155,30324
514,514,symcc-0-exid1,30194,30197
516,516,symcc-0-exid1,24113,25591
521,521,symcc-0-exid1,30173,30253
522,522,symcc-0-exid1,30163,30173
524,524,symcc-0-exid1,30149,30160
525,525,symcc-0-exid1,21607,21624
526,526,symcc-0-exid1,32265,32315
527,527,symcc-0-exid1,16850,16859
528,528,symcc-0-exid1,31763,32751
529,529,symcc-0-exid1,24086,24121
530,530,symcc-0-exid1,18695,18695
531,531,aflplusplus-0-exid1,30182,30186
532,532,symcc-0-exid1,25421,25584
534,534,symcc-0-exid1,34314,34318
536,536,symcc-0-exid1,29887,29899
538,538,symcc-0-exid1,25999,26090
540,540,symcc-0-exid1,26870,28475
541,541,symcc-0-exid1,40311,40352
542,542,symcc-0-exid1,40101,40170
543,543,symcc-0-exid1,26113,26090
547,547,symcc-0-exid1,34321,34376
548,548,symcc-0-exid1,35594,35684
549,549,symcc-0-exid1,25360,25584
551,551,symcc-0-exid1,26083,26090
553,553,symcc-0-exid1,25487,25577
556,556,symcc-0-exid1,25021,25577
557,557,aflplusplus-0-exid1,24099,24105
563,563,symcc-0-exid1,30660,30788
575,575,mopt-0-exid1,35794,35800
583,583,symcc-0-exid1,32226,32236
592,592,aflplusplus-0-exid1,26103,26090
594,594,aflplusplus-0-exid1,24908,25577
607,607,aflplusplus-0-exid1,26843,28475
620,620,mopt-0-exid1,24099,24121
624,624,mopt-0-exid1,32347,32357
629,629,aflplusplus-0-exid1,29869,29922
631,631,aflplusplus-0-exid1,30434,30788
634,634,aflplusplus-0-exid1,40267,40311
638,638,fairfuzz-0-exid1,25021,25577
646,646,symcc-0-exid1,25227,25577
651,651,mopt-0-exid1,31678,31683
665,665,symcc-0-exid1,32200,32207
668,668,mopt-0-exid1,40121,40146
669,669,mopt-0-exid1,40134,40121
672,672,mopt-0-exid1,34324,34367
673,673,mopt-0-exid1,21607,21624
674,674,mopt-0-exid1,29899,29903
675,675,mopt-0-exid1,39991,39999
676,676,mopt-0-exid1,39965,39974
677,677,mopt-0-exid1,18695,18695
681,681,mopt-0-exid1,40096,40101
682,682,mopt-0-exid1,26682,26819
686,686,symcc-0-exid1,35723,35707
689,689,mopt-0-exid1,19506,19531
690,690,mopt-0-exid1,30272,34155
691,691,mopt-0-exid1,24908,25577
693,693,mopt-0-exid1,26846,26870
694,694,mopt-0-exid1,25227,25577
696,696,mopt-0-exid1,31595,31624
698,698,mopt-0-exid1,40267,40311
699,699,mopt-0-exid1,26103,26090
704,704,mopt-0-exid1,24086,24121
708,708,mopt-0-exid1,25360,25584
709,709,mopt-0-exid1,26113,26090
710,710,mopt-0-exid1,30648,30656
718,718,symcc-0-exid1,35051,35066
727,727,mopt-0-exid1,31727,31744
729,729,mopt-0-exid1,32315,32321
731,731,mopt-0-exid1,30163,30173
733,733,mopt-0-exid1,25487,25577
735,735,mopt-0-exid1,30149,30163
736,736,mopt-0-exid1,24920,25577
737,737,mopt-0-exid1,30182,30197
739,739,mopt-0-exid1,25421,25584
744,744,mopt-0-exid1,24113,25591
747,747,mopt-0-exid1,30182,30186
748,748,mopt-0-exid1,26083,26090
749,749,mopt-0-exid1,32339,32386
767,767,symcc-0-exid1,39677,39682
774,774,aflplusplus-0-exid1,46082,46175
785,785,aflplusplus-0-exid1,24784,25577
786,786,fairfuzz-0-exid1,34324,34367
792,792,fairfuzz-0-exid1,34407,34411
807,807,symcc-0-exid1,38244,38441
809,809,symcc-0-exid1,30235,30238
811,811,fairfuzz-0-exid1,30205,30217
816,816,fairfuzz-0-exid1,37269,37285
820,820,fairfuzz-0-exid1,24105,24113
823,823,fairfuzz-0-exid1,29922,30118
825,825,symcc-0-exid1,32029,32082
828,828,fairfuzz-0-exid1,26156,26178
839,839,mopt-0-exid1,25021,25577
840,840,fairfuzz-0-exid1,29945,29972
841,841,fairfuzz-0-exid1,31753,31763
844,844,fairfuzz-0-exid1,34796,34802
845,845,fairfuzz-0-exid1,32694,32703
847,847,fairfuzz-0-exid1,34632,34649
856,856,fairfuzz-0-exid1,30628,30447
862,862,fairfuzz-0-exid1,32029,32082
868,868,fairfuzz-0-exid1,32357,32386
872,872,fairfuzz-0-exid1,39714,39749
877,877,fairfuzz-0-exid1,32464,32476
878,878,fairfuzz-0-exid1,34619,34626
884,884,fairfuzz-0-exid1,29912,29945
889,889,aflplusplus-0-exid1,29887,29887
890,890,fairfuzz-0-exid1,33414,33442
891,891,fairfuzz-0-exid1,31744,31727
895,895,fairfuzz-0-exid1,33414,33420
900,900,fairfuzz-0-exid1,33322,33414
903,903,fairfuzz-0-exid1,30085,30096
907,907,fairfuzz-0-exid1,35772,35794
910,910,fairfuzz-0-exid1,33118,33129
911,911,fairfuzz-0-exid1,33347,33347
912,912,fairfuzz-0-exid1,32207,32218
916,916,fairfuzz-0-exid1,32633,32641
922,922,fairfuzz-0-exid1,30680,30788
