,discovery_id,fuzzer,block_source,block_target
1,1,fairfuzz-0-exid21,62781,62786
2,2,fairfuzz-0-exid21,26682,26873
4,4,afl-0-exid21,25670,25694
5,5,fairfuzz-0-exid21,25135,25259
7,7,fairfuzz-0-exid21,25507,25513
9,9,fairfuzz-0-exid21,27178,27326
10,10,afl-0-exid21,27598,28475
11,11,fairfuzz-0-exid21,24154,24159
13,13,fairfuzz-0-exid21,16407,16414
14,14,afl-0-exid21,34470,34481
18,18,afl-0-exid21,24806,24821
20,20,afl-0-exid21,24809,24821
22,22,afl-0-exid21,25323,25330
23,23,fairfuzz-0-exid21,25224,25227
24,24,afl-0-exid21,27142,27148
25,25,fairfuzz-0-exid21,28379,28350
26,26,afl-0-exid21,28624,29119
27,27,fairfuzz-0-exid21,30144,30324
28,28,afl-0-exid21,16374,16407
34,34,afl-0-exid21,28379,28385
36,36,afl-0-exid21,1383,1390
37,37,fairfuzz-0-exid21,39951,39979
40,40,fairfuzz-0-exid21,38120,38173
45,45,aflplusplus-0-exid21,63383,63386
46,46,afl-0-exid21,34376,34391
48,48,aflplusplus-0-exid21,25487,25489
49,49,afl-0-exid21,39584,39595
50,50,fairfuzz-0-exid21,25355,25430
54,54,aflplusplus-0-exid21,25323,25584
55,55,afl-0-exid21,28973,29014
56,56,fairfuzz-0-exid21,25958,26093
57,57,aflplusplus-0-exid21,26792,26816
58,58,aflfast-0-exid21,63884,63892
60,60,fairfuzz-0-exid21,25584,25607
62,62,aflfast-0-exid21,1396,1408
63,63,afl-0-exid21,1481,1489
64,64,fairfuzz-0-exid21,25323,25584
65,65,aflplusplus-0-exid21,30118,30144
66,66,aflfast-0-exid21,24780,24974
67,67,afl-0-exid21,25584,25607
68,68,fairfuzz-0-exid21,30267,30270
69,69,aflplusplus-0-exid21,27436,27477
70,70,aflfast-0-exid21,29755,29855
71,71,afl-0-exid21,25323,25584
72,72,fairfuzz-0-exid21,25928,25945
73,73,aflplusplus-0-exid21,24986,25021
74,74,afl-0-exid21,30267,30270
75,75,aflfast-0-exid21,25487,25489
76,76,fairfuzz-0-exid21,25147,25577
77,77,aflplusplus-0-exid21,25093,25124
78,78,afl-0-exid21,25694,25699
79,79,fairfuzz-0-exid21,30272,30324
81,81,aflplusplus-0-exid21,27567,27574
82,82,afl-0-exid21,23743,23743
83,83,fairfuzz-0-exid21,24086,24090
84,84,aflfast-0-exid21,40255,40263
85,85,aflplusplus-0-exid21,24806,24821
86,86,afl-0-exid21,25945,26090
87,87,fairfuzz-0-exid21,29715,29725
89,89,aflplusplus-0-exid21,27193,27214
90,90,afl-0-exid21,25719,25723
91,91,fairfuzz-0-exid21,29715,29721
92,92,aflfast-0-exid21,22735,22735
93,93,aflplusplus-0-exid21,27436,27442
95,95,aflfast-0-exid21,28344,28350
