,fuzzer,edge
3831,aflplusplus-0-exid2,10006-10012
25513,fairfuzz-0-exid2,10006-10012
22441,mopt-0-exid0,10006-10012
13716,symcc-0-exid4,10006-10012
19831,aflplusplus-0-exid3,10012-10025
15138,fairfuzz-0-exid0,10012-10025
2031,fairfuzz-0-exid1,10012-10025
19543,fairfuzz-0-exid3,10012-10025
9404,mopt-0-exid1,10012-10025
9317,symcc-0-exid1,10012-10025
23675,symcc-0-exid1,10012-10025
19549,symcc-0-exid3,10012-10025
9573,aflplusplus-0-exid1,10025-10032
18322,aflplusplus-0-exid2,10025-10032
26971,aflplusplus-0-exid3,10025-10032
26739,fairfuzz-0-exid3,10025-10032
22909,aflplusplus-0-exid0,10032-10041
8023,mopt-0-exid0,10032-10041
7921,symcc-0-exid0,10032-10041
8753,aflplusplus-0-exid1,10032-10060
976,aflplusplus-0-exid0,10041-10060
10051,aflplusplus-0-exid1,10041-10060
16848,aflplusplus-0-exid1,10041-10060
15299,fairfuzz-0-exid0,10041-10060
10046,fairfuzz-0-exid1,10041-10060
16690,fairfuzz-0-exid1,10041-10060
27095,mopt-0-exid3,10041-10060
3746,symcc-0-exid2,10041-10060
8765,aflplusplus-0-exid1,10186-10200
4421,aflplusplus-0-exid3,10186-10200
26264,aflplusplus-0-exid3,10186-10200
13100,fairfuzz-0-exid4,10186-10200
16056,symcc-0-exid1,10186-10200
3770,aflplusplus-0-exid2,10186-10207
25542,aflplusplus-0-exid2,10186-10207
5235,aflplusplus-0-exid3,10186-10207
6621,aflplusplus-0-exid4,10186-10207
4131,mopt-0-exid2,10186-10207
12065,mopt-0-exid3,10186-10207
270,symcc-0-exid0,10186-10207
1759,symcc-0-exid1,10186-10207
1020,aflplusplus-0-exid0,10200-10207
8261,aflplusplus-0-exid0,10200-10207
15461,aflplusplus-0-exid0,10200-10207
22874,aflplusplus-0-exid0,10200-10207
9612,aflplusplus-0-exid1,10200-10207
16794,aflplusplus-0-exid1,10200-10207
24150,aflplusplus-0-exid1,10200-10207
3771,aflplusplus-0-exid2,10200-10207
11062,aflplusplus-0-exid2,10200-10207
18392,aflplusplus-0-exid2,10200-10207
25620,aflplusplus-0-exid2,10200-10207
5371,aflplusplus-0-exid3,10200-10207
12482,aflplusplus-0-exid3,10200-10207
20009,aflplusplus-0-exid3,10200-10207
27045,aflplusplus-0-exid3,10200-10207
7095,aflplusplus-0-exid4,10200-10207
14065,aflplusplus-0-exid4,10200-10207
21340,aflplusplus-0-exid4,10200-10207
28710,aflplusplus-0-exid4,10200-10207
1322,fairfuzz-0-exid0,10200-10207
8485,fairfuzz-0-exid0,10200-10207
15149,fairfuzz-0-exid0,10200-10207
10067,fairfuzz-0-exid1,10200-10207
16491,fairfuzz-0-exid1,10200-10207
18885,fairfuzz-0-exid2,10200-10207
12965,fairfuzz-0-exid3,10200-10207
20090,fairfuzz-0-exid3,10200-10207
7100,fairfuzz-0-exid4,10200-10207
14522,fairfuzz-0-exid4,10200-10207
21875,fairfuzz-0-exid4,10200-10207
29051,fairfuzz-0-exid4,10200-10207
1225,mopt-0-exid0,10200-10207
8486,mopt-0-exid0,10200-10207
15200,mopt-0-exid0,10200-10207
2512,mopt-0-exid1,10200-10207
10148,mopt-0-exid1,10200-10207
16557,mopt-0-exid1,10200-10207
23827,mopt-0-exid1,10200-10207
18775,mopt-0-exid2,10200-10207
26196,mopt-0-exid2,10200-10207
5720,mopt-0-exid3,10200-10207
12766,mopt-0-exid3,10200-10207
19975,mopt-0-exid3,10200-10207
27446,mopt-0-exid3,10200-10207
7098,mopt-0-exid4,10200-10207
14512,mopt-0-exid4,10200-10207
21874,mopt-0-exid4,10200-10207
1221,symcc-0-exid0,10200-10207
8484,symcc-0-exid0,10200-10207
15162,symcc-0-exid0,10200-10207
23290,symcc-0-exid0,10200-10207
10147,symcc-0-exid1,10200-10207
17284,symcc-0-exid1,10200-10207
3226,symcc-0-exid2,10200-10207
18767,symcc-0-exid2,10200-10207
26195,symcc-0-exid2,10200-10207
