,discovery_id,fuzzer,block_source,block_target
1,1,fairfuzz-0-exid1,45934,45941
2,2,fairfuzz-0-exid1,9726,9752
3,3,fairfuzz-0-exid1,26653,26878
4,4,mopt-0-exid1,62560,62580
5,5,fairfuzz-0-exid1,55699,55711
6,6,mopt-0-exid1,9289,9305
7,7,fairfuzz-0-exid1,49160,49166
8,8,mopt-0-exid1,9412,9429
9,9,fairfuzz-0-exid1,147,150
10,10,mopt-0-exid1,28462,28464
11,11,fairfuzz-0-exid1,5135,5142
12,12,mopt-0-exid1,12211,12222
13,13,symcc-0-exid1,19712,19714
14,14,fairfuzz-0-exid1,497,502
15,15,mopt-0-exid1,147,150
16,16,symcc-0-exid1,6034,6054
17,17,fairfuzz-0-exid1,48876,48910
18,18,mopt-0-exid1,12880,12861
19,19,symcc-0-exid1,57777,57790
20,20,fairfuzz-0-exid1,58194,58198
21,21,symcc-0-exid1,26779,26792
22,22,mopt-0-exid1,57967,57987
24,24,symcc-0-exid1,49198,49205
25,25,mopt-0-exid1,48876,48910
27,27,symcc-0-exid1,12758,12765
28,28,mopt-0-exid1,51273,51277
29,29,fairfuzz-0-exid1,60830,60851
30,30,symcc-0-exid1,150,839
31,31,mopt-0-exid1,492,497
32,32,fairfuzz-0-exid1,48406,48422
34,34,mopt-0-exid1,5199,5203
37,37,mopt-0-exid1,48326,48336
40,40,mopt-0-exid1,12751,12758
41,41,fairfuzz-0-exid1,62535,62540
44,44,fairfuzz-0-exid1,5103,5110
46,46,mopt-0-exid1,49160,49166
47,47,fairfuzz-0-exid1,51277,51286
50,50,symcc-0-exid1,49205,49222
52,52,fairfuzz-0-exid1,12744,12768
53,53,symcc-0-exid1,60789,60804
54,54,mopt-0-exid1,58194,58198
56,56,symcc-0-exid1,26844,26850
57,57,mopt-0-exid1,48942,48973
60,60,aflplusplus-0-exid1,48196,48200
61,61,mopt-0-exid1,48118,48124
62,62,fairfuzz-0-exid1,132,845
63,63,symcc-0-exid1,51433,51444
64,64,aflplusplus-0-exid1,10257,10273
66,66,fairfuzz-0-exid1,26844,26850
67,67,symcc-0-exid1,5188,5192
