,discovery_id,fuzzer,block_source,block_target
1,1,afl-0-exid23,28785,28802
2,2,afl-0-exid23,55526,55605
3,3,afl-0-exid23,6315,6320
4,4,afl-0-exid23,10186,10200
5,5,afl-0-exid23,147,150
6,6,afl-0-exid23,420,425
7,7,afl-0-exid23,48876,48910
8,8,afl-0-exid23,12729,12768
9,9,afl-0-exid23,5188,5192
10,10,afl-0-exid23,58205,58288
11,11,fairfuzz-0-exid23,47541,47554
13,13,fairfuzz-0-exid23,56864,56873
14,14,afl-0-exid23,474,479
15,15,fairfuzz-0-exid23,57761,57763
16,16,afl-0-exid23,58283,58293
17,17,fairfuzz-0-exid23,60228,60245
19,19,fairfuzz-0-exid23,147,150
20,20,afl-0-exid23,5089,5096
21,21,fairfuzz-0-exid23,5192,5199
22,22,afl-0-exid23,132,845
23,23,fairfuzz-0-exid23,48876,48910
24,24,afl-0-exid23,12744,12768
25,25,fairfuzz-0-exid23,12773,12828
26,26,afl-0-exid23,51425,51433
27,27,fairfuzz-0-exid23,5284,5298
28,28,afl-0-exid23,49160,49166
29,29,fairfuzz-0-exid23,105,132
30,30,afl-0-exid23,5035,5039
31,31,fairfuzz-0-exid23,12817,12828
33,33,fairfuzz-0-exid23,12744,12768
35,35,fairfuzz-0-exid23,497,502
36,36,afl-0-exid23,58194,58198
39,39,fairfuzz-0-exid23,5,27
40,40,afl-0-exid23,60830,60851
41,41,fairfuzz-0-exid23,51433,51444
42,42,afl-0-exid23,48406,48422
43,43,fairfuzz-0-exid23,58194,58198
47,47,fairfuzz-0-exid23,49160,49166
48,48,aflfast-0-exid23,1978,1995
50,50,aflplusplus-0-exid23,61040,61047
51,51,fairfuzz-0-exid23,58293,58300
52,52,aflfast-0-exid23,40683,40693
54,54,aflplusplus-0-exid23,42937,42947
56,56,aflfast-0-exid23,9576,9597
58,58,aflplusplus-0-exid23,6320,6406
59,59,aflfast-0-exid23,9476,9567
60,60,fairfuzz-0-exid23,642,647
61,61,afl-0-exid23,46667,46673
62,62,aflplusplus-0-exid23,10186,10200
63,63,aflfast-0-exid23,147,150
65,65,afl-0-exid23,46845,46878
66,66,aflplusplus-0-exid23,150,839
67,67,aflfast-0-exid23,12222,12231
70,70,aflplusplus-0-exid23,12899,12906
71,71,aflfast-0-exid23,12817,12828
72,72,fairfuzz-0-exid23,5103,5110
74,74,aflplusplus-0-exid23,497,502
75,75,aflfast-0-exid23,58194,58198
78,78,aflplusplus-0-exid23,56747,56751
79,79,aflfast-0-exid23,12744,12768
80,80,fairfuzz-0-exid23,60789,60804
82,82,aflplusplus-0-exid23,12751,12758
83,83,aflfast-0-exid23,48942,48973
84,84,fairfuzz-0-exid23,46700,46703
85,85,afl-0-exid23,48196,48230
87,87,aflfast-0-exid23,12758,12765
88,88,fairfuzz-0-exid23,46773,46778
89,89,afl-0-exid23,672,682
90,90,aflplusplus-0-exid23,56476,56695
91,91,aflfast-0-exid23,51433,51444
93,93,afl-0-exid23,48966,48973
94,94,aflplusplus-0-exid23,56359,56713
101,101,afl-0-exid23,48118,48124
102,102,aflplusplus-0-exid23,19454,19476
104,104,fairfuzz-0-exid23,48124,48140
105,105,afl-0-exid23,58205,58305
106,106,aflplusplus-0-exid23,56548,56675
107,107,aflfast-0-exid23,49090,49105
110,110,aflplusplus-0-exid23,5232,5236
111,111,aflfast-0-exid23,474,479
113,113,afl-0-exid23,57959,57967
114,114,aflplusplus-0-exid23,51273,51277
115,115,aflfast-0-exid23,48365,48372
118,118,aflplusplus-0-exid23,46673,46695
121,121,afl-0-exid23,48326,48347
122,122,aflplusplus-0-exid23,51433,51444
123,123,aflfast-0-exid23,49239,49268
124,124,fairfuzz-0-exid23,57959,57967
125,125,afl-0-exid23,5146,5181
127,127,aflfast-0-exid23,49205,49222
128,128,fairfuzz-0-exid23,48000,48031
129,129,afl-0-exid23,4990,4997
130,130,aflplusplus-0-exid23,48124,48140
131,131,aflfast-0-exid23,46749,46773
132,132,fairfuzz-0-exid23,53119,53126
135,135,aflfast-0-exid23,4965,4990
138,138,aflplusplus-0-exid23,60789,60804
140,140,fairfuzz-0-exid23,28429,28442
142,142,aflplusplus-0-exid23,5,27
143,143,aflfast-0-exid23,46462,46505
145,145,afl-0-exid23,48313,48320
146,146,aflplusplus-0-exid23,46873,46845
148,148,fairfuzz-0-exid23,53208,53224
150,150,aflplusplus-0-exid23,28377,28390
152,152,afl-0-exid23,26852,26854
155,155,aflfast-0-exid23,46598,46603
157,157,aflplusplus-0-exid23,7535,7564
159,159,aflfast-0-exid23,48124,48140
160,160,afl-0-exid23,48149,48169
161,161,aflplusplus-0-exid23,46557,46560
163,163,aflfast-0-exid23,5039,5046
164,164,afl-0-exid23,48365,48372
165,165,fairfuzz-0-exid23,46560,46577
167,167,aflfast-0-exid23,5103,5110
168,168,afl-0-exid23,46582,46589
171,171,aflfast-0-exid23,5142,5153
172,172,afl-0-exid23,62540,62542
173,173,aflfast-0-exid23,5114,5135
174,174,aflplusplus-0-exid23,6320,6416
175,175,fairfuzz-0-exid23,48347,48385
176,176,afl-0-exid23,48124,48140
178,178,aflfast-0-exid23,47119,47121
180,180,afl-0-exid23,28416,28429
181,181,aflplusplus-0-exid23,7545,7564
182,182,aflfast-0-exid23,5203,5210
185,185,aflplusplus-0-exid23,58293,58300
186,186,aflfast-0-exid23,5236,5277
187,187,fairfuzz-0-exid23,5181,5188
190,190,aflfast-0-exid23,5192,5199
192,192,afl-0-exid23,53119,53126
194,194,aflfast-0-exid23,50033,50039
197,197,aflplusplus-0-exid23,56334,56734
199,199,fairfuzz-0-exid23,48313,48320
204,204,afl-0-exid23,46560,46568
205,205,aflfast-0-exid23,5,27
211,211,fairfuzz-0-exid23,48845,48867
214,214,aflplusplus-0-exid23,7524,7564
215,215,fairfuzz-0-exid23,46582,46589
221,221,aflfast-0-exid23,60987,61007
222,222,aflplusplus-0-exid23,7663,7701
223,223,fairfuzz-0-exid23,5153,5174
224,224,afl-0-exid23,48845,48867
226,226,aflplusplus-0-exid23,48149,48169
232,232,afl-0-exid23,26447,26457
233,233,aflfast-0-exid23,48966,48973
237,237,aflfast-0-exid23,53208,53224
238,238,aflplusplus-0-exid23,642,647
239,239,fairfuzz-0-exid23,28454,28456
241,241,aflfast-0-exid23,57955,57967
242,242,aflplusplus-0-exid23,46534,46544
244,244,afl-0-exid23,49038,49090
245,245,aflfast-0-exid23,57959,57967
249,249,aflfast-0-exid23,57967,57987
250,250,aflplusplus-0-exid23,49109,49117
252,252,afl-0-exid23,17957,17965
253,253,aflfast-0-exid23,26447,26457
257,257,aflfast-0-exid23,48149,48169
258,258,aflplusplus-0-exid23,56387,56711
259,259,fairfuzz-0-exid23,40942,40946
261,261,aflfast-0-exid23,48101,48106
263,263,aflplusplus-0-exid23,57959,57967
265,265,aflfast-0-exid23,12640,12654
270,270,fairfuzz-0-exid23,58163,58187
272,272,aflplusplus-0-exid23,46568,46582
273,273,aflfast-0-exid23,48093,48099
274,274,fairfuzz-0-exid23,57967,57987
275,275,afl-0-exid23,46598,46603
277,277,aflfast-0-exid23,26526,26530
278,278,fairfuzz-0-exid23,57945,58157
280,280,aflplusplus-0-exid23,5871,5881
281,281,aflfast-0-exid23,48832,48845
282,282,fairfuzz-0-exid23,26526,26530
283,283,afl-0-exid23,57809,57835
287,287,afl-0-exid23,32289,32259
289,289,aflfast-0-exid23,48230,48241
290,290,fairfuzz-0-exid23,5075,5110
292,292,aflplusplus-0-exid23,58194,58198
295,295,afl-0-exid23,28450,28452
298,298,fairfuzz-0-exid23,17957,17965
304,304,aflplusplus-0-exid23,10308,10339
306,306,afl-0-exid23,5174,5188
308,308,fairfuzz-0-exid23,26447,26457
310,310,aflplusplus-0-exid23,12610,12624
314,314,aflplusplus-0-exid23,6428,6433
316,316,aflplusplus-0-exid23,5991,5997
326,326,aflplusplus-0-exid23,7647,7701
331,331,aflplusplus-0-exid23,46603,46610
338,338,afl-0-exid23,19167,19369
339,339,aflplusplus-0-exid23,12768,12773
341,341,aflplusplus-0-exid23,57955,57967
343,343,aflplusplus-0-exid23,57967,57987
344,344,aflfast-0-exid23,48016,48031
346,346,aflfast-0-exid23,28390,28403
351,351,aflplusplus-0-exid23,12744,12768
352,352,aflfast-0-exid23,5096,5110
354,354,aflfast-0-exid23,5121,5135
355,355,aflplusplus-0-exid23,5181,5188
356,356,aflfast-0-exid23,30210,30248
357,357,aflplusplus-0-exid23,56847,56864
359,359,aflplusplus-0-exid23,19322,19739
361,361,aflplusplus-0-exid23,5821,5841
363,363,aflplusplus-0-exid23,6192,6236
370,370,aflplusplus-0-exid23,48876,48910
372,372,aflplusplus-0-exid23,48952,48973
374,374,aflplusplus-0-exid23,56144,56173
380,380,aflplusplus-0-exid23,49038,49090
383,383,aflplusplus-0-exid23,479,492
384,384,aflfast-0-exid23,19476,19509
385,385,aflplusplus-0-exid23,4965,4990
391,391,aflplusplus-0-exid23,5035,5039
392,392,aflplusplus-0-exid23,5114,5135
393,393,aflplusplus-0-exid23,49239,49277
394,394,aflplusplus-0-exid23,5188,5192
395,395,aflplusplus-0-exid23,56248,56255
399,399,aflplusplus-0-exid23,48845,48867
400,400,afl-0-exid23,57825,57835
403,403,aflplusplus-0-exid23,10308,10330
404,404,aflplusplus-0-exid23,5893,5923
410,410,aflfast-0-exid23,58313,58329
411,411,aflplusplus-0-exid23,6634,6903
412,412,aflplusplus-0-exid23,56508,56532
413,413,aflplusplus-0-exid23,26447,26457
417,417,aflplusplus-0-exid23,57825,57835
421,421,aflfast-0-exid23,61521,61531
429,429,aflplusplus-0-exid23,28454,28456
430,430,fairfuzz-0-exid23,61503,61514
432,432,aflplusplus-0-exid23,5096,5110
433,433,aflplusplus-0-exid23,5121,5135
434,434,aflplusplus-0-exid23,58205,58288
