,fuzzer,edge,fuzzer_combination,benchmark
0,fairfuzz-0-exid1,1000-1161,fca,libxml2
1,symcc-0-exid4,100015-100019,fca,libxml2
2,symcc-0-exid1,100026-100052,fca,libxml2
3,fairfuzz-0-exid2,100071-100075,fca,libxml2
4,mopt-0-exid1,10013-10027,fca,libxml2
5,aflplusplus-0-exid0,10013-10104,fca,libxml2
6,fairfuzz-0-exid3,100168-100316,fca,libxml2
7,symcc-0-exid1,10027-10041,fca,libxml2
8,aflplusplus-0-exid0,10027-10104,fca,libxml2
9,symcc-0-exid3,100316-100321,fca,libxml2
10,symcc-0-exid3,100351-100355,fca,libxml2
11,aflplusplus-0-exid1,100379-100381,fca,libxml2
12,aflplusplus-0-exid3,100385-100392,fca,libxml2
13,fairfuzz-0-exid0,10041-10055,fca,libxml2
14,aflplusplus-0-exid0,10041-10104,fca,libxml2
15,fairfuzz-0-exid4,100410-100421,fca,libxml2
16,aflplusplus-0-exid2,100410-100477,fca,libxml2
17,aflplusplus-0-exid1,100430-100475,fca,libxml2
18,mopt-0-exid2,100473-100475,fca,libxml2
19,aflplusplus-0-exid4,100475-100477,fca,libxml2
20,mopt-0-exid2,100542-100554,fca,libxml2
21,symcc-0-exid0,10055-10069,fca,libxml2
22,aflplusplus-0-exid0,10055-10104,fca,libxml2
23,fairfuzz-0-exid0,100554-100566,fca,libxml2
24,aflplusplus-0-exid2,100566-100521,fca,libxml2
25,mopt-0-exid3,100645-100654,fca,libxml2
26,aflplusplus-0-exid0,100645-100667,fca,libxml2
27,aflplusplus-0-exid0,100667-100674,fca,libxml2
28,fairfuzz-0-exid2,10069-10083,fca,libxml2
29,aflplusplus-0-exid0,10069-10104,fca,libxml2
30,fairfuzz-0-exid2,100735-100755,fca,libxml2
31,aflplusplus-0-exid3,100755-100759,fca,libxml2
32,aflplusplus-0-exid2,100764-100781,fca,libxml2
33,aflplusplus-0-exid0,100781-100786,fca,libxml2
34,aflplusplus-0-exid4,100786-100805,fca,libxml2
35,aflplusplus-0-exid1,100805-100812,fca,libxml2
36,mopt-0-exid2,100820-100837,fca,libxml2
37,aflplusplus-0-exid0,10083-10104,fca,libxml2
38,fairfuzz-0-exid1,100837-100852,fca,libxml2
39,aflplusplus-0-exid1,100852-100867,fca,libxml2
40,fairfuzz-0-exid1,100867-100877,fca,libxml2
41,aflplusplus-0-exid1,100877-100887,fca,libxml2
42,aflplusplus-0-exid3,100887-100891,fca,libxml2
